task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
12	57/cc0973	2647297	fastcat (8)	COMPLETED	0	2025-03-24 10:54:37.769	810ms	197ms	32.6%	82.8 MB	189.1 MB	238.4 KB	65.4 KB
25	df/206dd6	2647317	fastcat (21)	COMPLETED	0	2025-03-24 10:54:37.784	1.1s	572ms	260.1%	89.1 MB	511.4 MB	76.9 MB	54.3 MB
6	31/8c12f7	2647259	fastcat (2)	COMPLETED	0	2025-03-24 10:54:37.742	1.2s	603ms	226.1%	82.9 MB	382 MB	72.2 MB	50.8 MB
22	5c/8ad1ee	2647278	fastcat (18)	COMPLETED	0	2025-03-24 10:54:37.756	1.2s	624ms	267.4%	84.7 MB	382 MB	89.3 MB	62.5 MB
5	66/370c70	2647336	fastcat (1)	COMPLETED	0	2025-03-24 10:54:37.798	1.2s	661ms	245.0%	83.6 MB	382 MB	82.6 MB	58.4 MB
18	a5/a61cfc	2647382	fastcat (14)	COMPLETED	0	2025-03-24 10:54:37.822	1.2s	673ms	264.3%	84.6 MB	382 MB	90.2 MB	63.7 MB
16	1d/f2deeb	2647250	fastcat (12)	COMPLETED	0	2025-03-24 10:54:37.723	1.3s	702ms	214.3%	84.7 MB	382 MB	80 MB	56.2 MB
14	e5/074ab5	2647354	fastcat (10)	COMPLETED	0	2025-03-24 10:54:37.810	1.2s	720ms	311.7%	84.7 MB	382 MB	110.5 MB	78.4 MB
4	43/f75ee8	2649672	minimap_pipeline:run_common:getParams	COMPLETED	0	2025-03-24 10:54:39.044	344ms	10ms	49.7%	0	0	77.5 KB	3.4 KB
24	2f/079474	2649011	fastcat (20)	COMPLETED	0	2025-03-24 10:54:38.608	975ms	585ms	326.0%	62.7 MB	382 MB	90.7 MB	64.4 MB
9	90/4cfa13	2649392	fastcat (5)	COMPLETED	0	2025-03-24 10:54:38.963	821ms	507ms	318.4%	72.5 MB	510.9 MB	82.6 MB	58.3 MB
21	37/0a5a38	2649500	fastcat (17)	COMPLETED	0	2025-03-24 10:54:38.990	837ms	510ms	288.5%	84.5 MB	382 MB	75.6 MB	53.4 MB
7	d5/3dbb16	2649532	fastcat (3)	COMPLETED	0	2025-03-24 10:54:39.001	838ms	532ms	317.9%	89.7 MB	512.3 MB	81.8 MB	58.2 MB
28	6d/507004	2649444	fastcat (24)	COMPLETED	0	2025-03-24 10:54:38.976	927ms	599ms	277.6%	78.1 MB	510 MB	86 MB	60.6 MB
