"ID"	"wolverine_1"	"hamlet_11"	"joans_11"	"ginger_14"	"kubo_14"	"wolverine_14"	"kubo_15"	"ivy_17"	"kubo_17"	"wolverine_17"	"ginger_18"	"hamlet_18"	"ivy_18"	"kubo_18"	"wolverine_18"	"ivy_19"	"ophelia_19"	"wolverine_19"	"ginger_2"	"ginger_20"	"hamlet_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"joans_21"	"korra_21"	"kubo_21"	"hamlet_22"	"henry_22"	"joans_22"	"korra_22"	"kubo_22"	"marshmallow_22"	"hamlet_23"	"korra_23"	"ginger_24"	"henry_24"	"ivy_24"	"kubo_24"	"marshmallow_24"	"ophelia_24"	"wolverine_24"	"henry_25"	"kubo_25"	"ginger_29"	"henry_29"	"joans_29"	"korra_29"	"kubo_30"	"hamlet_31"	"ginger_36"	"henry_36"	"joans_36"	"kubo_37"	"ophelia_37"	"wolverine_37"	"ginger_41"	"hamlet_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"henry_42"	"ivy_42"	"ophelia_43"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"hamlet_45"	"henry_45"	"ivy_45"	"joans_45"	"korra_45"	"marshmallow_45"	"ophelia_45"	"charles_46"	"hamlet_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"ginger_47"	"ivy_47"	"marshmallow_47"	"charles_48"	"hamlet_48"	"henry_48"	"ivy_48"	"joans_48"	"korra_48"	"kubo_48"	"marshmallow_48"	"ophelia_48"	"wolverine_48"	"charles_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"kubo_49"	"marshmallow_49"	"ophelia_49"	"wolverine_49"	"charles_50"	"ginger_50"	"ivy_50"	"joans_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"charles_51"	"joans_51"	"charles_52"	"ginger_52"	"kubo_52"	"marshmallow_52"	"kubo_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"ophelia_55"	"joans_56"	"joans_57"	"ophelia_57"	"wolverine_57"	"ginger_58"	"wolverine_58"	"hamlet_59"	"henry_59"	"ophelia_59"	"korra_6"	"joans_60"	"marshmallow_60"	"wolverine_60"	"joans_62"	"henry_66"	"hamlet_67"	"ivy_67"	"ginger_7"	"charles_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"txid2529382"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	285	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"txid2497436"	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	1	0	0	42	0	0	0	0	0	265	0	0	0	0	2	0	16	0	0	0	265	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	169	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	47	0	0	1	24	0	0	0	0	0	0	0	0	0	0
"txid2071710"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	44	0	0	1	0	0	0	1	2	166	0	0	7	11	0	0	0	0	0	0	0	0	0	0
"txid2529381"	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	54	0	0	0	0	0	0	1	0	0	0	50	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	29	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	1	2	0	0	0	0	0	0	0	0	0	0
"txid208962"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	4	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	3	3	1	0	0
"txid562"	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	3	0	4	0	1	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	4	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	10	1	8	1	0	0
"txid585054"	0	8	108	1	594	0	119	292	55	0	0	1	0	3	0	0	3	0	795	2	23	295	22	5	0	232	57	155	157	135	456	54	0	23	357	0	204	2	174	0	1	1	435	2	1	169	0	486	32	5	98	23	0	21	521	0	336	202	293	0	437	0	1	29	0	67	0	8	4	0	11	0	126	0	8	0	14	0	0	3	124	0	259	2	5	3	1	20	187	0	184	2	4	2	0	6	66	0	0	56	29	14	1	1	0	0	23	2	546	20	3	0	0	1	374	132	0	1	4	0	1	132	0	25	15	12	0	3	56	1	141	5	54	759	5	11	2	6	177	1455	554	775	184	14	0
"txid1499973"	0	1	13	0	154	0	46	3	23	0	0	0	0	1	0	0	0	0	122	1	0	65	5	0	0	107	27	6	67	3	143	20	0	0	144	0	70	0	60	0	0	0	170	0	0	67	0	193	5	0	42	11	0	5	332	0	133	2	19	0	186	0	0	12	0	0	0	2	0	0	0	0	25	0	5	0	0	0	0	1	42	0	43	1	0	3	0	10	35	0	45	2	3	0	0	2	0	0	0	12	22	1	0	0	0	0	3	0	438	2	0	0	0	1	65	21	0	0	0	0	0	79	0	1	7	2	0	0	78	0	48	1	0	332	0	0	1	2	66	334	104	170	53	3	0
"txid1300165"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"txid1398493"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0
"txid621"	0	1	31	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	232	1	0	0	1	0	0	0	0	8	27	7	0	0	0	0	0	0	24	0	0	0	0	0	61	0	0	22	0	0	9	0	12	4	0	5	143	0	48	10	58	0	54	0	0	3	0	0	0	3	0	0	0	0	37	0	1	0	0	0	0	0	22	0	76	0	0	1	0	6	50	0	45	0	0	0	0	1	0	0	0	10	4	0	0	0	0	0	6	0	121	0	0	0	0	0	104	36	0	0	0	0	0	31	0	0	4	0	0	0	3	1	31	0	0	61	0	1	1	1	0	494	153	265	60	0	0
"txid622"	0	1	1	0	10	0	1	1	0	0	0	5	1	0	0	0	0	0	3	0	922	6	1194	308	0	2	0	2147	0	247	5	0	0	0	5	0	1	0	1	0	13	0	8	0	0	0	0	46	0	23	1	0	0	0	132	13	4	7	2	0	2	0	0	6	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	4	0	0	0	0	1	0	0	4	0	713	0	0	0	0	1	0	0	3	213	0	0	0	0	1	17	50	899	0	0	0	1	43	1	41	0	0	0	0	3	0	900	0	1484	0	713	0	0	2	0	136	62	142	0	0	0	23	18	3	10	3	0	0
"txid623"	0	5	172	2	938	0	174	167	87	0	0	1	0	8	0	0	1	0	1233	1	62	364	92	28	1	322	89	266	160	106	580	73	0	10	496	0	155	1	272	0	0	0	429	2	1	143	0	708	50	5	88	23	0	35	1369	0	345	34	315	1	402	0	0	64	0	54	0	11	0	0	8	0	190	0	27	0	1	0	0	6	129	0	398	2	1	2	0	28	318	0	325	10	47	2	1	3	38	0	0	86	96	18	3	1	0	0	37	1	1668	63	1	0	1	0	607	215	2	0	1	0	0	326	0	86	31	101	0	40	67	1	295	6	50	243	8	10	2	6	276	2550	876	1397	367	23	0
"txid624"	0	0	0	0	429	0	98	1	46	0	0	0	0	4	0	0	1	0	8	0	64	159	91	22	0	190	53	223	3	43	343	31	0	9	281	0	0	0	125	0	1	1	9	1	0	0	0	395	9	3	1	0	0	1	39	0	1	22	87	0	4	0	0	1	0	4	0	0	0	0	0	0	4	0	2	0	3	0	0	0	1	0	4	0	1	0	0	8	2	0	5	1	42	0	0	0	0	0	0	1	14	24	0	0	0	0	0	0	99	64	0	0	0	0	7	3	1	0	0	0	0	15	0	78	1	100	0	48	35	0	7	3	45	10	9	7	0	1	68	61	8	41	7	10	0
"txid549"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	16	0	0	0	2	1	19	0	0	10	8	1	0	0	0	0	0	0	0	0	0
"txid584"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	23	0	1	0	8	0	0	0	0	618	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	1	0	0	0	0	0	0	3	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
