"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"
"njc1"	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc2"	0	0.07	0.07	0	0	0	0	0.38	0	0	0.98	0	0	0.31	0	0	0.16	0	0	0	0.44	0	0.6	0	0	0.08	1	0.24	0	0.09	0	0	0
"njc3"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.01	0.02	0	0.02	0.01	0	0	0	0	0.04	0	0	0	0
"njc4"	0	0.07	0.07	0	0	0	0	0.38	0	0	0.98	0	0	0.31	0	0	0.16	0	0	0	0.44	0	0.6	0	0	0.08	1	0.24	0	0.09	0	0	0
"njc5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.01	0	0
"njc6"	0	0	0	0	0.02	0	0	0.85	0	0	0	0	0.09	0	0.04	0	0	0	0	0.04	0.07	0	0.11	0.12	0	0	0.07	0.51	0.13	0	0.09	0.02	0
"njc7"	0	0	0	0	0	0	0	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0	0	0	0	0
"njc8"	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0.09	0	0.04	0	0	0	0	0.04	0.07	0	0.11	0.12	0	0	0.07	0.04	0.13	0	0.09	0.02	0
"njc9"	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0.09	0	0.04	0	0	0	0	0.04	0.07	0	0.11	0.12	0	0	0.07	0.04	0.13	0	0.09	0.02	0
"njc10"	0	0.02	0	0	0.09	0	0	0.04	0.2	0.16	0.04	0	0.02	0.11	0	0.02	0.07	0	0.07	0	0.02	0.33	0.02	0.03	0.04	0.29	0.02	0.02	0.07	0.02	0.02	0.2	0.02
"njc11"	37.51	42	29.37	27.56	47.84	24.78	30.28	43.06	59.78	46.63	52.5	22.32	27.41	44.26	24.69	4.16	24.47	1.73	24.36	28.6	20.24	18.16	21.73	30.87	35.25	19.84	27.57	43.46	30.71	16.2	26.29	20.94	22.94
"njc12"	0	0	0.02	0	0	0	0	0.51	0	0	0	0	0	0	0	0	0	0	0	1.49	0.04	0	0.02	0	0	0	0.2	0.11	0	0	0	0	0
"njc13"	0	0.27	0.07	0.02	0	0.24	0	0.31	0.04	0.02	0.02	0.09	0.09	0.13	0	0	0.04	0	0	0.14	0.16	0.12	0.67	0	0	0.01	0.18	1.25	0	0.22	0.08	0.04	0
"njc14"	0	0	0.07	0	0	0	0	0.04	0.04	0	0	0	0	0	0	0	0	0	0	0.14	0.13	0	0.02	0	0	0	0.07	0.93	0	0	0.03	0	0
"njc15"	0.16	1.11	10.78	0.4	3.76	7.38	4.49	5.94	0.8	0.64	6.89	1.47	34.59	3.43	31.34	0.42	10.04	0.78	0.38	44.82	28.09	1.47	27.36	33.59	0.13	1.28	31.61	22.89	40.33	1.42	18.08	10.6	4.78
"njc16"	0	0	0.02	0	0.02	0	0	0.02	0	0	0	0	0.09	0	0.04	0	0.04	0.02	0	0.06	0.09	0	0.13	0.13	0	0	0.07	0.04	0.18	0	0.09	0.02	0
"njc17"	0	0.02	0	0	0.02	0	0	0.02	0.04	0.02	0.02	0	0	0.04	0	0	0.04	0	0.02	0	0	0.17	0	0.01	0.02	0.08	0.02	0.02	0.02	0	0	0.04	0
"njc18"	0	0.07	0.07	0	0	0	0	0.38	0	0	0.98	0	0	0.31	0	0	0.16	0	0	0	0.44	0	0.6	0	0	0.08	1	0.24	0	0.09	0	0	0
"njc19"	0.27	1.42	0.42	0.6	0.24	1.13	0.16	1.45	0.47	0.22	9.56	3.94	0.67	3.29	0.13	0.78	8.68	0.36	1.22	0	1.29	1.77	2.14	0.4	0.29	0.86	3.33	0.82	0.09	0.24	0.34	3.07	2.67
"njc20"	0	0	0	0	0.02	0.09	0	0.07	0	0.02	0	0.02	0.04	0	0	0.02	0	0	0.02	0	0	0.08	0.02	0.01	0	0.07	0	0.02	0	0	0	0.02	0.02
"njc21"	0	0	0.07	0	0	0	0	0.89	0.04	0	0	0	0	0	0	0	0.04	0	0	1.55	0.18	0	0.04	0	0	0	0.27	1.47	0	0	0.03	0	0
"njc22"	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0.09	0	0.04	0	0.04	0	0	0.04	0.07	0	0.11	0.12	0	0	0.07	0.04	0.13	0	0.09	0.02	0
"njc23"	0	0.07	0.07	0	0	0.02	0.02	0.4	0	0	1.98	0.04	0	0.87	0	0.02	0.36	0	0.02	0	0.49	0.01	0.62	0	0	0.16	1.18	0.24	0	0.09	0.01	0.13	0
"njc24"	0.58	2.89	0.82	32.78	5.69	19.67	0.76	21.69	3.4	2.65	4.85	0.44	4.67	1.71	0.67	0.33	1.45	0	0.2	0.14	0.4	2.85	1.27	0.2	0.82	2.72	2.25	3.4	0.13	2.38	12.55	0.44	0.2
