"Taxa"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_2"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ginger_24"	"Henry_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Henry_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Joans_49"	"Marshmallow_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Padme_6"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Ivy_67"	"Franc_68"	"Ginger_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"
"k__Bacteria|p__Bacillota"	0.560888888888889	0.529333333333333	0.572	0.846888888888889	0.569555555555556	0.513777777777778	0.0135555555555556	0.290222222222222	0.701111111111111	0.409777777777778	0.677333333333333	0.676	0.0991111111111111	0.691333333333333	0.466666666666667	0.582444444444444	0.679777777777778	0.153333333333333	0.597333333333333	0.622666666666667	0.611777777777778	0.610222222222222	0.676444444444444	0.618	0.727666666666667	0.338888888888889	0.402	0.842444444444444	0.578444444444444	0.603333333333333	0.632666666666667	0.0948888888888889	0.722222222222222	0.697555555555556	0.0791111111111111	0.118444444444444	0.701888888888889	0.371777777777778	0.249777777777778	0.693555555555556	0.346444444444444	0.460222222222222	0.385777777777778	0.816444444444444	0.789666666666667	0.492666666666667	0.467333333333333	0.500444444444444	0.616888888888889	0.672444444444444	0.870666666666667	0.478666666666667	0.409777777777778	0.237555555555556	0.312444444444444	0.510666666666667	0.879555555555556	0.558666666666667	0.403555555555556	0.791333333333333	0.834222222222222	0.585111111111111	0.338444444444444	0.278222222222222	0.618222222222222	0.628888888888889	0.0817777777777778	0.675555555555556	0.679777777777778	0.594222222222222	0.434666666666667	0.687333333333333	0.923333333333333	0.823777777777778	0.724	0.547777777777778	0.502222222222222	0.312	0.399111111111111	0.760666666666667	0.724888888888889	0.894	0.307111111111111	0.827333333333333	0.428888888888889	0.653555555555556	0.619333333333333	0.358444444444444	0.554666666666667	0.588444444444444	0.818888888888889	0.200666666666667	0.494222222222222	0.678	0.104888888888889	0.625333333333333	0.837777777777778	0.640444444444444	0.331333333333333	0.684888888888889	0.152222222222222	0.696444444444444	0.477555555555556	0.292	0.844666666666667	0.723777777777778	0.285555555555556	0.760888888888889	0.351333333333333	0.736222222222222	0.370444444444444	0.637333333333333	0.683555555555556	0.281111111111111	0.240888888888889	0.493777777777778	0.215777777777778	0.652222222222222	0.296888888888889	0.376
"k__Bacteria|p__Pseudomonadota"	0.243111111111111	0.293111111111111	0.105333333333333	0.0382222222222222	0.125555555555556	0.142	0.983111111111111	0.703777777777778	0.0997777777777778	0.107555555555556	0.0993333333333333	0.0846666666666667	0.843555555555556	0.0266666666666667	0.131111111111111	0.272666666666667	0.0486666666666667	0.801777777777778	0.131555555555556	0.147555555555556	0.264666666666667	0.084	0.0206666666666667	0.150888888888889	0.0364444444444444	0.605555555555556	0.322888888888889	0.0255555555555556	0.138444444444444	0.295333333333333	0.112222222222222	0.861333333333333	0.0451111111111111	0.0364444444444444	0.897111111111111	0.860444444444444	0.203333333333333	0.326666666666667	0.641777777777778	0.058	0.0437777777777778	0.341555555555556	0.236222222222222	0.0157777777777778	0.0786666666666667	0.244222222222222	0.43	0.239555555555556	0.0935555555555556	0.213777777777778	0.0175555555555556	0.212888888888889	0.224222222222222	0.719111111111111	0.333333333333333	0.187333333333333	0.0228888888888889	0.185555555555556	0.528222222222222	0.0364444444444444	0.102444444444444	0.0988888888888889	0.582888888888889	0.644666666666667	0.141777777777778	0.0526666666666667	0.885333333333333	0.0435555555555556	0.134666666666667	0.349333333333333	0.514888888888889	0.0682222222222222	0.00622222222222222	0.0237777777777778	0.0846666666666667	0.142444444444444	0.433777777777778	0.514222222222222	0.497333333333333	0.119111111111111	0.048	0.0146666666666667	0.667777777777778	0.0362222222222222	0.120666666666667	0.0866666666666667	0.0466666666666667	0.124222222222222	0.303777777777778	0.0528888888888889	0.0302222222222222	0.742666666666667	0.294	0.0213333333333333	0.873333333333333	0.0211111111111111	0.0206666666666667	0.0433333333333333	0.608666666666667	0.0417777777777778	0.787555555555556	0.108666666666667	0.383777777777778	0.646444444444444	0.0173333333333333	0.0431111111111111	0.495777777777778	0.144222222222222	0.538	0.072	0.0544444444444444	0.214888888888889	0.198222222222222	0.634555555555556	0.560666666666667	0.434444444444444	0.758222222222222	0.056	0.360888888888889	0.370444444444444
"k__Bacteria|p__Bacteroidota"	0.184444444444444	0.167777777777778	0.0946666666666667	0.082	0.156222222222222	0.338444444444444	0.00288888888888889	0.00533333333333333	0.179333333333333	0.383111111111111	0.214666666666667	0.180888888888889	0.05	0.260666666666667	0.184888888888889	0.134666666666667	0.266444444444444	0.0446666666666667	0.255777777777778	0.204888888888889	0.122444444444444	0.299333333333333	0.298	0.210444444444444	0.149111111111111	0.0544444444444444	0.244666666666667	0.131111111111111	0.243555555555556	0.0882222222222222	0.230222222222222	0.0435555555555556	0.205111111111111	0.246222222222222	0.0235555555555556	0.0211111111111111	0.0801111111111111	0.285555555555556	0.106666666666667	0.215777777777778	0.580888888888889	0.171111111111111	0.252444444444444	0.154	0.128222222222222	0.261555555555556	0.1	0.259555555555556	0.283111111111111	0.0777777777777778	0.108888888888889	0.299777777777778	0.365777777777778	0.04	0.340888888888889	0.298888888888889	0.0597777777777778	0.255111111111111	0.0628888888888889	0.166888888888889	0.0604444444444444	0.262444444444444	0.076	0.0695555555555556	0.227333333333333	0.311777777777778	0.0324444444444444	0.275555555555556	0.172666666666667	0.0542222222222222	0.0462222222222222	0.241777777777778	0.0651111111111111	0.149777777777778	0.182222222222222	0.309111111111111	0.0564444444444444	0.171777777777778	0.0697777777777778	0.117555555555556	0.223777777777778	0.088	0.0244444444444444	0.134	0.446444444444444	0.244666666666667	0.309333333333333	0.516666666666667	0.127555555555556	0.352666666666667	0.148	0.056	0.2	0.298666666666667	0.0211111111111111	0.250888888888889	0.130777777777778	0.310444444444444	0.0548888888888889	0.268222222222222	0.0571111111111111	0.193333333333333	0.122888888888889	0.0604444444444444	0.136888888888889	0.224222222222222	0.213333333333333	0.0944444444444444	0.110444444444444	0.188666666666667	0.480222222222222	0.0866666666666667	0.115555555555556	0.0831111111111111	0.178	0.054	0.0257777777777778	0.268444444444444	0.190111111111111	0.248222222222222
"k__Bacteria|p__Fusobacteriota"	0.00733333333333333	0.00666666666666667	0.226666666666667	0.0306666666666667	0.145333333333333	0.000888888888888889	0.000222222222222222	0.000444444444444444	0.00577777777777778	0.0868888888888889	0.00466666666666667	0.0493333333333333	0.00666666666666667	0.014	0.204444444444444	0.00977777777777778	0.00266666666666667	0	0.01	0.0213333333333333	0	0.00444444444444444	0.00355555555555556	0.00866666666666667	0.0745555555555556	0	0.00688888888888889	0.000222222222222222	0.00466666666666667	0.012	0.00755555555555556	0	0.024	0.00622222222222222	0	0	0.0141111111111111	0.00644444444444444	0	0.0135555555555556	0.0226666666666667	0.0153333333333333	0.108888888888889	0.000222222222222222	0.000111111111111111	0	0	0	0.000444444444444444	0	0	0.000444444444444444	0	0	0.00377777777777778	0.00111111111111111	0.00533333333333333	0	0	0.000888888888888889	0	0.042	0	0.00733333333333333	0.0106666666666667	0	0	0.00355555555555556	0.0117777777777778	0	0.00333333333333333	0	0	0.00155555555555556	0.00555555555555556	0	0	0.00133333333333333	0.00911111111111111	0.00111111111111111	0	0	0	0	0	0.00577777777777778	0.00133333333333333	0	0.00422222222222222	0.00511111111111111	0	0	0	0	0	0.00711111111111111	0	0.000666666666666667	0.00244444444444444	0.000222222222222222	0	0.000666666666666667	0.00888888888888889	0.000444444444444444	0	0.00777777777777778	0.00466666666666667	0	0	0.000444444444444444	0.0326666666666667	0.0322222222222222	0.000888888888888889	0	0.02	0.0171111111111111	0	0.018	0.137222222222222	0
"k__Bacteria|p__Actinomycetota"	0.00422222222222222	0.00311111111111111	0.00133333333333333	0.00222222222222222	0.00333333333333333	0.00444444444444444	0.000222222222222222	0.000222222222222222	0.014	0.006	0.00355555555555556	0.00577777777777778	0.000666666666666667	0.00711111111111111	0.0128888888888889	0.000444444444444444	0.00222222222222222	0.000222222222222222	0.00533333333333333	0.00355555555555556	0.00111111111111111	0.00177777777777778	0.00133333333333333	0.012	0.0106666666666667	0.00111111111111111	0.0235555555555556	0.000666666666666667	0.0348888888888889	0.00111111111111111	0.0173333333333333	0.000222222222222222	0.00333333333333333	0.0133333333333333	0.000222222222222222	0	0.000555555555555556	0.00955555555555555	0.00177777777777778	0.0191111111111111	0.006	0.0117777777777778	0.0162222222222222	0.0135555555555556	0.00322222222222222	0.00155555555555556	0.00266666666666667	0.000444444444444444	0.00555555555555556	0.036	0.00288888888888889	0.00822222222222222	0.000222222222222222	0.00333333333333333	0.00955555555555555	0.002	0.0324444444444444	0.000666666666666667	0.00533333333333333	0.00444444444444444	0.00288888888888889	0.0115555555555556	0.00266666666666667	0.000222222222222222	0.002	0.006	0.000444444444444444	0.000666666666666667	0.00111111111111111	0.00222222222222222	0.000888888888888889	0.00266666666666667	0.00533333333333333	0.00111111111111111	0.00266666666666667	0.000666666666666667	0.00755555555555556	0.000666666666666667	0.0246666666666667	0.00155555555555556	0.00111111111111111	0.00333333333333333	0.000666666666666667	0.00111111111111111	0.004	0.00933333333333333	0.0208888888888889	0.000666666666666667	0.00977777777777778	0.000888888888888889	0.00288888888888889	0.000666666666666667	0.0117777777777778	0.002	0.000666666666666667	0.0955555555555556	0.0107777777777778	0.00466666666666667	0.00244444444444444	0.00466666666666667	0.00311111111111111	0.000888888888888889	0.00688888888888889	0.000666666666666667	0.00111111111111111	0.00111111111111111	0.000666666666666667	0.000444444444444444	0.000222222222222222	0.00244444444444444	0.0622222222222222	0.0273333333333333	0.00155555555555556	0.00122222222222222	0.000444444444444444	0.000666666666666667	0.000222222222222222	0.00488888888888889	0.0148888888888889	0.00533333333333333
"k__Bacteria|p__Mycoplasmatota"	0	0	0	0	0	0.000444444444444444	0	0	0	0.00666666666666667	0	0.00288888888888889	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0.00155555555555556	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.000111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666666666666667	0	0.00111111111111111	0	0	0	0	0	0	0.000888888888888889	0	0	0	0	0	0.002	0	0	0.00133333333333333	0	0	0.00244444444444444	0	0	0	0	0	0	0	0	0	0	0.000444444444444444	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0.00155555555555556	0.000222222222222222	0	0	0	0	0.000222222222222222	0	0
"k__Bacteria|p__Campylobacterota"	0	0	0	0	0	0	0	0	0	0	0.000444444444444444	0.000444444444444444	0	0.000222222222222222	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0.000222222222222222	0	0
