tax	BUD-21-MGE-S257	CM-NTC-013	FRA-24-MGE-S262	FRA-51-MGE-S274	GIN-20-MGE-S255	GIN-44-MGE-S265	GOO-52-MGE-S275	HAM-21-MGE-S256	HEN-25-MGE-S264	HEN-49-MGE-S270	HER-22-MGE-S258	HER-37-MGE-S254	IRI-49-MGE-S269	IVY-50-MGE-S272	JOA-22-MGE-S259	JOA-48-MGE-S268	KOR-23-MGE-S260	KOR-45-MGE-S266	KUB-25-MGE-S263	KUB-53-MGE-S276	LAM-51-MGE-S273	MAR-47-MGE-S267	OPH-24-MGE-S261	WOL-50-MGE-S271	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	1	0	3	4	2	0	2	2	0	0	1	7	2	6	3	6	8	4	6	12	0	5	13	4	91
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	0	0	5	4	1	0	2	4	0	0	0	16	12	0	3	0	4	4	5	19	0	1	4	4	88
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	0	2	2	9	0	9	0	0	0	0	0	11	8	0	20	0	0	2	0	0	0	1	18	82
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	0	4	9	0	3	0	2	4	2	0	4	2	9	1	0	0	8	11	3	0	3	11	0	76
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	1	0	0	0	2	0	0	0	31	0	0	9	0	0	0	4	21	0	0	8	0	76
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	0	0	4	16	0	0	7	0	0	0	5	0	17	20	0	2	0	0	0	0	0	0	0	4	75
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	0	0	4	8	8	0	4	2	5	4	4	3	3	7	1	3	3	1	2	6	0	2	2	2	74
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter oryzae	0	0	1	8	0	0	6	0	0	2	13	1	23	8	0	2	1	1	0	0	0	0	0	6	72
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	0	0	3	3	2	3	4	2	3	0	0	4	0	2	3	0	1	5	2	21	2	0	9	1	70
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	0	0	1	4	0	0	0	8	0	0	0	9	12	3	4	0	2	5	0	10	0	0	3	2	63
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	0	34	9	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	9	0	0	0	0	56
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium baratii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	55
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	0	0	4	1	4	0	0	1	2	1	2	8	3	2	0	4	1	0	1	13	0	1	2	0	50
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	0	0	5	3	1	2	0	3	3	1	0	2	0	2	0	0	2	3	11	2	0	3	7	0	50
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	1	0	8	0	1	0	0	2	3	4	0	0	0	0	1	2	0	0	9	10	1	0	1	6	49
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella loescheii	1	0	4	18	0	0	3	0	0	0	0	0	9	10	0	1	0	0	0	0	0	0	0	3	49
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	0	0	4	17	0	0	0	0	0	0	0	0	0	4	0	0	0	1	4	16	0	0	0	0	46
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	0	0	10	3	0	0	1	4	0	0	0	0	0	4	2	1	1	1	0	2	0	0	15	1	45
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Srinivasan et al. 2021)	1	0	2	1	0	7	6	2	4	3	0	0	0	4	2	2	2	1	0	1	3	0	0	1	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	3	0	5	2	0	0	0	3	3	0	0	2	0	2	3	1	0	0	2	0	0	1	12	1	40
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	8	0	1	1	0	0	2	1	1	1	3	1	0	0	0	18	0	2	0	0	0	0	0	0	39
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinaceum	8	0	0	0	0	0	4	0	0	1	4	0	0	0	0	21	0	0	0	0	0	0	0	1	39
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia caecimuris	1	0	4	0	4	1	1	4	1	2	2	2	0	1	0	0	2	2	0	0	0	1	7	1	36
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera sueciensis	0	0	1	1	1	4	3	1	0	3	0	1	4	1	0	9	0	2	0	0	1	1	1	1	35
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	0	0	2	2	0	0	1	0	1	3	1	0	0	7	2	4	3	1	0	6	0	0	2	0	35
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	0	0	4	1	2	1	0	4	0	2	0	2	0	3	0	0	0	3	5	1	0	0	5	0	33
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	2	0	0	0	9	0	2	0	0	1	1	0	0	0	0	6	0	1	0	1	8	1	0	1	33
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oricebi	1	0	0	0	7	0	3	0	4	0	0	0	0	0	1	6	1	1	0	0	7	0	1	0	32
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	1	0	5	3	0	1	2	2	0	2	1	1	2	2	2	2	1	0	0	0	0	4	1	0	32
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hominis	0	0	7	0	0	0	1	0	1	0	1	1	0	3	0	0	0	0	2	2	0	1	13	0	32
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	0	0	1	1	0	3	0	4	4	3	3	2	0	0	1	2	1	4	1	0	2	0	0	0	32
