tax	BUD-21-MGE-S257	CM-NTC-013	FRA-24-MGE-S262	FRA-51-MGE-S274	GIN-20-MGE-S255	GIN-44-MGE-S265	GOO-52-MGE-S275	HAM-21-MGE-S256	HEN-25-MGE-S264	HEN-49-MGE-S270	HER-22-MGE-S258	HER-37-MGE-S254	IRI-49-MGE-S269	IVY-50-MGE-S272	JOA-22-MGE-S259	JOA-48-MGE-S268	KOR-23-MGE-S260	KOR-45-MGE-S266	KUB-25-MGE-S263	KUB-53-MGE-S276	LAM-51-MGE-S273	MAR-47-MGE-S267	OPH-24-MGE-S261	WOL-50-MGE-S271	total
Bacteria;Bacteria_none;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	1523	8	1261	1458	2924	670	2049	2474	824	2617	1796	2000	1016	1834	1164	2610	1238	681	1441	2606	837	996	1142	975	36144
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	1505	5	1156	1316	824	1944	2030	1974	1247	2309	861	1080	1372	2846	1986	789	983	729	744	1042	1536	499	1574	3581	33932
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	958	2	9	93	0	0	1055	0	0	0	1972	0	0	123	0	587	0	10	5295	1	38	3648	1	0	13792
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	208	2	356	634	320	1138	1849	392	268	787	5	293	744	1142	350	858	372	357	199	478	1142	269	153	631	12947
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella copri	1183	3	1211	809	918	475	1159	0	516	210	941	0	4	237	0	859	270	1576	94	570	1313	314	0	1	12663
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	306	0	354	472	274	821	652	366	386	870	58	357	186	1033	758	325	497	327	369	418	623	228	393	406	10479
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	28	2	184	351	91	293	214	241	292	368	89	429	133	262	275	198	178	321	269	169	30	35	517	133	5102
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	139	5	213	330	135	599	259	147	143	483	1	110	265	574	117	333	219	195	64	234	193	131	36	132	5057
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium sinus	108	1	197	342	115	128	397	249	70	210	103	424	217	431	247	275	265	211	66	278	51	260	90	101	4836
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium parvum	81	1	191	305	142	113	340	130	112	274	144	310	202	365	114	382	247	263	75	247	31	271	109	103	4552
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	192	3	169	267	150	178	270	174	226	244	153	166	139	274	138	248	146	188	273	196	95	208	185	215	4497
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	75	1	0	0	256	0	265	285	380	291	1	335	0	0	162	341	149	873	449	0	0	107	209	0	4179
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	0	118	0	2	0	2	66	950	7	0	0	0	0	254	77	1076	415	6	4	0	1011	0	163	4151
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	62	2	129	179	89	302	214	136	60	256	1	91	610	307	95	723	112	122	61	135	141	74	38	98	4037
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	159	0	189	240	141	451	238	156	95	398	3	84	204	448	92	156	190	147	58	163	142	105	30	74	3963
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	0	1	0	1	0	0	0	730	17	0	0	5	2	0	583	2	10	3	0	97	0	10	24	2318	3803
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	8	2	4	1	389	6	5	377	269	7	2	1357	0	2	838	18	0	6	0	1	0	0	450	0	3742
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	0	0	226	0	5	0	1	11	955	15	0	0	0	0	320	57	764	274	4	1	2	656	1	51	3343
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	279	0	269	187	101	75	17	89	120	102	14	361	17	92	276	85	45	89	119	404	13	36	166	114	3070
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	155	0	216	239	54	98	239	14	243	100	174	88	77	172	41	286	97	159	25	39	107	65	36	89	2813
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	3	0	157	457	43	158	46	55	145	225	0	148	99	255	83	3	78	242	124	107	17	94	115	24	2678
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	43	2	81	143	105	323	131	85	68	305	0	75	80	239	90	54	116	90	53	115	73	92	23	57	2443
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter rarus	16	0	229	748	0	0	132	0	0	0	138	0	416	430	0	49	0	0	0	0	0	0	1	37	2196
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia glucerasea	31	0	173	36	99	65	19	195	48	81	67	75	5	33	133	27	68	89	21	89	17	42	590	35	2038
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	12	0	43	90	98	159	53	45	169	158	1	63	60	43	31	84	91	269	112	45	4	85	192	68	1975
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	1189	0	34	14	83	1	0	0	49	15	1	0	27	0	1	122	0	0	7	88	19	0	1	71	1722
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Wansuia;Wansuia hejianensis	30	0	103	92	50	10	55	37	58	42	73	70	47	102	40	250	35	55	41	112	7	153	79	26	1567
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	9	0	63	120	17	60	49	63	72	89	24	103	17	87	65	40	40	74	58	29	4	12	118	41	1254
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	40	0	38	28	116	4	62	152	22	53	47	58	18	42	33	129	32	0	60	124	22	16	68	41	1205
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	31	0	22	149	0	0	331	30	0	0	7	14	0	101	21	47	44	86	22	136	118	35	7	0	1201
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	35	0	31	36	15	6	63	66	43	52	16	63	38	36	16	73	55	105	68	43	1	82	32	177	1152
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	14	1	44	88	7	18	22	65	22	61	20	120	68	53	24	19	71	48	50	132	0	20	53	23	1043
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	17	0	58	34	8	0	7	77	3	1	2	253	73	17	35	14	38	39	56	166	1	33	56	29	1017
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	654	0	2	0	24	0	0	18	8	0	0	63	0	0	181	7	0	0	8	43	0	0	0	0	1008
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	2	0	0	0	0	52	21	1	0	2	0	0	102	23	608	9	3	3	0	9	2	167	1004
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	0	1	0	3	0	0	0	372	6	0	0	0	0	3	27	309	54	1	1	0	107	0	3	887
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	97	0	23	23	17	52	41	62	26	40	48	23	16	53	48	16	21	19	22	35	39	12	34	76	843
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella baroniae	14	0	1	2	54	0	55	55	69	37	1	69	2	1	28	65	17	156	90	0	0	10	31	0	757
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	27	0	58	68	13	26	41	1	68	22	43	22	14	52	6	55	24	42	6	5	21	19	11	26	670
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter gnavus	11	0	63	2	0	0	0	82	0	0	5	11	6	1	290	10	0	2	6	26	16	0	87	8	626
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	6	1	20	45	22	13	56	19	10	21	19	43	41	59	18	52	33	40	4	29	2	39	12	10	614
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	18	0	2	91	40	29	5	51	63	2	2	74	5	7	8	2	3	20	1	85	4	4	52	25	593
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	0	0	25	3	0	0	0	21	0	0	0	346	5	0	61	3	1	3	17	43	0	0	53	2	583
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	1	0	124	27	7	6	0	2	5	1	1	3	6	2	3	0	0	2	5	176	12	1	0	98	482
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bilifractor;Bilifractor porci	17	0	12	26	9	10	16	32	3	17	1	59	14	54	42	14	19	13	14	41	12	21	11	17	474
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	1	0	8	18	10	20	10	19	27	29	4	108	12	7	11	27	5	15	26	11	1	33	24	42	468
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	2	0	18	33	9	37	29	5	5	40	0	8	58	45	6	82	13	16	1	11	15	11	2	15	461
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	4	0	24	18	26	1	2	25	10	5	2	75	13	19	23	59	10	7	16	80	0	4	21	7	451
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	0	0	1	0	1	0	130	3	0	0	0	0	16	18	0	78	0	0	0	189	0	1	437
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	70	0	3	53	7	44	6	16	72	5	4	28	1	2	14	8	7	27	0	38	3	8	14	2	432
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	10	0	0	0	0	0	200	0	0	0	15	0	0	0	0	79	0	0	35	0	44	23	0	0	406
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Bordigoni et al. 2020)	4	0	12	25	15	44	20	6	7	53	0	10	16	41	10	16	23	17	5	20	19	20	4	8	395
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	2	0	7	8	16	1	3	10	3	7	1	32	5	6	21	141	4	10	11	36	0	1	12	8	345
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	8	0	19	21	4	14	12	10	22	33	4	24	4	20	22	25	17	14	23	12	2	3	17	7	337
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	42	0	0	0	3	0	0	14	2	0	0	64	5	0	23	2	0	0	32	20	0	3	105	5	320
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	31	1	5	23	2	20	18	11	33	2	1	20	7	1	5	1	1	22	2	33	9	11	8	3	270
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	0	0	2	1	2	0	0	24	2	0	0	35	0	1	27	1	0	2	58	44	1	4	27	8	239
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella buccae	6	1	0	0	18	0	13	19	15	16	0	23	0	0	5	9	12	51	19	0	0	5	9	0	221
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Butyricicoccus;Butyricicoccus pullicaecorum	21	0	55	0	0	0	0	7	0	0	6	17	9	0	40	9	0	2	0	4	0	13	0	2	185
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	47	0	16	8	6	0	0	2	2	0	0	2	4	0	12	2	0	0	19	9	2	4	30	7	172
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Porcincola;Porcincola intestinalis	2	0	13	15	10	3	22	3	2	13	9	12	8	15	2	10	8	7	1	6	0	6	0	3	170
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	1	0	19	15	5	7	0	8	5	10	0	10	1	11	1	0	1	10	29	12	0	5	14	0	164
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	2	0	61	6	0	0	0	13	0	0	0	3	2	6	5	2	2	3	1	8	0	0	44	3	161
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	2	0	8	26	0	0	19	0	0	2	23	1	41	22	0	6	0	0	1	0	0	0	2	7	160
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	1	0	10	55	0	0	12	1	0	0	15	0	33	26	0	2	0	0	0	0	0	0	0	0	155
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Waltera;Waltera intestinalis	6	0	14	5	18	2	3	4	13	9	7	3	5	5	2	14	3	0	2	17	3	6	4	2	147
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	2	0	2	0	0	0	1	1	0	2	0	3	1	2	2	1	1	4	46	9	0	1	69	0	147
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	1	0	6	8	0	7	12	1	0	4	0	1	46	6	1	42	1	1	0	1	3	2	0	3	146
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	0	10	0	0	0	1	51	0	0	0	9	0	0	13	0	1	0	7	6	0	5	31	9	143
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	3	0	46	6	0	0	0	4	0	0	0	0	3	9	2	3	3	7	3	3	0	1	44	2	139
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	99	0	0	0	3	0	0	4	2	0	0	5	0	0	17	0	0	0	3	4	0	0	0	0	137
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	0	31	5	14	3	1	11	1	0	2	8	0	0	0	0	3	2	37	1	3	3	7	132
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	16	0	0	2	0	0	16	0	0	0	14	0	0	1	0	11	0	0	43	0	2	27	0	0	132
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	3	0	2	11	0	6	7	5	2	8	7	13	4	3	0	8	7	5	10	16	0	1	6	6	130
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	0	1	0	20	0	0	8	10	2	0	12	4	0	13	0	0	0	12	6	0	3	34	2	127
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella maculosa	2	0	3	26	2	0	5	3	1	7	9	8	25	13	3	1	1	9	3	0	0	0	2	2	125
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	2	0	1	1	0	0	0	8	0	1	0	6	1	0	15	25	0	1	18	4	0	0	38	0	121
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	2	0	6	8	6	0	0	4	1	0	0	29	1	3	8	10	2	1	1	25	0	3	4	5	119
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	1	0	6	6	1	0	0	7	3	4	0	13	1	3	5	17	2	2	2	27	0	0	7	2	109
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	2	0	3	9	1	0	13	3	3	4	2	8	5	18	2	7	3	8	1	8	0	4	3	2	109
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	0	0	6	1	0	1	2	7	0	0	2	17	6	0	3	20	4	4	5	19	0	3	4	1	105
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	2	0	13	0	0	0	0	1	8	7	0	1	0	0	3	3	0	0	13	21	1	1	16	10	100
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	2	2	0	0	4	10	0	0	0	16	17	3	2	0	0	8	1	1	0	1	24	1	92
