"ID"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"njc132"	0.04	0.02	0	0	0.04	0	0	0.4	0	0.07	0	0	0	0	0	0.69	0	0	0	0	0	0	0.4	0	0	0.27	0.04	0	0.04	0.09	0	0	0	0
"njc133"	0.04	0.02	0	0	0.04	0	0	0.49	0	0.13	0	0	0	0	0	0.87	0	0	0	0.02	0	0	0.76	0	0.07	0.29	0.07	0	0.09	0.09	0	0	0.02	0
"njc134"	0.07	0.27	0.07	0	0.2	0	0	0.44	0	0.16	0.09	0.02	0	0	0	0.8	0.02	0.02	0	0.02	0.02	0	0.4	0	0.02	0.33	0.07	0.04	0.07	0.18	0	0.27	0.07	0.04
"njc135"	0.02	0.33	0.04	0	0.2	0.04	0	0.07	0	0.2	0.13	0.04	0	0	0	0.13	0.02	0.04	0	0.04	0.04	0.02	0	0	0.02	0.11	0.04	0.04	0.04	0.09	0	0.27	0.18	0.07
"njc136"	12.86	11.53	16.21	22.73	18.89	1.62	21.54	19.36	17	24.42	27.04	28.84	18.96	11.09	34.31	30.9	31.37	12.56	16.83	17.87	40	7.47	27.94	1	14.49	20.76	22.18	31.29	9.67	16.93	1.71	35.19	19.74	14.6
"njc137"	0.09	0.07	0	0	0.04	0	0	0.49	0	0.13	0.02	0	0.09	0	0	0.87	0	0	0	0.02	0.02	0.02	0.76	0	0.07	0.29	0.07	0	0.13	0.09	0	0	1.11	0.02
"njc138"	0.07	0.16	0.04	0	0.07	0	0	0.04	0	0.07	0.07	0.02	0.09	0	0	0.09	0.02	0.02	0	0.02	0.04	0.02	0.13	0	0	0.04	0.02	0.04	0.07	0.07	0	0.18	0.04	0.04
"njc139"	0	0.02	0.02	0	0	0	0	0.02	0	0.04	0.02	0	0	0	0	0.51	0	0	0.04	0	0	0	0	0	0	0.16	0.04	0	0	0.04	0	0	0.04	0.02
"njc140"	0.04	0.02	0	0	0.04	0	0	0.4	0	0.07	0.02	0.02	0	0	0	0.69	0	0	0	0	0	0.02	0.4	0	0	0.27	0.04	0	0.04	0.09	0	0	0	0.02
"njc141"	13.9	14.53	18.56	26	19.98	1.8	21.74	21.45	18.29	24.13	28.91	32.88	22.51	13.31	37.62	37.83	33.21	18.5	17.81	18.56	41.31	9.27	29.28	1.56	15.14	21.98	23.98	34.16	13.24	18.27	1.96	39.08	20.72	15.29
