"ID"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"ko00010"	0.0124837231051183	0.0127174518594929	0.0125081423198728	0.0123622929836551	0.0125072317444255	0.0124628861889979	0.01261381147085	0.0137555930507123	0.0124638648762133	0.0127005622662216	0.0131136847871448	0.0126896848109211	0.0126339634498878	0.0122555140284586	0.0137236040498985	0.0128953802136454	0.0125193148608972	0.0121129076930988	0.0123336397674338	0.0126081592308871	0.0123321127470075	0.01216594156036	0.0119785836664504	0.0125484142681405	0.0123800438723026	0.0122102905215261
"ko00020"	0.00583721702687894	0.00561125160819833	0.00604971819840499	0.00641775587455695	0.0056643076348045	0.00583221203203878	0.00609701607442702	0.00595815175067754	0.00551509145908245	0.00544979505750925	0.00582068790435792	0.00607945476345086	0.00607088829307535	0.00572286342814267	0.00630425255704432	0.00594810969399818	0.00525848343052586	0.00629297979784081	0.00622347410950604	0.00566531991468136	0.00536789146825524	0.00627847204284608	0.00607231663492091	0.00567186736545005	0.00597447718249029	0.0057230716392476
"ko00030"	0.00638824397732878	0.00681617589179316	0.00634042907708134	0.0060676761588122	0.00649349061558308	0.00615857692655639	0.00641814329285096	0.00640117046508047	0.00629012235695077	0.00687400962700186	0.00610671966220032	0.0064757562630599	0.00642257396622935	0.00583998585756935	0.00569648173499776	0.00606820914042679	0.0063351061738147	0.00571046741416712	0.00566319865327084	0.00615988039144048	0.00659209227193304	0.00560960617984488	0.00617775994226908	0.00635459246697092	0.006161289456623	0.00695808569631101
"ko00040"	0.00485754184181653	0.00598977206703026	0.00439688612440243	0.00359709504317498	0.00524566360046555	0.00432742244579888	0.00458756093430117	0.00450741410977353	0.00480305572686476	0.00625762960500439	0.00417424720915629	0.00450303960769276	0.00438866621674358	0.00369642398822196	0.00324503846389157	0.00393961977783747	0.00580382218100591	0.00343454516363483	0.00329612408381007	0.00469310201389974	0.00580716070530983	0.00311697415212123	0.00411186345752232	0.00484304567463104	0.00435116169830062	0.00600918062171825
"ko00051"	0.0123157346565357	0.0147252346565119	0.0114041710241955	0.011309019361442	0.0126617360878739	0.011413589584044	0.00835265467923082	0.0118026868314126	0.0114096076332255	0.014765874328642	0.00879926375500348	0.0116776606734464	0.0115823625028223	0.00988059745483702	0.00936982541427846	0.00991007907094582	0.0140610643654971	0.0100896185262768	0.00990572902988674	0.0124136107086891	0.0142173607071209	0.0104832746038071	0.00876038290822557	0.0117462726551001	0.0119062313039431	0.0135273343908408
"ko00052"	0.00692907778462754	0.0076177950819353	0.00694348957581598	0.00707380019488549	0.00710100680041595	0.00664886570530949	0.00630463207674146	0.00812573831421566	0.00650785358268882	0.00762967000837181	0.00629336576349366	0.00756380115584597	0.0075726240866286	0.00591686793133438	0.0062995424134161	0.00654292233963749	0.0071358622192481	0.00599347818503341	0.00608220066736221	0.00675024517213995	0.00732083244571506	0.00592521371166728	0.00745223250703244	0.00703810491405406	0.0067256502788219	0.00885156852233633
"ko00053"	0.00220964848191763	0.00343726210013534	0.00175223684774116	0.00134127430906923	0.00258443502881992	0.0018708328640793	0.0012704196942575	0.00165853331235829	0.00216035172845753	0.00364372997697877	0.0013432743867588	0.00178820265445416	0.00175800651463134	0.00127195318957074	0.00117420967055354	0.00124192472565185	0.00334819326111284	0.000998377726934361	0.00102475081778815	0.00230785653226248	0.00359950421116558	0.00105810821080644	0.00154276378806581	0.00245097160090507	0.00195098403706082	0.00304032303855829
"ko00061"	0.00395154319109255	0.0037886975885664	0.00434169372804603	0.00470717107888855	0.00389884248982938	0.00392649856949826	0.00504584029865249	0.00478039141328917	0.00371684297578419	0.00377085372348098	0.00431151463167528	0.00473193168566943	0.0048376013886334	0.00375250708622365	0.00411526827898163	0.00423193341299286	0.00350756372525014	0.0040579517095138	0.00413108830363634	0.00375476014290175	0.00382098473139168	0.00395397098339531	0.00553025074300015	0.00431537693557945	0.00397732599223683	0.0047473018829436
"ko00071"	0.00445045025013813	0.00432607662745	0.00408861760872151	0.00352731649229206	0.00458505884289493	0.00439818861450629	0.00522262628443901	0.00394411757068867	0.00479316438133139	0.00447742578308781	0.00508591957393353	0.00378458699491524	0.00385991850644282	0.00482068624110349	0.00470282086655818	0.00444588977743154	0.00479366910793849	0.00448693818493203	0.00458857759134664	0.00457022331649724	0.00448004199323029	0.00441730608628494	0.00447424374550408	0.00479879338358434	0.00434577916423296	0.00413013575337924
"ko00072"	0.000802341136673227	0.0008600127743784	0.000819240118647558	0.000651066998526608	0.000831018928847726	0.000750708741940709	0.00128985404974445	0.000661345018710191	0.000797765638928572	0.000911477454923772	0.000956866687713259	0.000758817414097375	0.000735971935347315	0.000756436008157719	0.000772583633118743	0.000722880729194126	0.000887070482685078	0.000731247494875202	0.000733323965439745	0.000785607146053089	0.000850758806324937	0.00073063435454231	0.000711714601342513	0.000903571717987997	0.000772441619273529	0.000710599336612828
