tax	BUD-16-DRS-L161	CHA-57-DRS-L131	EXP-PBC096_barcode52	GIN-43-DRS-L130	GOO-4-DRS-L222	GOO-4-MGE-L223	GRO-36-MGE-L214	GRO-41-DRS-L189	GRO-41-MGE-L190	GRO-70-DRS-L217	HAM-17-MGE-L175	HAM-4-DRS-L132	HAM-4-MGE-L133	HAM-67-DRS-L207	HAM-67-MGE-L208	HER-17-MGE-L187	HER-2-DRS-L145	HER-2-MGE-L146	HER-44-DRS-L137	HER-44-MGE-L138	HER-58-DRS-L179	HER-58-MGE-L180	IRI-16-DRS-L147	IRI-16-MGE-L148	IRI-36-MGE-L134	IVY-36-MGE-L188	JAR-2-DRS-L159	JAR-2-MGE-L160	JAR-3-DRS-L220	JAR-3-MGE-L221	JAR-44-DRS-L203	JAR-44-MGE-L204	JOA-3-MGE-L225	KOR-44-DRS-L191	KOR-44-MGE-L192	KOR-58-MGE-L215	KUB-58-DRS-L205	KUB-58-MGE-L206	LAM-2-DRS-L218	LAM-2-MGE-L219	LAM-70-DRS-L143	LAM-70-MGE-L144	MAR-37-MGE-L224	MAR-41-MGE-L202	MAR-70-DRS-L209	WOL-44-DRS-L177	WOL-44-MGE-L178	WOL-70-DRS-L157	WOL-70-MGE-L158	total
Bacteria;Bacteria_none;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	364	0	0	0	0	0	0	0	0	313	0	0	0	0	630	0	0	497	0	0	0	0	0	1	0	0	312	0	1	0	250	0	0	0	0	0	0	0	797	0	0	0	0	234	0	0	1	1	0	3401
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	15	1	0	0	0	0	0	0	0	93	0	0	0	0	589	0	0	24	0	0	0	0	0	0	0	0	1575	0	0	0	301	0	0	0	0	0	1	0	108	0	0	1	0	328	0	1	0	1	1	3039
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium aesculapii	1331	0	0	0	1	251	0	0	0	260	0	0	0	0	2	1	0	48	0	0	0	0	0	0	1	0	534	0	0	1	19	0	0	0	0	0	0	0	7	0	0	0	0	261	0	0	0	0	0	2717
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	225	0	0	0	0	0	0	0	0	889	0	0	0	0	222	0	0	82	0	0	0	0	1	0	0	0	1120	0	0	1	66	0	0	0	0	0	0	0	33	0	0	1	0	51	0	0	0	0	0	2691
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	451	0	0	0	0	0	1	0	0	180	0	0	0	0	371	0	0	137	0	1	0	0	1	0	0	0	881	0	0	0	148	0	0	0	0	0	0	0	107	0	0	1	0	388	0	0	1	0	0	2668
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	562	0	0	0	0	1	0	0	0	1030	0	0	0	0	10	0	0	219	0	0	0	0	0	0	0	0	40	0	0	0	86	0	0	0	0	0	1	0	231	0	0	0	0	133	0	0	0	0	0	2313
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	1	0	0	0	0	1266	0	0	0	827	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	29	0	0	0	0	1	0	0	0	0	0	2158
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	526	1	0	0	0	0	0	0	0	23	1	0	0	0	165	0	0	51	0	0	0	0	0	0	0	0	396	0	0	0	329	0	0	1	0	0	0	0	42	0	0	0	0	459	0	0	0	0	0	1994
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	315	1	0	0	0	0	0	0	0	100	0	0	0	0	308	0	0	100	0	0	0	0	0	0	0	1	623	0	0	0	109	0	0	0	0	0	0	0	114	0	1	0	0	246	0	0	0	0	0	1918
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium rousetti	270	0	0	0	0	19	0	0	0	172	0	0	0	0	5	0	0	19	0	0	0	0	0	0	0	0	189	0	0	0	26	0	0	0	1	0	0	0	6	0	0	0	0	774	0	0	0	0	0	1481
