task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
35	85/d6b692	5386	fastcat (31)	COMPLETED	0	2025-03-24 10:49:43.066	1.4s	280ms	23.0%	3.4 MB	12 MB	161.3 KB	9.9 KB
7	0b/ea5f9e	5444	fastcat (3)	COMPLETED	0	2025-03-24 10:49:43.129	1.3s	270ms	23.7%	3.4 MB	12 MB	178 KB	21.7 KB
6	8f/5f3ee6	5472	fastcat (2)	COMPLETED	0	2025-03-24 10:49:43.152	1.3s	282ms	22.8%	3.4 MB	12 MB	196.4 KB	34.5 KB
28	3c/e429ca	5410	fastcat (24)	COMPLETED	0	2025-03-24 10:49:43.094	1.3s	278ms	23.1%	3.5 MB	12 MB	190.7 KB	30.8 KB
32	5d/06ea1f	5395	fastcat (28)	COMPLETED	0	2025-03-24 10:49:43.080	1.4s	303ms	21.4%	3.5 MB	12 MB	185.4 KB	27.4 KB
21	40/c6941a	5482	fastcat (17)	COMPLETED	0	2025-03-24 10:49:43.165	1.3s	314ms	20.7%	3.6 MB	12 MB	155.1 KB	5.2 KB
36	08/0359ca	5512	fastcat (32)	COMPLETED	0	2025-03-24 10:49:43.182	1.3s	300ms	21.5%	3.6 MB	12 MB	172.6 KB	18.2 KB
15	5a/98d0c8	5454	fastcat (11)	COMPLETED	0	2025-03-24 10:49:43.141	1.3s	322ms	20.3%	3.4 MB	12 MB	172.8 KB	18 KB
24	5b/2da399	7318	fastcat (20)	COMPLETED	0	2025-03-24 10:49:44.414	435ms	127ms	57.6%	67.2 MB	189.1 MB	160.8 KB	9.6 KB
49	68/3dda8e	7382	fastcat (45)	COMPLETED	0	2025-03-24 10:49:44.442	405ms	114ms	47.4%	81.9 MB	382 MB	207.9 KB	42.3 KB
48	9e/8263ce	7362	fastcat (44)	COMPLETED	0	2025-03-24 10:49:44.429	430ms	122ms	52.2%	71.4 MB	189.1 MB	191.1 KB	31.1 KB
50	3b/e511f2	7502	fastcat (46)	COMPLETED	0	2025-03-24 10:49:44.476	411ms	108ms	58.2%	84.7 MB	382 MB	184.9 KB	26.8 KB
47	2a/46309f	7420	fastcat (43)	COMPLETED	0	2025-03-24 10:49:44.453	443ms	134ms	48.0%	65.8 MB	189.1 MB	177.7 KB	21.5 KB
51	93/5c5e99	7554	fastcat (47)	COMPLETED	0	2025-03-24 10:49:44.489	411ms	108ms	50.2%	77.4 MB	382 MB	167.4 KB	14.4 KB
45	1d/269cbb	7467	fastcat (41)	COMPLETED	0	2025-03-24 10:49:44.467	477ms	162ms	34.6%	70.4 MB	189.1 MB	184.9 KB	26.7 KB
27	dd/2a0d31	9238	fastcat (23)	COMPLETED	0	2025-03-24 10:49:44.863	437ms	140ms	39.4%	72.6 MB	189.1 MB	155.3 KB	5.4 KB
20	1a/a54163	9317	fastcat (16)	COMPLETED	0	2025-03-24 10:49:44.899	424ms	127ms	49.6%	79.8 MB	189.1 MB	166.7 KB	13.9 KB
33	f2/35592e	9399	fastcat (29)	COMPLETED	0	2025-03-24 10:49:44.922	428ms	142ms	51.6%	82.9 MB	189.1 MB	172.4 KB	17.8 KB
34	4c/51d08c	9284	fastcat (30)	COMPLETED	0	2025-03-24 10:49:44.889	489ms	179ms	41.6%	73.6 MB	189.1 MB	183.8 KB	25.9 KB
29	5e/379525	9354	fastcat (25)	COMPLETED	0	2025-03-24 10:49:44.908	470ms	159ms	41.2%	82.9 MB	189.1 MB	207.7 KB	42.5 KB
11	92/03cb07	9546	fastcat (7)	COMPLETED	0	2025-03-24 10:49:44.959	461ms	141ms	38.7%	61.4 MB	189.1 MB	167.5 KB	14.5 KB
31	23/445585	9267	fastcat (27)	COMPLETED	0	2025-03-24 10:49:44.879	676ms	383ms	204.1%	75.1 MB	382 MB	44.2 MB	29.8 MB
52	29/e01524	7611	fastcat (48)	COMPLETED	0	2025-03-24 10:49:44.500	1.1s	756ms	339.6%	86.3 MB	510.9 MB	141.9 MB	98.2 MB
5	18/c05ffc	10891	fastcat (1)	COMPLETED	0	2025-03-24 10:49:45.316	449ms	113ms	53.8%	69.4 MB	318 MB	167.1 KB	14.2 KB
23	6c/d9cd2f	10929	fastcat (19)	COMPLETED	0	2025-03-24 10:49:45.335	440ms	108ms	65.5%	79.1 MB	382 MB	191.1 KB	30.9 KB
14	b1/9c6dca	11048	fastcat (10)	COMPLETED	0	2025-03-24 10:49:45.386	441ms	128ms	42.2%	69.8 MB	189.1 MB	155 KB	5.1 KB
19	d6/4ba5ac	11178	fastcat (15)	COMPLETED	0	2025-03-24 10:49:45.432	471ms	141ms	45.2%	70.1 MB	189.1 MB	167.1 KB	14.4 KB
1	31/0fecea	11646	minimap_pipeline:run_common:getParams	COMPLETED	0	2025-03-24 10:49:45.584	364ms	15ms	63.7%	0	0	77.5 KB	3.4 KB
22	c7/b8b20f	11534	fastcat (18)	COMPLETED	0	2025-03-24 10:49:45.565	501ms	145ms	49.7%	47.1 MB	189.1 MB	167.1 KB	14.4 KB
26	87/778306	10981	fastcat (22)	COMPLETED	0	2025-03-24 10:49:45.357	812ms	518ms	329.3%	81.3 MB	382 MB	94.6 MB	64.4 MB
8	a2/4353a4	12527	fastcat (4)	COMPLETED	0	2025-03-24 10:49:45.774	409ms	130ms	41.9%	63.2 MB	189.1 MB	172.7 KB	18.4 KB
25	43/a463e4	12754	fastcat (21)	COMPLETED	0	2025-03-24 10:49:45.863	403ms	118ms	60.4%	72.9 MB	189.1 MB	190.4 KB	30.6 KB
13	60/f55a08	12940	fastcat (9)	COMPLETED	0	2025-03-24 10:49:45.918	411ms	122ms	51.3%	70.3 MB	189.1 MB	190.9 KB	30.5 KB
17	54/311e96	11085	fastcat (13)	COMPLETED	0	2025-03-24 10:49:45.395	1s	707ms	364.2%	86.1 MB	382 MB	125.8 MB	88 MB
18	76/c50a8a	13352	fastcat (14)	COMPLETED	0	2025-03-24 10:49:46.076	427ms	107ms	49.2%	73.9 MB	382 MB	184.8 KB	27 KB
9	07/9d93e4	13828	fastcat (5)	COMPLETED	0	2025-03-24 10:49:46.212	381ms	108ms	57.8%	79.5 MB	382 MB	172.7 KB	18.3 KB
10	c3/abbaeb	13754	fastcat (6)	COMPLETED	0	2025-03-24 10:49:46.184	572ms	283ms	290.7%	86.7 MB	510.9 MB	44.2 MB	30.6 MB
16	e5/17fdbe	12557	fastcat (12)	COMPLETED	0	2025-03-24 10:49:45.786	993ms	688ms	360.3%	73.8 MB	510.9 MB	150.7 MB	103 MB
30	d6/2d575c	14101	fastcat (26)	COMPLETED	0	2025-03-24 10:49:46.337	450ms	143ms	44.7%	82.6 MB	189.1 MB	155.6 KB	5.7 KB
37	0f/38dae7	14360	fastcat (33)	COMPLETED	0	2025-03-24 10:49:46.405	429ms	107ms	49.4%	76.5 MB	382 MB	165.8 KB	12.9 KB
39	9c/10b86e	14815	fastcat (35)	COMPLETED	0	2025-03-24 10:49:46.515	432ms	135ms	46.5%	73.8 MB	189.1 MB	155.1 KB	5.2 KB
12	e3/4a4e2a	13968	fastcat (8)	COMPLETED	0	2025-03-24 10:49:46.277	905ms	592ms	325.9%	75.4 MB	382 MB	102.9 MB	70.6 MB
42	8d/d59d39	15615	fastcat (38)	COMPLETED	0	2025-03-24 10:49:46.801	407ms	118ms	45.5%	70.7 MB	382 MB	179.3 KB	23.1 KB
