"","Hera_1","Wolverine_1","Hamlet_11","Hera_11","JarJarBinks_11","Hera_14","Iris_14","Kubo_14","Wolverine_14","JarJarBinks_15","Kubo_15","Iris_17","Kubo_17","Lambchop_17","Wolverine_17","Hamlet_18","Hera_18","Iris_18","JarJarBinks_18","Kubo_18","Lambchop_18","Wolverine_18","Ophelia_19","Wolverine_19","Hera_2","JarJarBinks_2","Lambchop_2","Goose_20","Hera_20","Iris_20","Ophelia_20","Hamlet_21","JarJarBinks_21","Korra_21","Goose_22","Hamlet_22","Hera_22","Iris_22","Kubo_22","Hamlet_23","Iris_23","Korra_23","Hera_24","Kubo_24","Ophelia_24","Wolverine_24","Kubo_25","JarJarBinks_29","Korra_29","JarJarBinks_3","Kubo_30","Hamlet_31","JarJarBinks_32","Goose_37","Hera_37","Kubo_37","Lambchop_37","Ophelia_37","Wolverine_37","Goose_4","Hamlet_41","Hera_41","Goose_42","Lambchop_42","Ophelia_43","Goose_44","Iris_44","JarJarBinks_44","Lambchop_44","Hamlet_45","Hera_45","JarJarBinks_45","Korra_45","Ophelia_45","Hamlet_46","Iris_46","Lambchop_46","Hamlet_48","Hera_48","Korra_48","Kubo_48","Lambchop_48","Ophelia_48","Wolverine_48","Iris_49","JarJarBinks_49","Kubo_49","Ophelia_49","Wolverine_49","JarJarBinks_50","Korra_50","Lambchop_50","Ophelia_50","Wolverine_50","Lambchop_51","Goose_52","JarJarBinks_52","Kubo_52","Kubo_53","Iris_55","Lambchop_55","Ophelia_55","Ophelia_57","Wolverine_57","Goose_58","Wolverine_58","Goose_59","Hamlet_59","Iris_59","Ophelia_59","Korra_6","Iris_60","Wolverine_60","Hamlet_67","Hera_67","JarJarBinks_68","Hera_7","Iris_7","Korra_9"
"Hera_1",0,16.298618530257,13.0059446410159,14.6734287024378,17.9036950274095,12.4278386282875,21.930003749084,18.2267551277698,21.1977256938249,16.4347581961491,16.4347171114375,19.9919399468753,15.4233756451806,23.3066312019031,14.9462173094483,10.2099945978612,11.209820202126,20.6297710637281,14.1333225768542,13.3432830402594,24.5406289680011,15.5709250578763,12.4110787487122,20.7984392961786,16.2859436935501,28.0678333716859,21.45614371402,15.6105032469536,12.3997809694698,18.8474193605172,16.8989186031814,13.1184199848769,14.635454595388,15.5866685466723,17.2999321124439,17.2532493564255,19.251418611867,19.6140828427064,15.9416909420022,12.7220871259294,19.9513123544856,16.334271275802,10.9282667191961,15.4047799866189,16.0937943412806,16.2904500804809,16.1358797094657,14.4943395402509,17.0299840741774,12.0061700374769,17.1667767802173,14.070117501678,19.451829382581,17.7324021907693,12.9427224619959,15.2851384380886,18.0925688253115,18.9569775704662,18.3843051821269,37.5828863775817,16.4276318505524,12.986107023195,18.0556491568087,17.7656845676472,17.5748132936476,17.973776484362,21.2664200785841,22.2031783523515,17.734713003687,13.80357460692,15.376708225556,21.2107686089648,15.3693974821435,17.5126503226416,12.8645232391088,22.1042533300023,17.9903725729679,11.8958232384677,13.1052251275615,14.7160123185947,15.5653821686258,17.3607651152901,17.7092451787247,20.2523524175353,19.5198056885616,16.9158714948797,13.6600854956039,17.5998503902722,20.344805789064,16.7002730031212,12.8006326123012,18.9317110448009,22.2781482979819,18.5724387393672,17.1425070830126,16.7888062642809,13.3202341415565,16.0906037187425,15.4959441008041,18.9667394068864,16.8309790804619,19.054439062574,16.7370396168704,19.0804817206913,20.1244258673755,18.2137113591084,17.3140377672749,13.5825333213078,19.9409355390771,21.6229234955023,19.3509790094804,23.2494187352283,21.1780290950676,18.0936865130421,12.7666006573818,16.0244473106787,8.38528942270451,23.3914866870108,13.9419710552475
"Wolverine_1",16.298618530257,0,17.0216971508381,19.8258515986831,17.9282295092497,17.7617569926096,16.5718357582491,20.3987199525064,17.0366724172013,16.5726362522183,17.5176282909696,16.4248347673714,18.6186105133675,25.8160500947478,12.1107378575382,14.6717563329993,15.9183662677048,15.9093724507663,19.7109990962074,15.9391346050018,27.1226498115965,10.7412637730551,16.3764941283987,16.3048441612903,22.5823622778628,23.1350552700216,24.0453035729167,20.5265392983242,16.3537299101261,15.7939779111983,19.4781730821813,17.254505051282,20.5205474385587,21.2496630922528,22.184174931946,20.637161550433,22.3555240165925,16.1714108585856,18.7316109340155,18.0701750193329,18.6176065701983,21.815760574184,15.59916290948,21.3314662032308,17.0334326117274,11.9467651024515,18.4220438750693,20.203734844677,21.6614125007569,19.4596178004264,19.2997896219163,18.6528970961798,25.3882462975596,22.682583651467,16.6486840620051,15.3014609943547,23.5245643308256,21.4647855125623,11.6336538235012,38.7803605053867,21.1548966988367,17.4462415785609,23.896212769431,18.867703266046,19.5325624547444,21.9373430609599,17.5273319116201,25.2572729931874,19.557834351985,18.0099747986018,19.0779882032368,22.896877703977,22.2268607075927,19.6525496000333,18.1907312325106,19.6920792276929,19.5279047652733,17.1067688569671,17.5183628242017,21.1462578733323,14.9135695681291,22.6242109165144,18.9759934660523,15.8512509646852,18.3157607055534,22.6698357944355,13.0178066867032,20.6744456119904,16.5901877934788,23.162313657587,20.3403287436698,20.7695339472947,24.2057330557728,16.4246112638189,19.4956254855904,22.2303511182088,19.8365778319127,20.9453160865411,14.6237847668183,16.1304875594925,19.1916960381548,21.4511156675154,18.7952197251213,15.5776170062587,24.4965589717898,14.1725834058576,22.8140309826195,18.3343176212461,16.4594872378602,24.3425468647891,21.025772402969,20.3466457346529,17.5770784051177,20.1609744156499,17.4091753539771,20.77166812951,17.5428037863234,22.053188359761,19.1930811666934
"Hamlet_11",13.0059446410159,17.0216971508381,0,11.0358936529997,15.0127396204341,10.2107687781003,20.4179971629929,17.0238954812053,19.7521178761916,15.4732600420032,16.0919399978825,20.8267263186208,18.9704746028727,24.0517437020177,16.5908678792641,13.1542359519975,15.0284073877262,20.9991788902807,19.4056820999605,18.6257008790852,26.2215918532729,16.7609788075479,15.8475055765483,20.6540306350207,18.6790743711383,26.6068449843111,21.4889104606823,21.0662302000675,15.0071059558037,19.2383896798541,17.3296356908981,14.5849560004644,20.4420189640524,21.1093098615004,21.5070265630209,17.188153535862,21.8915716977042,21.1227733103544,19.2598150424421,11.1142333163803,21.5651252052611,21.2670401418347,12.7264246741245,20.7394729752879,17.015899464099,17.4007976368253,18.4251894550937,19.7832746186017,20.6863106750616,18.5710526556408,18.9281832208769,15.4846091936856,24.1795743617011,22.441727304518,13.853906766205,15.3345510866362,22.6899929511486,17.4140430647912,17.8164725269524,36.3671278608393,15.8154171679562,12.1805764649745,23.2070474370004,21.1145201706414,16.3384828608557,22.5757878141755,21.9961385754638,24.6067590151277,21.2029501007738,13.6791108276453,13.9567996232895,20.4299576421805,21.0183310757844,17.1640325539585,15.2174224236359,22.2279044934984,20.8188710589323,13.1740604195427,13.6888438399028,20.332107893371,16.6158333703364,22.8153267889599,16.8817147877395,20.0363395075332,22.1239221956958,22.1142061467447,16.5518976624688,17.3307853696092,20.248408261127,22.3525254534251,19.6791579673921,22.2693862868433,20.4589680975332,19.2488169330529,21.2501648889063,22.546285320463,19.8233845993029,20.0700023653316,17.0972201241261,19.9089360889833,19.8633397360979,17.8255299106341,17.1130675991052,17.7563160332487,24.1029553172394,17.5905408573531,22.1362646164519,12.1303096511832,21.0914797709164,22.1428546985744,20.0592659687614,23.6156850403823,20.8596785105418,16.5161740218368,16.2450848137184,21.8722793949444,14.1802571150529,25.0807526097952,19.65815945812
"Hera_11",14.6734287024378,19.8258515986831,11.0358936529997,0,16.0690378855909,10.6585701314676,23.749446379347,15.5115924141211,20.8054679090058,16.9959014044481,15.2851030206966,23.0748111853249,17.0658026062287,23.2534751735364,18.1650720961384,15.2575254167704,16.5774369306967,23.4280435693225,19.4572691925763,19.3081034264444,25.0816484854416,18.9540612831835,18.0177180390638,23.4093344295636,22.4474275628776,29.84138101397,24.4323156608568,22.367171453658,15.9270031190144,21.5002982706926,16.8472717259658,14.3418269761399,19.967117986546,18.742071797076,20.0827210228052,14.3588408086275,23.6429542449859,22.9200913480833,18.8760323907825,14.6954336201835,23.3848168035886,18.0058926046345,16.0884386319521,17.3873706334531,19.1717635880215,19.2502565524633,21.0775871300192,18.5396100377505,17.8450590912217,18.2020662514166,18.3989096002896,15.7074686974122,20.5940236024857,20.6795745468348,15.8720071503584,15.2870539378383,20.7193045842265,14.4256365129522,20.0366180478754,36.2812245513044,12.9724249719575,12.9767441232257,21.9648942506046,22.6774674417418,16.947442073964,20.5402562444505,23.3935156383493,26.8671426452137,22.0247562664521,17.196797286692,15.8395361331074,20.6670467043757,19.3337960439538,17.4614129952734,16.8887916068431,22.5982932390965,22.2242365018208,15.8253377678882,14.7100708033033,18.1886002086484,18.3590020200364,22.9801921706926,18.6985817533736,19.9540363100003,22.9484451437982,19.2600024347947,18.5982001114257,17.2853493022782,19.9310328173103,20.7316445696925,18.9707426023296,23.1904909861006,18.9432712636832,18.0212600770389,22.6556352527127,23.5385496005069,19.2199447856537,17.7873200946325,17.4038711853877,21.4153020279877,21.2822202188171,16.1619057961011,18.8140830178105,17.6826112684705,22.5577241269181,17.6405569155891,21.0897925257752,12.247581879871,23.1584070070439,21.6400662605398,20.636915992448,25.247997305818,21.761124242371,20.2514513962059,15.6005209944243,20.0641801961053,15.8002289649028,24.8893860075832,19.1196972968874
"JarJarBinks_11",17.9036950274095,17.9282295092497,15.0127396204341,16.0690378855909,0,17.1452822048775,21.5096501528764,10.4897365113757,22.4172098376479,16.8938967746578,8.46934473338669,22.3370952520569,15.9836761892627,24.761677566212,19.4137333617174,18.3655612158137,20.0857365395184,23.0117309853247,18.8564239099022,17.7556784875341,27.6071086588087,18.7434102295089,19.2995321164122,22.2087677016087,22.7223738759171,27.9591930041059,23.1732659207916,23.2951547582958,19.4258058141704,21.4130329542722,17.6412423049929,18.4682165889214,20.2260679064905,19.4065834393815,20.5342614097461,18.7253964316219,23.4937164807946,23.1593684832175,15.8533587126305,16.5022751015904,23.8813283379215,19.9660420518757,18.9075883003722,19.5095170143875,19.0994879637296,19.3761429748537,17.4577273407641,18.7812729408881,18.9585653611142,20.7132814850645,17.6128954969738,19.8345166358048,23.1630063480813,21.9327640283585,19.9349571971383,15.3482740382446,22.5161414341677,16.2615317216681,19.861153484078,36.7807587206021,18.9920125379475,16.5131373926633,23.9956387416716,21.0032165377786,16.7534314806456,24.0024962388568,23.9020782690386,24.4045104989318,21.8854507398628,19.7537357590861,19.6236193895709,21.2391290936841,21.0505792292301,18.4728151597722,19.9306811720958,23.4455584237406,20.8799643309122,18.3649698974152,17.109648139062,20.2700164163268,17.4340471184703,24.1880351880755,18.7275949259995,19.991460357658,24.6223801503686,22.1109961840094,17.487087121506,18.0977138913833,21.0462548521506,23.2445939181969,20.6004501217695,22.6387697793762,19.208962794793,18.8680871350395,22.5995787878804,24.5698681271466,21.6994844096337,18.1118319305641,18.0402149265782,22.3596718919621,20.1325909226646,18.6663950443864,17.8005944037148,16.9150688689094,23.6678341148231,17.7335470795233,22.3864670475246,14.8676700779412,23.0299137102547,22.522492385393,17.8603086332831,25.6727074487049,22.2957286716673,20.1021593096643,21.7926108654727,20.4395213888501,19.8883920139645,27.2239254058091,19.2668522213776
"Hera_14",12.4278386282875,17.7617569926096,10.2107687781003,10.6585701314676,17.1452822048775,0,21.6139680603253,16.3924859639356,20.0755021759499,15.3541081483875,16.2307454061251,20.7976603943104,17.2990229736379,23.3577666836583,15.6203739464502,11.7258956625785,13.092368684592,21.3536088081727,17.793356095195,17.5614296972745,24.5952977849731,16.6804038349905,15.2792540829375,21.3435600246237,19.0801538152872,27.6914955621045,21.8556289602325,19.2803360695438,12.3832136305583,19.1009048086631,14.884587960535,10.7209520970167,18.4482461043841,18.6935088274529,20.6524531745088,13.1978674697375,21.1578579659503,20.0789369684939,18.4551976218514,12.0816294315832,21.0169923801234,17.9767553748343,12.646837020776,17.5111523434148,16.2228675861472,17.074851920056,18.3826250491533,17.9955763012863,17.7086776487196,15.9479222778384,18.2174250852856,12.3371030861161,20.6531847691534,19.7875463749438,12.6022084489787,15.3637732172406,20.0866159222623,16.4336782547067,17.9203937225943,37.2883609587684,13.2468872741828,10.8679289991934,20.3108081379651,20.1640472544378,16.8749198017205,19.9542670048633,21.1914783255897,24.6505923978857,19.7083261827393,13.8261999876888,13.9211854668815,20.093647252536,18.9049147820886,16.1531672771954,13.6854381958505,20.0285136506288,19.8109501667181,13.1192638306236,13.5537065468952,18.8691899071807,16.5620891455782,20.1233969620289,16.6234190610626,17.9236744994104,20.0105676244376,18.9482431366811,16.5871652321357,16.4567582719154,17.3471118847325,19.2429931632831,17.5651171138696,21.0577324878851,20.5239436297222,15.8940627045171,20.1295140558959,20.1724777932215,17.6930560885154,18.5833396023066,16.5252039965695,19.3673278647821,19.5028932688588,17.4853210188331,17.7049334052388,15.9246375644303,21.8381233944759,15.7423700581882,19.5528406394679,13.4968503809021,20.6591539998485,20.7053423163285,19.6692641162887,23.0972689158214,18.6380213586872,18.2921519920919,14.1400534850307,19.6056747710221,12.1856283754228,22.6980666840015,17.8951390553582
"Iris_14",21.930003749084,16.5718357582491,20.4179971629929,23.749446379347,21.5096501528764,21.6139680603253,0,23.7258022968564,13.2071745588245,21.3467656375733,22.1110482186154,10.1896945092542,23.935357223756,28.1995605536368,18.3321851245672,20.5973971831162,21.7035572329123,9.93355923149724,23.7132660036165,22.18910420129,29.5822911140589,17.2627168374968,21.8823242209678,8.00871007078889,24.9154591518875,21.7349878534966,26.0725951521305,22.4971953992256,21.1821073714594,10.7655188805456,23.4287943829665,22.7338163612891,24.5997493164087,25.5892009649555,24.114619410189,25.2749943266274,23.2720158780817,13.2396751886359,23.4650439557176,21.6923820515855,15.3294309466566,25.7981305580014,20.6890225137465,25.5017258026278,21.2276605451698,16.7069732743202,21.9243499720352,24.8505319417459,25.4941315948349,23.7239717795456,23.9866245916397,23.2085122157589,28.8762721113857,23.8521346105949,21.4409590981581,19.5901438130033,25.0728029861944,24.3657991072728,14.690067168704,40.6605981571655,25.5603253153613,22.0766402224091,24.8855154094951,22.3141262689346,23.3621500333741,25.6525238477688,11.6455936493936,27.2419618779236,23.0476512688785,21.8985386074537,22.6490290272137,26.3192896247942,25.7844273267041,23.4963678751099,22.7022231578215,13.3405836011548,22.4065305123914,20.6929090428735,21.573100379425,25.2948264500789,18.7291460639367,24.0485822024205,22.0207955813904,16.7118367736252,16.3696050781019,26.3411138053066,18.6998657809512,23.4959067956698,17.6496498532655,26.533128955616,24.1009493179567,24.6789238287414,26.6937301511526,19.9376768803761,23.5469532149411,24.0335196766604,24.0274876302251,23.8344464688111,20.5715575449377,12.0905090288637,22.7249891586784,25.166455238979,22.6542069099628,17.8513684981593,26.4270154513264,18.2716709420024,24.4019358243983,22.4072591660223,11.8228986943735,27.5441327857711,24.8134694182605,12.4311853870379,19.7545718686303,23.3763648979724,22.725538273885,25.4694574287983,21.6855505689613,18.2557555352877,23.8492250691607
"Kubo_14",18.2267551277698,20.3987199525064,17.0238954812053,15.5115924141211,10.4897365113757,16.3924859639356,23.7258022968564,0,24.2867761960882,18.88287089145,10.2324739277645,23.5969665971648,14.8324145079091,21.2608134171811,19.5264226879928,18.3492818948999,19.6150550498215,24.455518799263,16.3195317690712,16.9976422749799,24.0012947581287,19.9743143054408,19.117953225085,23.8339170282289,22.3987563351026,28.6450191729219,21.2270656981599,21.4747304970671,18.9834285871555,22.6271595942447,15.8126808698084,16.7779083071234,17.1166395538526,16.318466172508,17.9623835443731,14.7867380181982,22.2391658974368,22.9999056514503,13.5321839629028,16.5275107745324,24.2851935444155,15.4618532598309,19.5239468663414,16.3214698060151,20.3879556779498,19.9467533003727,16.257205693525,15.4914105096122,14.1247827836553,18.7379904381383,15.1216936418977,18.6752561864502,19.1194651936385,18.7111916243607,20.3162838439648,16.3192423464234,19.0282927618714,12.9829533994461,21.0780930701179,34.0329118065805,18.5185373320008,16.4647244612958,20.6601189572204,20.3489873123475,17.9241562472955,21.1116064273697,24.4608649130265,22.7942439475759,20.810402437226,20.1323110783269,19.9900240695482,21.003571316737,18.4456433456049,18.7026680478794,19.1456425213764,22.6006908350733,19.8903609327881,18.8089147886155,17.2476254230401,18.1056238445371,19.1065773461071,21.2661685456383,19.4194364196709,19.0307628181154,23.9656965270882,18.7761502452719,18.9996187483845,17.1167033392376,19.2651672441982,19.8246859481747,17.9771863952004,21.2416111617674,16.8933612383122,16.2613509173183,21.677621038741,22.1990895791375,19.568568394059,15.8098343910191,19.4210833149081,23.3461684625063,19.248770092205,17.7398527442472,18.8056222030925,16.0488168723893,19.5592300520416,17.2668888562313,19.0064917053044,15.2479961737146,23.9222481340376,20.25136233581,18.2699053385926,26.2257010887225,21.0908272016985,20.1808128044583,21.3434167990209,18.0483790423301,19.5547162054679,27.2858548260911,18.7887948036428
"Wolverine_14",21.1977256938249,17.0366724172013,19.7521178761916,20.8054679090058,22.4172098376479,20.0755021759499,13.2071745588245,24.2867761960882,0,19.4627416339734,21.135339128409,13.5559509019344,21.7835956582779,28.0289628299713,16.9323082368206,19.7485452323499,20.4676702939838,14.4624350148585,23.8582956691839,21.4263925112133,28.9583622594276,15.7773637129701,21.410741375651,12.6986193822301,26.8328764887918,25.908207596877,28.3664482779685,22.9815027553896,19.9881309933688,13.0843845799613,23.5441450095053,21.4236935045921,24.7676368838756,24.9071242342481,23.9412858958238,24.1482503923988,23.6712596704247,15.385197956817,23.3122926729885,22.3215645027178,16.5285944381683,24.754454835268,20.6452578758407,23.5505409163527,20.4898881735134,15.9526376125701,22.8052789102437,24.5383085128688,25.2958714558017,21.9576223130523,22.7939406095919,21.6874256535571,27.6841372870757,23.4319817572981,20.5083991747663,18.8351098219261,24.61092762729,24.1268457000014,15.2028701746131,41.1701979111844,22.6515748480345,21.5418191430318,24.3560554310435,23.1642898949084,22.2353902727958,23.5640992026245,13.0207851180712,29.7123559702291,22.7849182591794,22.6729994326722,22.0795751864016,24.9628131057772,25.5148995357657,21.8174344256419,22.5235791812355,16.7639196426786,23.0312828184465,20.1005453081476,20.6566488775804,24.5517970085646,18.0610830168652,24.1814205785286,22.261036642906,18.2657255585791,16.5208318902078,24.4353558678156,18.4861359011969,23.5061826612851,18.4764197289279,25.5180163578234,23.9429177503735,24.2814277746197,26.8943731290605,19.6936690205931,23.2597312971798,24.2874832061267,22.7878192958063,24.3382264431763,18.6004660118795,12.2185333952892,23.4658744665072,23.923006485119,23.7931833735739,18.6392391780569,26.6536514880745,18.0286538768357,24.1540067832455,21.9946515398913,14.7882519812655,27.7533949688891,23.6880743305376,15.3998172404006,20.5963088752671,25.778480434267,18.7557297159645,24.4738847056317,20.6884361472936,16.8162901142484,23.1426682146528
"JarJarBinks_15",16.4347581961491,16.5726362522183,15.4732600420032,16.9959014044481,16.8938967746578,15.3541081483875,21.3467656375733,18.88287089145,19.4627416339734,0,15.2171941555954,20.083596501331,16.9960337279219,26.8906768812649,16.2458932498023,13.0874750373858,15.0968287404737,21.0905350123365,19.5770769250539,17.8832906015604,28.783244169425,15.4987688405734,13.1114467036624,20.5076930845897,22.590484235921,27.2813683382199,24.2377692484728,22.097223277391,13.9082393971703,19.7394493301212,12.0658451298049,13.9176660488056,20.9331012754788,20.8491285521038,22.0772305968453,17.4487014424041,24.4842421086182,21.1421831635379,18.8691786525115,17.1608450176501,22.1872409819826,21.4205485523747,14.8994882853292,19.954265897515,11.338881568044,16.381423977148,19.3336824321215,20.0881078282104,21.1776498902014,18.5836185968401,20.4381986171298,16.4338643479076,23.6186987176206,23.2198969048068,15.6072738800501,19.3689007791946,23.9515191504235,16.1429231209958,16.2716150094268,38.848919777313,18.4713575244366,15.1011398232801,24.777396244083,22.9164283880734,13.5045961734324,23.4840357877981,21.4335634387245,26.4501452612956,23.1509014374946,16.8150458478675,18.0749313068782,19.7649183420956,21.5059654612763,15.4168784882768,16.558381480801,22.2063421098602,22.8182728394682,14.7305027397446,14.2985632255764,20.7489700792599,18.6494052020951,24.3295774159014,15.6972092859579,18.559493280625,22.2832196066519,22.5774557776526,17.1699763954178,15.6241138157609,20.0212665738611,23.3607313093566,20.4940771191907,23.9889958662856,20.2465078878637,18.4457006460326,22.9821824143457,23.9303318113109,20.4624662164963,19.668280839204,16.4758354491155,19.9395720188687,21.8804176217902,17.3110422719347,13.9495800124699,16.5084369982806,26.1541052060659,15.3446293567402,23.5971913983635,14.6705839546282,20.9787457996218,21.9417828843259,20.1718128729209,23.6332192180302,21.2837994287368,19.6996651603325,17.5600568956935,21.3132820004772,17.5139928279017,25.4627556627724,18.5516621354468
