"","Hera_1","Wolverine_1","Hamlet_11","Hera_11","JarJarBinks_11","Hera_14","Iris_14","JarJarBinks_14","Kubo_14","Wolverine_14","JarJarBinks_15","Kubo_15","Iris_17","Kubo_17","Lambchop_17","Wolverine_17","Hamlet_18","Hera_18","Iris_18","JarJarBinks_18","Kubo_18","Lambchop_18","Wolverine_18","Ophelia_19","Wolverine_19","Hera_2","JarJarBinks_2","Lambchop_2","Goose_20","Hamlet_20","Hera_20","Iris_20","Korra_20","Ophelia_20","Hamlet_21","JarJarBinks_21","Korra_21","Kubo_21","Goose_22","Hamlet_22","Hera_22","Iris_22","Korra_22","Kubo_22","Hamlet_23","Iris_23","Korra_23","Goose_24","Hera_24","Kubo_24","Ophelia_24","Wolverine_24","Kubo_25","Lambchop_25","JarJarBinks_29","Korra_29","JarJarBinks_3","Kubo_30","Hamlet_31","JarJarBinks_32","Goose_37","Hera_37","Kubo_37","Lambchop_37","Ophelia_37","Wolverine_37","Goose_4","Hamlet_41","Hera_41","Goose_42","Lambchop_42","Ophelia_43","Goose_44","Iris_44","JarJarBinks_44","Lambchop_44","Hamlet_45","Hera_45","JarJarBinks_45","Korra_45","Ophelia_45","Goose_46","Hamlet_46","Iris_46","Lambchop_46","Hamlet_48","Hera_48","Iris_48","JarJarBinks_48","Korra_48","Kubo_48","Lambchop_48","Ophelia_48","Wolverine_48","Iris_49","JarJarBinks_49","Kubo_49","Ophelia_49","Wolverine_49","JarJarBinks_50","Korra_50","Kubo_50","Lambchop_50","Ophelia_50","Wolverine_50","Lambchop_51","Goose_52","JarJarBinks_52","Kubo_52","Hera_53","Kubo_53","Iris_55","Lambchop_55","Ophelia_55","Ophelia_57","Wolverine_57","Goose_58","Wolverine_58","Goose_59","Hamlet_59","Iris_59","Ophelia_59","Korra_6","Iris_60","Wolverine_60","Hamlet_67","Hera_67","JarJarBinks_68","Hera_7","Iris_7","Korra_9","Ophelia_9"
"Hera_1",0,0.28575,0.481435179397425,0.328498186820058,0.497687210901363,0.2365,0.505314492934851,0.393348337084271,0.64375,0.349680970849493,0.3325,0.3135,0.343085771442861,0.347,0.723119289022406,0.3805,0.288822205551388,0.32175,0.412706353176588,0.333666708338542,0.258471926972615,0.704213026628329,0.30475,0.310413801725216,0.359419927490936,0.649737302977233,0.825530312539224,0.817977247155894,0.388923615451931,0.468933616702088,0.39575,0.305989746154808,0.438969484742371,0.47455295735901,0.2545,0.423427928491061,0.357919739967496,0.338586616635397,0.40925,0.727863931965983,0.4715,0.364011504314118,0.467550331374265,0.322415301912739,0.285642821410705,0.429428678584823,0.437609402350588,0.293411676459557,0.322165270658832,0.388423552944118,0.343171585792896,0.37759439859965,0.593199149893737,0.318829707426857,0.321,0.48975,0.3165,0.570427820865649,0.31875,0.511589127897282,0.367,0.344836209052263,0.208203076153558,0.40075,0.692846423211606,0.252,0.998326639892905,0.411352838209552,0.231711891959485,0.367,0.439679959994999,0.305413176647081,0.4959979989995,0.390640640640641,0.791171689383519,0.4174271783973,0.512878219554889,0.474184273034129,0.717573483427142,0.468183522940368,0.35008752188047,0.42785696424106,0.380345086271568,0.438179772471559,0.448862215553888,0.358669833729216,0.360170021252657,0.369263473802676,0.42175,0.385692846423212,0.34841855231904,0.401350337584396,0.458161350844278,0.424,0.405851462865716,0.428428553569196,0.284160520065008,0.484371092773193,0.342835708927232,0.438679834979372,0.333416677084636,0.348092557848655,0.355508315618357,0.826413206603302,0.375171896487061,0.392370231394622,0.3415,0.389423677959745,0.451181397674709,0.284160520065008,0.334166770846356,0.31615807903952,0.52425,0.419532324621733,0.4575,0.5025,0.452908067542214,0.39125,0.366170771346418,0.312,0.4685,0.589486858573216,0.541541541541542,0.57125,0.342003251219207,0.775803828349806,0.360010003751407,0.381881881881882,0.164645580697587,0.497915624478906,0.410176272034004,0.223055763940985
"Wolverine_1",0.28575,0,0.529191148893612,0.378767037639115,0.472184023002875,0.27825,0.439039639864949,0.447111777944486,0.6525,0.333416739647191,0.348,0.30725,0.325331332833208,0.35175,0.737639253974215,0.2495,0.375593898474619,0.38675,0.353426713356678,0.484435554444306,0.328998374390396,0.71946493311664,0.14075,0.402925365670709,0.266158269783723,0.787590693019765,0.720346429019706,0.878234779347418,0.437429678709839,0.522690336292037,0.46825,0.200700262598474,0.562531265632816,0.499562335875954,0.3625,0.493686710838855,0.47793474184273,0.371857410881801,0.47525,0.75887943971986,0.61225,0.229711141678129,0.525321995748406,0.417677209651206,0.413456728364182,0.379672459057382,0.515128782195549,0.416177022127766,0.40667583447931,0.487685960745093,0.357428714357179,0.276569142285571,0.617202150268784,0.461865466366592,0.40275,0.533,0.43125,0.606204653490118,0.38775,0.5981323995331,0.538,0.451112778194549,0.282230836563711,0.53775,0.720360180090045,0.1635,0.998995983935743,0.491872968242061,0.336751281730649,0.5095,0.539942492811601,0.350918864858107,0.526513256628314,0.354104104104104,0.880455170689008,0.561195149393674,0.533383345836459,0.518689836229529,0.728330206378987,0.58144768096012,0.391847961990498,0.550637659414854,0.43260815203801,0.416427053381673,0.529632408102025,0.471933991748969,0.473684210526316,0.357258972114543,0.54075,0.473736868434217,0.438429803725466,0.509127281820455,0.520700437773609,0.3245,0.375843960990248,0.557444680585073,0.376172021502688,0.552638159539885,0.318329582395599,0.551693961745218,0.52319039879985,0.453658536585366,0.503063648868326,0.838419209604802,0.326665833229154,0.475922451532208,0.461,0.506438304788098,0.570446305788224,0.413426678334792,0.415926990873859,0.300150075037519,0.59675,0.487057646617482,0.45775,0.4495,0.548968105065666,0.285,0.518189773721715,0.37575,0.43825,0.584981226533166,0.587087087087087,0.5375,0.264224084031512,0.789565870136369,0.37651619357259,0.483233233233233,0.289661207650956,0.501917625479406,0.509438679834979,0.310827706926732
"Hamlet_11",0.481435179397425,0.529191148893612,0,0.365432716358179,0.422855713928482,0.401425178147268,0.56528264132066,0.504064024009003,0.681210151268909,0.516516516516517,0.445680710088761,0.469183647955994,0.55908465674628,0.525690711338917,0.790185277916875,0.543942992874109,0.499812429661123,0.527940992624078,0.592245153220763,0.667666916729182,0.527513756878439,0.796949237309327,0.540942617827228,0.526631657914479,0.533883470867717,0.713749530839485,0.813708260105448,0.800450112528132,0.654163540885221,0.587646911727932,0.583697962245281,0.544772386193097,0.731582238899312,0.598049024512256,0.509188648581073,0.703925981495374,0.673168292073018,0.59369527145359,0.643705463182898,0.750093808630394,0.713464183022878,0.579289644822411,0.681340670335168,0.57664416104026,0.445403377110694,0.582645661415354,0.680880330123796,0.635908977244311,0.52638159539885,0.627406851712928,0.462664165103189,0.54557959234713,0.729182295573893,0.621107915468301,0.590198774846856,0.600450056257032,0.629203650456307,0.725760040035031,0.492936617077135,0.7495205536563,0.717714714339292,0.538076778792047,0.485992996498249,0.741217652206526,0.712070043777361,0.543192899112389,0.996150949711321,0.574691563854618,0.417708854427214,0.712714089261158,0.728682170542636,0.452363090772693,0.685803627267042,0.537479664622701,0.896198099049525,0.716679169792448,0.578591971989496,0.580645161290323,0.706529897423067,0.700675168792198,0.46529948730774,0.769163436288608,0.547080155058147,0.629907476869217,0.655870951606853,0.552888222055514,0.547636909227307,0.580790395197599,0.712964120515064,0.658036272670419,0.614403600900225,0.687882956108541,0.583437578183638,0.539192399049881,0.595848443166187,0.737434358589647,0.584896224056014,0.616356133550081,0.551581843191197,0.75293823455864,0.68417104276069,0.665248936702527,0.654827413706853,0.811632270168856,0.571142785696424,0.613960470352765,0.658207275909489,0.701175293823456,0.716679169792448,0.531132783195799,0.628407101775444,0.540712945590994,0.693961745218152,0.554527263631816,0.520940117514689,0.565945743217902,0.709031773830373,0.554944368046006,0.715428857214304,0.449931241405176,0.678459807475934,0.708098635623983,0.703845832985735,0.728966120765096,0.546523261630815,0.732732732732733,0.527013506753377,0.68039043924415,0.492873218304576,0.688985241390811,0.646661665416354,0.453294985619607
"Hera_11",0.328498186820058,0.378767037639115,0.365432716358179,0,0.438469234617309,0.214955608353132,0.561421065799349,0.498686679174484,0.583343753907715,0.3819774718398,0.384769288483181,0.261473052394648,0.519199499687305,0.348255595848443,0.687703481091911,0.378516943853945,0.487679799874922,0.503563836438665,0.55986488177155,0.592046023011506,0.444583437578184,0.673336668334167,0.384269100912842,0.507003501750875,0.442471235617809,0.759479414341134,0.824962330487192,0.849674837418709,0.601550775387694,0.57903951975988,0.572089533575091,0.380535401551163,0.569373201551357,0.539654741055792,0.439289733650119,0.631065532766383,0.533766883441721,0.46971971971972,0.520070026259847,0.66695858876517,0.692134550456421,0.427070302727045,0.543657743307481,0.475987993996998,0.438758914049794,0.544772386193097,0.523702313946216,0.543271635817909,0.524512256128064,0.453726863431716,0.414737895658701,0.383114446529081,0.702851425712856,0.516447779862414,0.460547705389521,0.464549205952232,0.530824059022133,0.635840320360405,0.401775665874703,0.63189058460512,0.597599099662373,0.520450281425891,0.28296222166625,0.622858571964487,0.627924433879645,0.379767412779792,0.944095740229308,0.460230115057529,0.325744308231173,0.613855195698387,0.692096048024012,0.38544272136068,0.564118603778306,0.457003379647015,0.900425318989242,0.629564782391196,0.607754846779237,0.566783391695848,0.679429429429429,0.569034517258629,0.368605378361476,0.721075672295185,0.532958098811757,0.560030015007504,0.59249530956848,0.548524262131066,0.52576288144072,0.507630723042282,0.579342253345004,0.514325034405104,0.548524262131066,0.604752970606629,0.58983983983984,0.450293860197574,0.536710444027517,0.623811905952977,0.53351675837919,0.583739837398374,0.47191994996873,0.663331665832916,0.6008004002001,0.570570570570571,0.584188141105829,0.735518578756412,0.39319659829915,0.552052052052052,0.586845066900088,0.643321660830415,0.586293146573287,0.455727863931966,0.54552276138069,0.482046790942074,0.668875828435663,0.414560920690518,0.516318619482306,0.492559709891209,0.57982982982983,0.392022008253095,0.619059529764882,0.392522195823434,0.641365512067025,0.611618880681107,0.641051314142678,0.681630611479305,0.394545909432074,0.789486858573217,0.414310733049787,0.542871448241332,0.360930465232616,0.59653073138187,0.569534767383692,0.362351469668543
"JarJarBinks_11",0.497687210901363,0.472184023002875,0.422855713928482,0.438469234617309,0,0.486685835729466,0.524762381190595,0.417281480555208,0.465433179147393,0.484984984984985,0.457432179022378,0.330666333291661,0.521070401400525,0.504438054756845,0.730595893840761,0.596699587448431,0.512567212704764,0.472184023002875,0.511944965603502,0.508627156789197,0.471485742871436,0.725931482870718,0.527940992624078,0.506126531632908,0.527881970492623,0.784561491304892,0.714034647250816,0.864466116529132,0.561890472618155,0.511377844461115,0.531191398924866,0.537268634317159,0.465666041275797,0.457478739369685,0.472434054256782,0.556889222305576,0.422855713928482,0.394545909432074,0.507188398549819,0.658536585365854,0.600700087510939,0.596298149074537,0.462231115557779,0.440610152538135,0.429643527204503,0.599149787446862,0.459297236463674,0.472368092023006,0.495373843460865,0.448112028007002,0.445653533458412,0.602100787795423,0.607151787946987,0.558334375390772,0.460682585323165,0.525440680085011,0.502937867233404,0.586888527461529,0.472434054256782,0.580088384891187,0.531691461432679,0.467300237589096,0.411205602801401,0.547193399174897,0.608755472170106,0.492186523315414,0.939419295456447,0.537345781927309,0.41895947973987,0.551943992999125,0.569392348087022,0.415103775943986,0.585240775484678,0.507946439744713,0.867183591795898,0.558639659914979,0.54107790421408,0.505876469117279,0.693269952464348,0.576894223555889,0.446792547205202,0.618857071401776,0.504564211579342,0.474368592148037,0.550831561835688,0.484871217804451,0.455613903475869,0.4959979989995,0.504938117264658,0.472670419011882,0.390347586896724,0.550581468050519,0.494370778083563,0.575696962120265,0.56808803301238,0.553138284571143,0.456864216054014,0.511066649993748,0.450794047767913,0.588647161790448,0.531132783195799,0.491868901676257,0.548274137068534,0.718323952470294,0.572893223305826,0.62546910182637,0.552944118014752,0.574143535883971,0.533883470867717,0.491122780695174,0.437359339834959,0.502939337085679,0.623952994124266,0.358179089544772,0.493186648331041,0.586198274784348,0.500625469101826,0.597449681210151,0.545386346586647,0.365170646330791,0.551943992999125,0.556890724746526,0.537165262367565,0.566445805725716,0.529264632316158,0.74024024024024,0.566283141570785,0.485170817169315,0.507126781695424,0.64079046110231,0.571392848212053,0.444541703138677
"Hera_14",0.2365,0.27825,0.401425178147268,0.214955608353132,0.486685835729466,0,0.512317118919595,0.40735183795949,0.60725,0.347679219316902,0.32925,0.29925,0.446861715428857,0.392,0.74565026912004,0.35875,0.375593898474619,0.386,0.489744872436218,0.504188023502938,0.363511316743779,0.719214901862733,0.296,0.3951743967996,0.39592449056132,0.696272204153115,0.811974394376804,0.78997374671834,0.496687085885736,0.442930366295787,0.455,0.303738902088283,0.533766883441721,0.454295360760285,0.329,0.553194149268659,0.511438929866233,0.432145090681676,0.5415,0.690095047523762,0.59975,0.350256346129799,0.530824059022133,0.412676584573072,0.335167583791896,0.47568446055757,0.500625156289072,0.468933616702088,0.401925240655082,0.486685835729466,0.326663331665833,0.346836709177294,0.618702337792224,0.451362840710178,0.41475,0.48825,0.43925,0.575681761320991,0.321,0.614807403701851,0.52825,0.40735183795949,0.227210203826435,0.57125,0.649074537268634,0.30175,0.994812583668005,0.422022172209719,0.226459922470927,0.51525,0.590948868608576,0.345168146018252,0.543771885942971,0.414914914914915,0.88420657746655,0.540692586573322,0.491872968242061,0.45493186648331,0.707817385866166,0.6029503687961,0.307076769192298,0.610652663165791,0.399349837459365,0.446180772596575,0.50112528132033,0.437179647455932,0.434429303662958,0.426284856821308,0.557,0.523511755877939,0.465933241655207,0.499374843710928,0.475922451532208,0.4145,0.453863465866467,0.562695336917115,0.446180772596575,0.498624656164041,0.352838209552388,0.573446680835104,0.516689586198275,0.492933083176986,0.494060272602226,0.804152076038019,0.343417927240905,0.486679174484053,0.4735,0.558194774346793,0.566945868233529,0.387923490436305,0.479184898112264,0.417958979489745,0.62275,0.418782043266225,0.4445,0.492,0.540963101938712,0.33125,0.527440930116265,0.3315,0.55875,0.607259073842303,0.598431765098432,0.60975,0.301988245592097,0.742774928062054,0.372514693009879,0.483733733733734,0.256157019627453,0.545939636484909,0.542442805350669,0.287071767941986
"Iris_14",0.505314492934851,0.439039639864949,0.56528264132066,0.561421065799349,0.524762381190595,0.512317118919595,0,0.508692933083177,0.666374890583969,0.373466833541927,0.472052019507315,0.471051644366637,0.353846153846154,0.511566837564086,0.774355121462559,0.510566462423409,0.507191994996873,0.540577716643741,0.331665207056174,0.573786893446723,0.456342256692519,0.769884942471236,0.476803801425535,0.502501250625313,0.295647823911956,0.792266299587035,0.628578603716725,0.878439219609805,0.535017508754377,0.611055527763882,0.581843191196699,0.375031273455091,0.629175528587514,0.560920690517888,0.495310741528073,0.610555277638819,0.577538769384692,0.491491491491492,0.547580342628486,0.778806455648693,0.63461297986745,0.410557918438829,0.582436827620716,0.493746873436718,0.512823720755661,0.446223111555778,0.584240150093809,0.527013506753377,0.530265132566283,0.542771385692846,0.444513949705993,0.496435272045028,0.636568284142071,0.6,0.511066649993748,0.583593847692885,0.552832312117044,0.658615942935803,0.464549205952232,0.689767325494121,0.617606602475928,0.529455909943715,0.476607455591694,0.643116168563211,0.716001501313649,0.435788420657747,0.999497865930203,0.630815407703852,0.480110082561921,0.61235463298737,0.605302651325663,0.469484742371186,0.61791567621669,0.308298911002629,0.860645484113085,0.623811905952977,0.577235772357724,0.573286643321661,0.753503503503503,0.613556778389195,0.469668542839275,0.62426516572858,0.546966854283927,0.370685342671336,0.545966228893058,0.551025512756378,0.558529264632316,0.35151363522642,0.624359134675503,0.56436882271988,0.492996498249125,0.603001876172608,0.534034034034034,0.429035888458172,0.424890556597874,0.641820910455228,0.472736368184092,0.561475922451532,0.407379612257661,0.663331665832916,0.599799899949975,0.548298298298298,0.578934200650488,0.835856374327537,0.528514257128564,0.576076076076076,0.557584094035263,0.616308154077039,0.617808904452226,0.513006503251626,0.532266133066533,0.390216439384461,0.615605852194573,0.556667500625469,0.476803801425535,0.553332499687383,0.630880880880881,0.525822183318745,0.621810905452726,0.479804926847568,0.457546579967488,0.603105045699261,0.627868168544013,0.433287482806052,0.435826870152614,0.757446808510638,0.53440080060045,0.571911378144949,0.507253626813407,0.561004086398132,0.555527763881941,0.474421513445904
"JarJarBinks_14",0.393348337084271,0.447111777944486,0.504064024009003,0.498686679174484,0.417281480555208,0.40735183795949,0.508692933083177,0,0.634908727181795,0.410837191840821,0.245311327831958,0.45536384096024,0.409954977488744,0.454113528382096,0.819957430825091,0.536884221055264,0.309904952476238,0.288822205551388,0.395796847635727,0.442791046642491,0.367104440275172,0.814430411404277,0.443360840210053,0.297236463673878,0.478054270351382,0.668918918918919,0.70420590081607,0.764661748155558,0.502313367512817,0.352757283981493,0.324581145286322,0.509693558474046,0.504378283712785,0.376110068792996,0.343835958989747,0.504064024009003,0.46529948730774,0.350181408732641,0.547636909227307,0.706780085063798,0.553638409602401,0.553721075672295,0.516197623514697,0.426034763036139,0.323742807105329,0.551581843191197,0.522011005502751,0.413530073777667,0.281980742778542,0.521570588970864,0.238679009256943,0.536768384192096,0.571339252219582,0.571785892946473,0.485371342835709,0.627906976744186,0.455863965991498,0.608858858858859,0.366591647911978,0.559039359573049,0.50562640660165,0.234117058529265,0.478173858661664,0.537884471117779,0.634976232174131,0.420105026256564,0.996820083682008,0.457607336390163,0.343339587242026,0.514128532133033,0.543578842065775,0.281480555208203,0.586940205153865,0.453316645807259,0.837648530331457,0.542328373139927,0.393946973486743,0.369763661373015,0.657450268985362,0.564586720020008,0.341420710355178,0.507753876938469,0.330665332666333,0.414030261348006,0.593046523261631,0.266474928098037,0.274728023008628,0.446404002501563,0.522130532633158,0.484863647735802,0.396273602600975,0.54152076038019,0.244088577505317,0.517379344836209,0.513256628314157,0.532824809303489,0.384519194698012,0.268884442221111,0.4032016008004,0.546079779917469,0.463298737026385,0.406730889528337,0.544465290806754,0.788591443582687,0.605602100787795,0.64894282497185,0.533633408352088,0.479304739277229,0.52357133925222,0.377266474928098,0.366012254595473,0.422066549912434,0.63390847711928,0.343089430894309,0.301825456364091,0.607151787946987,0.573376704616539,0.573893473368342,0.511316743778917,0.258814703675919,0.416854213553388,0.516524787180771,0.507592190889371,0.449112278069517,0.523202001250782,0.631084970591916,0.535959974984365,0.491864831038799,0.435038139302238,0.590226817878586,0.460297611604352,0.241370685342671
"Kubo_14",0.64375,0.6525,0.681210151268909,0.583343753907715,0.465433179147393,0.60725,0.666374890583969,0.634908727181795,0,0.655948955335919,0.63725,0.457,0.696674168542135,0.6115,0.489047440230317,0.706,0.662415603900975,0.6325,0.687843921960981,0.624453056632079,0.614105289483556,0.597199649956245,0.68625,0.656457057132142,0.672959119889986,0.795846885163873,0.800175724865068,0.859482435304413,0.672209026128266,0.622452806600825,0.64175,0.676628735775916,0.417458729364682,0.601350506439915,0.62175,0.636204525565696,0.451181397674709,0.554971857410882,0.5205,0.5927963981991,0.72275,0.690383893960235,0.271976991371764,0.579197399674959,0.605802901450725,0.726965870733842,0.342585646411603,0.61595199399925,0.657957244655582,0.499187398424803,0.615307653826913,0.702675668917229,0.64120515064383,0.705426356589147,0.5805,0.27225,0.638,0.631723792844633,0.61225,0.557778889444722,0.6085,0.628907226806702,0.581843191196699,0.597,0.303401700850425,0.676,0.711178045515395,0.680586813370009,0.58109290984119,0.62775,0.69871233904238,0.611951493936742,0.646573286643322,0.64014014014014,0.862698511941978,0.687960995124391,0.650662665666417,0.616202025253157,0.741338336460288,0.610951368921115,0.599899974993748,0.685171292823206,0.639409852463116,0.631953994249281,0.67266816704176,0.642205275659457,0.618202275284411,0.651619357258972,0.41225,0.531265632816408,0.60445055631954,0.659914978744686,0.622514071294559,0.683,0.692923230807702,0.610701337667208,0.633704213026628,0.623905976494123,0.617654413603401,0.642205275659457,0.660957619702463,0.628767979987492,0.67912967362761,0.40520260130065,0.648706088261033,0.710068792995622,0.6605,0.672959119889986,0.403425428178522,0.633204150518815,0.618202275284411,0.68184092046023,0.71275,0.477554082781043,0.641,0.68375,0.591744840525328,0.6915,0.630703837979747,0.558,0.68575,0.557947434292866,0.69386052719386,0.699,0.633362510941603,0.815588640060052,0.682630986619982,0.565815815815816,0.641455181897737,0.757378689344672,0.651456432054007,0.625906476619155
"Wolverine_14",0.349680970849493,0.333416739647191,0.516516516516517,0.3819774718398,0.484984984984985,0.347679219316902,0.373466833541927,0.410837191840821,0.655948955335919,0,0.302890028775178,0.299386963593144,0.311975972969591,0.32365820092581,0.735655224254573,0.424496434380083,0.440120135152046,0.451770299011635,0.346100888721993,0.522522522522523,0.330913642052566,0.700950950950951,0.342174402602277,0.463213213213213,0.281031031031031,0.813697258044322,0.74070351758794,0.896396396396396,0.494244244244244,0.581831831831832,0.52433379206806,0.295869837296621,0.552134184503693,0.518147684605757,0.389966220442888,0.554304304304304,0.502502502502503,0.398347521281923,0.52308269736019,0.753410940042558,0.607156261729013,0.361451814768461,0.543929912390488,0.40990990990991,0.456252346977093,0.385385385385385,0.50093855587536,0.452452452452452,0.479479479479479,0.446446446446446,0.331580923770184,0.404580152671756,0.626376376376376,0.461894631460393,0.423745777555361,0.505066933566871,0.438758914049794,0.563039939902341,0.366946077818091,0.622757987820138,0.514825472288252,0.457639844825429,0.310137672090113,0.560115100713124,0.717111027663037,0.324408857750532,0.998827961490163,0.476563803169308,0.33116395494368,0.498311022144376,0.576076076076076,0.334084084084084,0.508323945424959,0.292924232936756,0.890863579474343,0.527277277277277,0.576523589037667,0.515015015015015,0.700300450676014,0.60035035035035,0.332248779877362,0.593292454010762,0.491177574771618,0.380880880880881,0.494931798273057,0.478728728728729,0.478228228228228,0.316145181476846,0.562867509070437,0.474527475278508,0.434184184184184,0.490677011638093,0.533299949924887,0.411985487301389,0.374796646227005,0.552302302302302,0.418168168168168,0.564009510699537,0.335752721812039,0.574324324324324,0.517017017017017,0.448172258387581,0.479849812265332,0.835774189510577,0.435435435435435,0.461692538808212,0.468034530213937,0.53953953953954,0.574324324324324,0.422922922922923,0.41991991991992,0.292777569157592,0.609908670086326,0.458072590738423,0.496309270611785,0.497810584261229,0.533049574361542,0.432503440510447,0.517517517517518,0.402977605404729,0.46953584386338,0.613428535638231,0.551122610800434,0.466032778681346,0.334668335419274,0.822689706987228,0.336420525657071,0.478021289918597,0.334334334334334,0.468590973554684,0.525525525525526,0.29170316606182
