"","Shannon","Simpson","InvSimpson","Pielou","Coverage"
"hera_1",1.39959232339054,0.712657896123968,3.48017219373959,0.493994681454799,1
"wolverine_1",1.47694197717568,0.726580498442852,3.65738359665245,0.61593264473643,1
"buddy_11",2.1482892614161,0.862970645083434,7.29770639735463,0.774831565960006,1
"hamlet_11",1.36475765197707,0.704288072575848,3.38166948053352,0.532079765242512,1
"hera_11",2.01863993160006,0.831053816588066,5.91904463187395,0.635181164121142,1
"jarjarbinks_11",1.91864050350361,0.813217374736849,5.35381702977531,0.748022762290496,1
"joans_11",1.86574226336529,0.797820472802786,4.94609921124487,0.727399259536168,1
"padme_11",1.99983359923795,0.822967214173008,5.648671207023,0.667560855451695,1
"ginger_14",1.45917592222579,0.719842343577287,3.56941877930032,0.504840222798153,1
"hera_14",1.71994278534624,0.772735781044771,4.4001647271936,0.651726192548074,1
"iris_14",1.98082318229913,0.848467700692387,6.59925312668809,0.826067428702791,1
"jarjarbinks_14",1.79853990962287,0.79227395099068,4.81403273575542,0.622252104667665,1
"kubo_14",2.21113918616236,0.880185936997976,8.34626566318104,0.750954325019947,1
"wolverine_14",1.85682087089714,0.812797884763745,5.34181998284565,0.642415933460641,1
"jarjarbinks_15",1.82267326885067,0.795712061276861,4.89505159360019,0.710607897013034,1
"kubo_15",2.02536567170728,0.837856194072791,6.1673647925159,0.789631836517714,1
"buddy_16",1.71118990441457,0.7898954467051,4.75953511867214,0.713621618019035,1
"buddy_17",1.77336236447503,0.778035212435335,4.50521909791062,0.71365351476134,1
"iris_17",1.65692850515611,0.764894237875125,4.25340489727706,0.690992856924256,1
"ivy_17",2.05440083993967,0.834482636452843,6.04166220733147,0.697722335044369,1
"kubo_17",1.91125943258986,0.809567804392674,5.2512128887177,0.724220505231881,1
"lambchop_17",2.32880840254537,0.89346757275093,9.38681325322689,0.821967186986099,1
"padme_17",2.67163844216175,0.927953615013871,13.8799469285312,0.852062947075172,1
"wolverine_17",1.41785905193061,0.716326672494283,3.5251816192689,0.645295463447587,1
"buddy_18",1.6399639797905,0.752859381891448,4.04627943254867,0.683918100341659,1
"ginger_18",1.46092408405354,0.729450246804593,3.69617783120926,0.539474520619641,1
"hamlet_18",1.34893058201863,0.703147059727823,3.36867136664749,0.525909245769137,1
"hera_18",1.38131878245725,0.707393996163504,3.41756487183628,0.47790350105783,1
"iris_18",1.7500499237401,0.786363649790223,4.68085135801125,0.729827504809152,1
"ivy_18",1.74799616413782,0.77705662209107,4.48544383501936,0.616965950624557,1
"jarjarbinks_18",1.52626805749139,0.73122375177639,3.72056685294618,0.595048028161422,1
"kubo_18",1.5792785599567,0.745637207329148,3.93139259677027,0.598425256713519,1
"lambchop_18",2.29499879366011,0.882273461509994,8.4942614709163,0.810033878484576,1
"wolverine_18",1.45572206144406,0.723683880368377,3.61904329480732,0.607083252533048,1
"franc_19",1.92410280636137,0.807816218920356,5.20335271989254,0.665693885606563,1
"ivy_19",1.61331489079444,0.745861914955813,3.93486871448696,0.569429370428106,1
"ophelia_19",1.54865938260194,0.744335769438112,3.91138016374931,0.603777761965098,1
"wolverine_19",1.75707349851632,0.78737898681166,4.70320400135709,0.633730305696729,1
"ginger_2",2.21741851840979,0.880729368885174,8.38429369118759,0.782651445243862,1
"hera_2",1.7112116696613,0.788760309069153,4.73395882939142,0.648417770413035,1
"jarjarbinks_2",1.78981923285796,0.793642797919191,4.84596607201722,0.697799053089024,1
"lambchop_2",1.38011364075509,0.710061285430232,3.44900473703166,0.460693251175544,1
"ginger_20",1.3799727364427,0.709113380757088,3.43776555484982,0.522903659938256,0.993841606109127
"goose_20",1.3403869835863,0.701962008049253,3.35527693450994,0.558984789198926,1
"hamlet_20",1.94810376636935,0.839705231812046,6.23850679160937,0.759509641273129,1
"hera_20",1.41456399643592,0.71184834691043,3.47039480522833,0.536011090233553,0.994371587775089
"iris_20",1.60967036800453,0.752638222359541,4.04266176261678,0.647779009381243,1
"korra_20",2.11697916021022,0.851965229286903,6.75516971575602,0.695340304929143,1
"ophelia_20",2.05392171581366,0.858844852088511,7.08440333063198,0.710608145890779,1
"buddy_21",1.31303565846237,0.696094128083462,3.29049252551011,0.528404420574267,1
"hamlet_21",1.78390910136621,0.794200962974735,4.85910922837425,0.695494862764735,1
"jarjarbinks_21",1.62773683973555,0.751812335191796,4.02920910985961,0.655049492452533,1
"joans_21",1.37563204036874,0.707417429628131,3.41783859075752,0.485537752832723,1
"korra_21",2.08056124272238,0.850435802300213,6.68609209543085,0.837279437800966,1
"kubo_21",1.75226836623743,0.778165374871598,4.50786255491531,0.683159049959415,1
"franc_22",1.56858991532681,0.735599122838805,3.78213571277352,0.594375081482407,1
"goose_22",2.05188768091503,0.83783172442759,6.1664341960243,0.654406463418397,1
