"ID"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_2"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"o__Bacteroidales"	737	668	380	328	2285	624	1355	12	22	719	1534	856	723	199	1041	739	536	1069	178	1022	819	491	1195	1193	710	840	1196	216	978	524	976	351	918	173	821	338	985	95	433	84	639	3113	1142	425	866	2325	686	1010	615	1027	1047	400	1037	1134	311	436	1197	1464	163	1366	1194	240	1019	252	671	243	1051	305	280	909	1246	129	508	1101	690	216	185	966	259	600	729	1234	224	685	273	472	892	350	97	538	1784	979	1239	2066	509	1409	589	224	801	1195	83	1001	1048	1244	219	1074	228	775	489	242	551	897	854	378	442	756	1922	348	460	665	712	2667	215	102	1074	1523	997
"o__Selenomonadales"	877	1083	1437	2328	74	601	508	1	966	1099	440	797	618	174	561	794	1638	745	61	411	1173	881	734	764	580	759	1263	113	751	1280	1024	975	838	31	712	891	814	11	535	50	903	23	406	134	1054	397	411	376	1354	1674	600	547	828	567	1233	1239	530	553	117	346	658	1467	709	524	743	1577	1225	292	375	945	439	36	698	828	404	572	618	392	1608	1183	1527	551	643	101	289	877	1243	1491	233	1304	583	573	725	343	862	293	1126	111	452	739	64	157	2800	312	578	712	103	1345	547	492	1094	994	69	1099	282	1216	291	1036	999	878	101	200	1040	352	544	1263	357
"o__Aeromonadales"	76	778	22	35	10	142	19	0	2432	59	85	11	81	890	59	430	971	28	3201	29	14	1003	23	23	852	32	157	2418	10	34	18	1129	10	3436	47	1556	95	3579	38	3429	484	1	24	2508	8	37	1340	98	2	285	889	1650	860	80	809	5	41	762	2871	1257	708	23	645	2057	71	4	20	1477	2505	75	98	3530	18	31	289	764	8	150	3	20	25	494	1529	14	798	19	84	4	2664	57	365	41	51	454	1175	28	10	2955	458	16	3489	37	44	22	863	48	3145	344	1466	1458	18	20	3	224	586	129	18	47	378	25	9	2	12	4	71	63	696
"o__Acidaminococcales"	591	374	300	284	64	780	520	2	138	947	637	728	917	113	1474	639	486	609	416	1148	491	715	608	1217	458	756	1732	804	377	757	631	947	545	234	1162	443	711	157	948	263	1725	55	436	366	502	448	863	454	320	1649	893	500	756	549	314	339	471	713	298	537	939	333	991	330	464	177	453	397	406	876	663	114	781	810	926	526	167	596	354	955	658	1001	389	581	847	394	706	659	521	607	790	735	588	717	640	1194	771	420	717	633	210	613	1257	699	262	713	305	828	833	207	793	768	398	1174	486	581	492	421	457	330	257	51	406	95	801	701	411
"o__Veillonellales"	496	373	37	319	176	652	515	1	1	527	204	626	465	56	414	274	1	642	45	477	331	583	498	453	498	649	1177	106	301	911	284	214	537	34	450	413	401	38	598	53	1518	22	368	222	805	205	273	143	1408	1625	248	569	265	810	875	1691	447	212	209	176	204	1253	285	513	1519	1402	455	296	169	95	845	79	986	378	833	853	26	940	1463	863	359	485	549	350	198	1529	498	1096	266	970	157	830	701	229	411	237	911	117	414	934	67	1401	1771	806	241	455	57	347	284	283	1013	1011	281	419	338	1014	264	641	814	759	86	35	32	265	905	328	352
"o__Enterobacterales"	817	325	359	4	0	184	466	3894	280	0	1	334	0	2397	5	0	2	57	1	415	548	0	166	0	467	458	3	0	1118	2	402	0	244	0	61	0	2	0	871	0	780	1	1088	28	23	1	0	467	0	133	0	24	1	133	15	0	659	0	0	0	3	3	0	10	3	322	0	787	0	473	0	0	9	1	73	610	2039	0	2	12	105	1	165	2010	1150	399	0	2	0	0	0	177	0	0	3	15	1	0	534	0	1	9	0	1	1522	0	0	1	2	1090	0	13	1942	285	1526	31	7	614	310	4930	2193	461	1702	2998	94	2669	676
"o__Lachnospirales"	220	259	397	436	43	213	453	6	46	148	270	494	557	47	273	140	175	648	89	346	421	244	511	269	340	289	1255	315	169	419	360	245	589	75	540	197	731	98	332	89	1372	49	269	258	400	282	236	361	181	1303	222	239	140	515	234	211	417	148	284	171	212	381	234	225	404	175	161	345	117	453	534	85	731	614	444	415	233	768	264	284	297	134	416	190	202	180	445	323	185	412	177	339	439	132	252	545	468	131	351	386	67	281	848	628	229	725	128	244	198	173	464	101	335	302	288	126	400	373	434	266	485	17	343	145	289	62	357
"o__Burkholderiales"	79	65	37	113	522	160	82	0	95	242	86	51	63	79	40	90	112	111	5	79	28	55	148	60	60	112	131	3	161	66	131	51	195	10	73	146	50	9	156	13	362	280	193	32	199	134	26	357	63	208	88	44	97	160	32	64	140	135	5	75	40	63	98	39	72	81	373	65	73	18	112	12	33	108	148	22	9	124	22	64	208	74	36	32	42	60	109	52	8	88	117	127	136	44	36	168	107	16	166	69	4	38	122	132	45	118	6	89	70	37	51	135	29	68	35	127	121	86	103	99	41	412	22	28	59	147	110
"o__Fusobacteriales"	30	27	905	123	0	581	4	1	2	23	344	19	194	27	56	817	39	11	0	40	84	0	18	14	0	34	597	0	28	1	19	49	30	0	95	0	24	0	69	0	113	0	25	0	55	91	61	435	0	1	0	0	0	1	0	0	2	0	0	15	4	20	0	0	4	0	167	0	29	42	0	0	7	17	47	0	14	0	0	6	22	0	0	5	37	4	0	0	0	0	0	23	6	0	16	19	1	0	0	0	0	28	0	2	9	1	0	1	35	2	0	31	18	0	0	1	129	129	3	0	79	0	68	0	71	1099	0
"o__Eubacteriales"	56	21	65	20	2	29	50	4	6	62	74	66	103	6	19	19	24	64	3	9	74	18	87	1	26	10	274	17	9	2	8	31	7	7	23	10	133	12	11	19	92	5	3	19	2	49	55	65	2	59	6	13	10	21	23	2	47	12	41	18	26	84	15	6	31	1	42	23	44	94	37	15	11	67	93	10	40	48	1	8	53	8	9	16	38	56	1	4	23	12	8	114	19	9	49	82	2	26	28	19	14	33	9	104	12	131	16	13	44	13	7	14	49	47	12	5	3	79	27	5	25	5	120	8	68	9	22
