"ID"	"wolverine_1"	"hamlet_11"	"joans_11"	"ginger_14"	"kubo_14"	"wolverine_14"	"kubo_15"	"ivy_17"	"kubo_17"	"wolverine_17"	"ginger_18"	"hamlet_18"	"ivy_18"	"kubo_18"	"wolverine_18"	"ivy_19"	"ophelia_19"	"wolverine_19"	"ginger_2"	"ginger_20"	"hamlet_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"joans_21"	"korra_21"	"kubo_21"	"hamlet_22"	"henry_22"	"joans_22"	"korra_22"	"kubo_22"	"marshmallow_22"	"hamlet_23"	"korra_23"	"ginger_24"	"henry_24"	"ivy_24"	"kubo_24"	"marshmallow_24"	"ophelia_24"	"wolverine_24"	"henry_25"	"kubo_25"	"ginger_29"	"henry_29"	"joans_29"	"korra_29"	"kubo_30"	"hamlet_31"	"ginger_36"	"henry_36"	"joans_36"	"kubo_37"	"ophelia_37"	"wolverine_37"	"ginger_41"	"hamlet_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"henry_42"	"ivy_42"	"ophelia_43"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"hamlet_45"	"henry_45"	"ivy_45"	"joans_45"	"korra_45"	"marshmallow_45"	"ophelia_45"	"charles_46"	"hamlet_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"ginger_47"	"ivy_47"	"marshmallow_47"	"charles_48"	"hamlet_48"	"henry_48"	"ivy_48"	"joans_48"	"korra_48"	"kubo_48"	"marshmallow_48"	"ophelia_48"	"wolverine_48"	"charles_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"kubo_49"	"marshmallow_49"	"ophelia_49"	"wolverine_49"	"charles_50"	"ginger_50"	"ivy_50"	"joans_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"charles_51"	"joans_51"	"charles_52"	"ginger_52"	"kubo_52"	"marshmallow_52"	"kubo_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"ophelia_55"	"joans_56"	"joans_57"	"ophelia_57"	"wolverine_57"	"ginger_58"	"wolverine_58"	"hamlet_59"	"henry_59"	"ophelia_59"	"korra_6"	"joans_60"	"marshmallow_60"	"wolverine_60"	"joans_62"	"henry_66"	"hamlet_67"	"ivy_67"	"ginger_7"	"charles_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"o__Selenomonadales"	1575	1020	1083	2328	422	1327	1514	508	1514	2062	1099	783	440	1334	1675	618	777	1263	174	561	412	456	598	1004	1638	649	903	336	411	1173	617	1057	881	815	693	764	759	1263	1073	113	1067	2442	751	421	1280	1024	975	1142	532	1406	838	712	891	1707	219	1497	535	2027	903	23	406	1054	397	1010	1354	1674	600	547	418	1239	530	553	495	117	1239	658	644	1467	709	524	1577	1225	292	945	501	698	828	404	689	751	572	342	1184	618	1608	1183	1527	551	857	643	222	1073	877	1491	1304	583	699	626	95	1570	573	343	293	1126	364	452	638	64	157	2800	312	724	1345	492	627	1007	1094	1812	817	994	207	1044	1099	282	1528	1216	291	70	1036	878	1040	1263	357	623	1196
"o__Bacteroidales"	522	603	668	328	318	609	337	1356	449	772	719	738	1533	743	460	723	1056	1181	199	1043	775	675	698	578	535	633	603	257	1023	819	524	484	491	797	432	1193	840	1195	573	216	1215	470	978	627	525	977	351	179	168	760	918	821	338	559	463	445	433	1173	638	3112	1142	866	2323	553	614	1026	1045	400	2125	436	1197	1464	1741	162	668	1196	1560	240	1019	252	245	1051	307	907	1218	508	1102	689	874	1257	215	1657	788	186	260	600	729	1234	983	224	1712	745	472	350	538	1784	1161	849	280	244	981	2064	1408	589	1044	801	720	83	1000	1047	1242	625	774	243	1890	303	551	229	1037	896	1182	1364	376	440	497	758	1922	3084	348	665	211	1522	996	1501	671
"o__Acidaminococcales"	606	283	374	284	463	582	497	520	308	298	947	1326	637	767	621	917	1230	495	113	1474	1054	726	611	1036	486	710	1021	180	1148	491	519	836	715	1121	571	1217	756	1732	449	804	610	345	377	533	757	631	947	390	596	567	545	1162	443	704	376	829	948	1593	1725	55	436	502	448	745	320	1649	893	500	529	339	471	713	317	298	571	939	628	333	991	330	177	453	397	876	987	781	810	926	506	1033	526	924	327	167	354	955	658	1001	1045	389	956	719	394	659	607	790	1209	1157	221	380	735	717	1194	771	581	717	1113	210	613	1257	699	692	828	207	435	230	793	382	654	768	513	1912	1174	486	448	581	492	156	421	330	406	701	411	381	921
"o__Veillonellales"	425	71	373	319	83	319	238	515	435	445	527	483	204	423	592	465	339	452	56	414	143	254	129	405	1	609	398	105	477	331	271	328	583	468	504	453	649	1176	560	106	155	279	301	172	911	284	214	259	277	454	537	450	412	256	66	345	598	400	1518	23	369	805	205	162	1409	1624	248	569	212	1691	447	212	480	210	162	204	416	1253	285	513	1402	455	296	95	429	986	378	833	729	294	853	162	347	27	1464	863	359	484	454	549	160	396	1529	1096	970	157	453	601	30	399	829	229	237	910	250	414	555	67	1401	1770	806	94	346	283	210	244	1013	286	307	1010	274	391	420	338	542	1012	264	43	641	759	31	327	352	441	215
"o__Enterobacterales"	0	16	325	4	2133	0	443	466	213	0	0	7	1	17	0	1	5	0	2397	5	1071	895	1406	363	2	853	230	2807	415	548	1528	179	0	50	1288	0	458	3	633	0	15	2	1118	5	2	402	0	1828	113	116	244	61	0	68	2547	13	871	341	780	1	1088	23	1	499	0	133	0	24	9	0	661	0	384	0	491	3	48	2	0	10	322	0	787	473	8	9	1	73	593	0	610	184	809	2039	1	12	105	1	0	165	235	270	399	2	0	0	70	20	3184	1048	177	0	15	4	1203	536	44	1	9	0	1	1107	1	1090	92	1699	0	804	248	15	1345	15	285	1528	254	31	7	16	614	4929	1702	2670	676	50	0
"o__Lachnospirales"	427	345	261	437	181	841	566	452	662	312	148	473	271	355	452	559	329	338	47	273	342	760	357	392	175	430	457	212	346	422	392	244	246	370	383	269	289	1257	613	315	683	296	170	127	420	359	245	152	217	452	589	540	198	321	220	489	332	1653	1373	50	267	401	282	713	182	1305	222	239	222	211	419	148	369	284	565	210	348	380	234	226	174	161	345	453	630	731	613	444	430	327	417	367	293	232	262	283	297	135	320	416	419	412	180	324	413	177	285	439	95	150	341	133	546	467	398	350	555	67	282	849	629	467	245	173	434	336	466	323	623	101	274	1052	302	288	207	126	400	113	374	266	343	61	358	583	718
"o__Aeromonadales"	76	20	778	35	139	23	63	19	144	24	59	45	85	94	25	81	35	26	890	59	102	65	26	63	971	10	222	8	29	14	43	742	1003	30	15	23	32	157	14	2418	36	14	10	2022	34	18	1129	11	1922	62	10	47	1556	45	14	32	38	258	484	1	24	8	37	50	2	285	889	1650	16	5	41	762	5	2871	53	708	26	23	645	2057	4	20	1477	75	16	18	31	289	3	85	764	37	13	8	3	20	25	494	48	1529	44	44	19	4	57	365	15	44	6	16	41	454	28	10	20	458	53	3489	37	44	22	44	344	1458	38	55	18	25	21	20	21	1670	224	586	35	129	18	15	47	25	12	63	696	4	55
"o__Burkholderiales"	67	30	65	112	30	18	30	81	67	25	242	43	86	73	36	63	96	34	79	40	24	133	51	34	111	47	20	19	79	28	73	39	55	49	81	60	112	131	42	3	44	42	161	36	66	131	51	29	16	97	195	73	146	53	16	36	156	188	361	280	193	199	133	78	63	208	88	44	166	64	140	135	142	5	90	40	182	64	98	39	81	373	65	18	48	33	108	148	82	61	22	56	95	9	22	64	208	74	117	36	76	171	60	52	88	116	87	100	7	114	127	44	168	107	78	166	36	4	38	122	132	50	89	37	91	36	51	27	43	135	60	66	68	35	202	127	121	344	86	99	22	147	110	205	43
"o__Eubacteriales"	95	90	21	20	41	178	113	50	185	51	62	79	74	122	115	103	84	60	6	18	63	19	96	74	24	24	113	22	9	72	24	77	18	82	22	1	10	276	22	17	101	87	8	46	1	8	29	8	54	59	7	23	10	75	48	95	11	241	91	5	3	2	49	143	2	59	6	13	70	2	46	12	25	41	105	28	82	85	15	6	0	42	21	92	136	11	67	93	40	68	10	168	76	40	2	8	53	8	130	9	149	90	55	4	12	8	16	81	53	33	112	9	81	1	50	28	123	13	32	10	104	105	13	11	96	49	7	65	101	13	67	204	47	12	53	4	3	36	78	5	121	10	22	143	149
"o__Fusobacteriales"	103	1501	27	123	183	56	185	4	1	0	23	5	344	2	3	194	0	121	27	56	5	0	0	10	39	0	3	3	39	86	0	2	0	202	0	14	34	597	0	0	1	1	28	7	1	19	49	0	13	5	30	95	0	180	12	90	69	97	113	0	25	55	91	27	1	1	0	0	37	0	2	0	0	0	21	4	4	20	0	0	0	167	0	42	7	7	15	47	0	112	0	27	21	14	0	6	22	0	17	0	3	37	4	0	0	0	0	14	2	28	23	0	19	1	2	0	57	0	28	0	2	25	1	2	7	30	0	18	80	32	1	192	0	0	80	1	129	18	129	0	68	1100	0	2	15
