"ID"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"	"ophelia_9"
"p__Bacillota"	3073	3132	1813	2897	2005	3006	1790	2648	1192	3248	3150	2929	2989	3105	1228	3169	3143	2905	2522	2169	3002	2730	3457	2766	2608	567	531	247	3027	2016	2968	3209	2220	1798	2913	2773	2425	2893	2386	855	1905	3159	1823	2546	2862	2902	2175	2741	2613	2721	2616	3450	1299	2865	2665	1951	3327	1681	2941	4600	2552	2501	3068	2363	927	3258	1517	5914	2827	2678	2123	2777	3407	2531	240	2531	1451	1727	1088	1690	2645	1884	2119	2267	2060	2686	2730	2885	2043	2396	2476	3059	1964	2229	3268	2915	2811	1910	2693	3082	2663	2923	2661	497	2533	3001	2791	3265	1644	3206	2985	3254	1461	2082	1804	1866	2600	2873	2716	2501	2697	1338	4631	1866	2811	419	3744	2408	3301	6493	2170	3200
"p__Bacteroidota"	755	522	603	347	649	561	1911	1158	318	611	617	337	927	449	0	770	739	960	1301	738	743	0	461	1057	1181	2544	1825	1080	573	775	893	601	675	699	577	768	633	603	661	257	759	736	524	485	798	1041	432	721	1210	574	1215	470	627	885	475	179	458	170	760	1306	747	1318	559	642	462	445	2	1177	779	583	1548	551	140	1191	2007	1145	2126	1832	272	1741	669	1379	1560	1424	1510	1218	1099	955	581	874	1259	466	1658	789	610	677	982	1710	745	550	1161	848	1036	280	242	828	667	572	1044	394	720	586	2272	624	1890	303	357	230	544	1037	1116	1181	1363	1985	497	3085	131	730	503	1114	1503	671
"p__Pseudomonadota"	134	178	66	398	545	271	87	133	2302	44	155	536	69	424	2760	49	103	117	67	1085	200	1265	66	136	61	770	478	2643	388	1198	129	84	1094	1484	460	458	911	473	947	2834	1330	39	1644	960	132	32	1386	518	79	691	96	58	2063	226	849	1868	209	2051	275	2029	680	96	166	977	2578	81	5584	788	320	734	166	628	364	119	1489	210	191	111	2617	531	636	624	256	229	307	71	157	104	1364	679	147	467	278	916	88	398	165	356	485	360	172	164	270	3198	1179	143	530	148	1301	112	134	99	211	1202	221	1790	1026	856	727	313	151	1426	1776	123	498	384	30	732	167	242	259	99
"p__Fusobacteriota"	26	103	1500	332	790	149	191	13	183	56	27	185	11	1	0	0	5	0	23	3	2	0	3	0	121	14	53	0	2	5	0	96	0	0	10	0	0	3	6	3	0	52	0	2	202	15	0	13	8	0	1	1	7	1	0	0	0	13	5	0	12	27	180	3	12	90	0	98	52	0	149	27	0	114	0	94	37	62	5	0	21	57	4	71	115	7	2	48	7	0	112	1	27	21	16	1	17	3	37	0	0	14	21	3	28	11	0	0	2	37	57	48	22	25	7	30	1	18	8	80	19	0	192	11	79	18	3	54	25	140	2	15
"p__Actinomycetota"	12	62	17	23	7	13	10	46	3	31	37	11	2	21	1	12	8	18	82	4	47	4	13	40	27	99	1052	29	9	5	10	6	7	5	40	0	30	23	0	47	6	11	6	6	2	9	5	6	89	13	47	19	3	21	11	2	6	79	19	59	9	56	21	15	11	125	849	20	19	5	13	5	85	25	259	19	193	267	10	37	15	54	59	6	6	17	11	5	5	47	5	5	61	45	14	8	19	19	38	7	3	46	9	8	17	12	12	14	8	250	94	5	34	63	66	11	11	23	4	69	15	39	14	11	112	82	89	68	3	5	65	13
"p__Mycoplasmatota"	0	3	0	0	3	0	8	0	2	3	14	2	0	0	0	0	0	0	1	0	3	0	0	0	1	0	28	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	3	0	6	1	0	0	0	0	0	11	0	12	2	0	0	0	3	0	12	0	0	2	0	0	0	0	0	0	0	0	7	0	2	0	5	0	0	0	0	0	0	10	0	0	0	0	0	0	9	4	0	1	12	0	0	0	0	0	2	6	12	4	0	5	0	0	0	0	0	0
