"ID"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"fpt1"	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.03	0.03
"fpt2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08	0
"fpt3"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	1.08	0.03
"fpt4"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	1.08	0.03
"fpt5"	0.05	0.35	0.05	0	0.1	0	0	0.05	0	0.1	0.1	0.03	0	0	0.03	0.15	0.03	0.03	0.03	0.03	0	0.03	0	0	0	0.03	0.1	0	0.03	0.03	0.13	0	0.25	0.05	0.05
"fpt6"	3.81	0.4	0.2	0.03	2.15	0	0.08	3.33	0.08	0.83	0.2	0.18	0.05	0.05	0.03	7.26	0.03	0.1	0.1	2.4	0.03	0.03	2.26	0.03	0	0.25	0.48	0.1	7.98	0.3	0.23	0.05	0.25	0.2	0.45
"fpt7"	44.24	60.73	60.23	50.18	36.88	92.1	49.85	36.31	43.59	42.88	44.27	32.32	50.99	72.42	30.4	43.13	32.31	37.58	34.39	49.57	29.38	77.14	54.5	94.15	44.37	50.15	40.1	39.17	45.19	58.83	47.21	94.97	36.69	56.63	71.75
"fpt8"	2.05	3.38	1.28	0.5	2.78	0.12	1.23	3.73	1.18	2.2	1.1	1.1	4.15	0.9	1.57	2.3	1.6	3.58	4.55	2.45	2.08	1.68	12.18	0.3	0.83	1.2	1.55	2.92	2.73	1.98	0.93	0.1	2.05	1.25	1.15
"fpt9"	0	0	0.03	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0	0.08	0
"fpt10"	0	0	0.03	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0	0.08	0
"fpt11"	4.21	9.17	2.3	2.23	0.68	0	0.25	1.43	0.03	0.03	6.83	0	10.83	0.05	0	0	0	4.75	0.03	0	3.25	9.98	0.05	0	0.05	0.33	0	0	0	15.2	0.05	0	0	8.15	3.5
"fpt12"	0.03	0.05	0.03	0	0	0	0	0.03	0.03	0	0.03	0	0.1	0	0	0	0	0	0	0	0.05	0.03	0.13	0	0	0	0	0	0	0.05	0	0	0	0.08	0.03
"fpt13"	11.57	20.69	35.07	4.98	1.43	0.03	1.23	4.15	0.1	0.1	14.36	0.38	23.69	0.13	0	0	0.03	9.01	0.48	0	7.01	18.55	0.23	0	0.25	2.1	0	0	0	28.42	1.1	0	0.03	14.06	38.06
"fpt14"	7.69	10.27	4.2	4.18	1.08	0.2	1.9	4.45	1.1	3	6.95	5.48	17.44	1.93	1.9	5.84	1.3	6.93	1.88	0.45	4.88	8.55	17.09	0.28	1.35	4.38	1.9	1.68	0.4	13.2	1.7	0.15	1.5	21.19	2.65
"fpt15"	11.92	23.52	38.69	7.73	1.8	0.2	2.55	5.88	1.2	3.08	16.93	5.83	30.12	2	1.9	5.84	1.33	12.76	2	0.45	8.76	20.61	17.26	0.28	1.53	4.93	1.9	1.68	0.4	32.25	2.8	0.15	1.53	30.84	38.39
"fpt16"	7.69	10.27	4.2	4.18	1.08	0.2	1.9	4.45	1.1	3	6.95	5.48	17.44	1.93	1.9	5.84	1.3	6.93	1.88	0.45	4.88	8.55	17.09	0.28	1.35	4.38	1.9	1.68	0.4	13.2	1.7	0.15	1.5	21.19	2.65
"fpt17"	12.29	25.39	41.9	9.31	2.28	0.55	5.15	6.15	4.35	3.1	17.96	8.68	34.43	6.8	1.9	8.19	1.35	22.89	13.66	2.53	8.81	22.03	19.54	1.05	3.65	7.65	1.95	1.68	1.05	35.33	2.8	0.42	1.58	32.37	39.81
"fpt18"	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0
"fpt19"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	1.08	0.03
"fpt20"	4.28	13.47	34.47	3.65	0.73	0	0.53	1.48	0.05	0.03	10.03	0.35	12.78	0.08	0.03	0.05	0	5.8	0.35	0	3.88	12.1	0.05	0	0.08	0.58	0.05	0	0	19.05	1.15	0	0	22.16	35.79
"fpt21"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	1.08	0.03
"fpt22"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03
"fpt23"	0	0	0.03	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0	0.08	0
"fpt24"	0	0.13	0.05	0.03	0.05	0	0	0.03	0.03	0.08	0.05	0.05	0.05	0	0	0.05	0	0.13	0.03	0.08	0	0.1	0.05	0.03	0.03	0.13	0.03	0.03	0.1	0.03	0.1	0	0.05	0.03	0.05
"fpt25"	46.27	64.06	61.51	50.68	39.65	92.22	51.08	40.01	44.76	45.08	45.32	33.38	55.02	73.32	31.98	45.43	33.91	41.13	38.94	52.03	31.43	78.79	54.95	94.45	45.2	51.33	41.65	42.1	47.91	60.77	48.14	95.08	38.74	57.88	72.87
"fpt26"	44.22	60.68	60.23	50.18	36.88	92.1	49.85	36.28	43.59	42.88	44.22	32.27	50.86	72.42	30.4	43.13	32.31	37.55	34.39	49.57	29.35	77.12	42.77	94.15	44.37	50.13	40.1	39.17	45.19	58.8	47.21	94.97	36.69	56.63	71.72
