"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"k__Bacteria|p__Bacillota|c__Negativicutes"	0.737	0.48475	0.534	0.48	0.07475	0.58075	0.4365	0.4815	0.0515	0.52025	0.0915	0.51825	0.025	0.30275	0.1805	0.59025	0.2625	0.318	0.37025	0.609	0.62	0.57225	0.4445	0.4895	0.2485	0.30575	0.6295	0.06725	0.817	0.4655
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.13125	0.24425	0.088	0.2295	0.04325	0.20525	0.0845	0.24625	0.02375	0.10825	0.021	0.08	0.7785	0.28625	0.1065	0.21675	0.58125	0.4725	0.07575	0.08875	0.057	0.13625	0.25925	0.279	0.2965	0.49625	0.12425	0.772	0.033	0.183
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria"	0.009	0.10575	0.28225	0.0635	0.859	0.02725	0.389	0.02425	0.89475	0.22775	0.85725	0.158125	5e-04	0.2785	0.634	0.00775	0.01025	0.0325	0.4385	0.22625	0.20725	0.1565	0.0675	0.0075	0.34325	0.008	0.073	0.0105	0.00375	0.15475
"k__Bacteria|p__Bacillota|c__Clostridia"	0.105	0.0915	0.0695	0.14925	0.0205	0.14125	0.052	0.216	0.0275	0.086	0.027	0.183375	0.01375	0.0675	0.06925	0.10175	0.083	0.1325	0.09625	0.03725	0.09725	0.10625	0.18075	0.18475	0.085	0.16075	0.06675	0.03775	0.11975	0.13625
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria"	0.0165	0.03275	0.01275	0.04875	0.0025	0.01825	0.0365	0.0125	0.00225	0.03925	0.00325	0.04525	0.07	0.04825	0.008	0.04975	0.0335	0.02275	0.009	0.03	0.00675	0.02525	0.01075	0.03025	0.015	0.02275	0.052	0.086	0.00375	0.02875
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia"	0.00075	0.03475	0.00125	0.0175	0	0.00325	0.00025	0.01325	0.00025	0.00075	0	0.000625	0.0075	0.01	0.00175	0.01925	0.006	0.0165	0.00275	0.0025	0.006	0.001	0.01725	0.00375	0.0095	0.0025	0.028	0.01	0.02225	0.01775
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia"	0.00025	0.00475	0.01225	0.0075	0	0.02375	0	0.006	0	0.01725	0	0.014125	0	0.00625	0	0.01375	0.02275	0.00175	0.0075	0.00025	0.00475	0.002	0.02	0.00475	0	0.00275	0.02	0.0045	5e-04	0.0135
"k__Bacteria|p__Actinomycetota|c__Actinomycetes"	0	0	0	0	0	0	0	0	0	0	0	0	0.10425	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0.01075	0	0
"k__Bacteria|p__Bacillota|c__Bacilli"	0.00025	0.0015	0	0.004	0	0	0.00125	0	0	5e-04	0	0.00025	0	5e-04	0	0.00075	5e-04	5e-04	0	0.006	0.001	5e-04	0	0	0.00075	0	0.0065	0	0	5e-04
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes"	0	0	0	0	0	0	0	0.00025	0	0	0	0	5e-04	0	0	0	0.00025	0.003	0	0	0	0	0	5e-04	0.0015	0.001	0	0.00125	0	0
"k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria"	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
