"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.32	0.256	0.24375	0.2095	0.00775	0.178	0.22275	0.2035	0.00275	0.13375	0.0125	0.112875	0.00575	0.1015	0.0335	0.2635	0.09925	0.15675	0.25175	0.1685	0.453	0.146	0.20425	0.101	0.05175	0.04425	0.382	0.0175	0.43675	0.16525
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0	0	0.2755	0	0.85575	0	0.37175	0.0185	0.8865	0	0.85425	0.058	0	0	0.62375	0	0	0	0	0.0985	0.00025	0.10325	0.00025	0	0	0	0	0.00025	0	0.062
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.18925	0.15775	0.23675	0.13625	0.0585	0.2905	0.11075	0.17775	0.03925	0.237	0.06575	0.215625	0.01375	0.109	0.0915	0.1255	0.112	0.10875	0.0575	0.181	0.0955	0.227	0.1635	0.2385	0.12825	0.17825	0.112	0.039	0.13725	0.1515
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.22775	0.071	0.0495	0.134	0.008	0.1115	0.09725	0.09625	0.009	0.1495	0.01275	0.172625	0.0055	0.09225	0.04675	0.20025	0.05075	0.052	0.061	0.23	0.0715	0.1825	0.07475	0.1475	0.068	0.0795	0.134	0.01025	0.22775	0.1385
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0165	0.0715	0.0185	0.0485	0.0275	0.0925	0.00425	0.044	0.0105	0.04625	0.01225	0.014625	0.024	0.09475	0.0075	0.059	0.36175	0.20875	0.045	0.01225	0.03025	0.016	0.14825	0.07175	0.09175	0.10675	0.06475	0.50175	0.018	0.041
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella"	0.08575	0.07375	0.04925	0.1175	0.00175	0.0395	0.0565	0.16	0.0035	0.028	0.00225	0.05175	0.38375	0.0855	0.0805	0.08475	0	0.015	0.0015	0.05	0.00075	0.0825	0.007	0.01375	0.032	0.01725	0.00325	0.00125	0.001	0.07575
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium"	0.07825	0.047	0.039	0.10275	0.01225	0.07925	0.0315	0.11	0.0165	0.05325	0.012	0.10775	0.00825	0.03925	0.04725	0.055	0.02725	0.0375	0.041	0.0245	0.04075	0.07375	0.06975	0.101	0.036	0.0515	0.02925	0.018	0.03475	0.07875
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.00025	0.0415	0	0.0255	0	0.007	0	0.00025	0	0.0995	0	0.05775	0.00025	0.1155	0.0045	0	0	0.009	0.42125	0.051	0.20025	0.011	0.02625	0	0.08375	0	0.03975	0.002	0	0.03775
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0	0.0475	0.0025	0	0.00575	0.0295	0.00775	0	0.00375	0.01475	0.00275	0.004625	0.2835	0.0495	0.00825	0	0	0.08975	0	0.01	0	0.01075	0.0455	0	0.07625	0	0	0.13075	0.0045	0.01975
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.02575	0.038	0.0035	0.0575	0.0025	0.02275	0.00325	0.01625	0.00325	0.0135	0.002	5e-04	0.047	0.03875	0.00725	0.06	0.03325	0.07675	0.008	0.004	0.01025	0.01	0.0165	0.046	0.0495	0.123	0.015	0.04625	0.00375	0.026
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.0025	0.0075	0.00625	0.00375	0.004	0.012	0.00125	0.0105	0.002	0.003	0.00125	0.004	0.02475	0.0115	0.002	0.0055	0.18075	0.0585	0.01075	0.00275	0.00825	0.00475	0.036	0.0235	0.03125	0.10225	0.01575	0.08225	0.005	0.01225
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.00025	0.05925	0	0.03525	0	0.0085	0	0.00025	0	0.11825	0	0.03975	0	0.1565	0.0025	0	0.00025	0.0055	0.0035	0.0385	0.00075	0.009	0.0335	0	0.0475	0	0.00125	0.002	0.00025	0.01475
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.01225	0.02625	0.01175	0.04375	0.002	0.0135	0.0325	0.0105	0.002	0.031	0.00175	0.039875	0.02375	0.04225	0.005	0.043	0.031	0.0185	0.00575	0.026	0.003	0.02	0.00825	0.01925	0.01	0.0135	0.02475	0.00675	0.0025	0.02475
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia"	0.00675	0.02075	0.01025	0.02225	0.00075	0.01475	0.00375	0.0035	0.00025	0.009	0.00125	0.0085	0.00175	0.01375	0.006	0.02775	0.00225	0.0285	0.01425	0.00175	0.012	0.005	0.0265	0.005	0.00625	0.0075	0.006	0.002	0.01375	0.0125
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.00425	0.0065	0.001	0.005	5e-04	0.00475	0.004	0.002	0.00025	0.008	0.0015	0.005375	0.04625	0.006	0.003	0.00675	0.0025	0.00425	0.00325	0.004	0.00375	0.00525	0.0025	0.011	0.005	0.00925	0.02575	0.07925	0.00125	0.004
