barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	26966	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode02	barcode02	test_sample	21196	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode03	barcode03	test_sample	21556	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode04	barcode04	test_sample	19322	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode05	barcode05	test_sample	14879	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode06	barcode06	test_sample	20241	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode07	barcode07	test_sample	14736	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode08	barcode08	test_sample	16865	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode09	barcode09	test_sample	18853	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode10	barcode10	test_sample	13874	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode11	barcode11	test_sample	20389	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode12	barcode12	test_sample	20051	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode13	barcode13	test_sample	21527	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode14	barcode14	test_sample	16385	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode15	barcode15	test_sample	17730	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode16	barcode16	test_sample	15811	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode17	barcode17	test_sample	30729	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode18	barcode18	test_sample	27888	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode19	barcode19	test_sample	18409	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode20	barcode20	test_sample	21615	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode21	barcode21	test_sample	23150	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode22	barcode22	test_sample	23057	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode23	barcode23	test_sample	27507	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
barcode24	barcode24	test_sample	11	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
unclassified	unclassified	na	22909	9a941d7f1c783e529753e5b2ac120680a3a68e64	UNO-CM-011	CM011	AWE108	2025-01-23T15:55:53.864020-06:00
