barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	9	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode02	barcode02	test_sample	23833	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode03	barcode03	test_sample	14601	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode04	barcode04	test_sample	27628	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode05	barcode05	test_sample	30197	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode06	barcode06	test_sample	25616	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode07	barcode07	test_sample	19394	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode08	barcode08	test_sample	13220	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode09	barcode09	test_sample	22522	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode10	barcode10	test_sample	16225	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode11	barcode11	test_sample	21019	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode12	barcode12	test_sample	8585	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode13	barcode13	test_sample	21427	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode14	barcode14	test_sample	12892	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode15	barcode15	test_sample	14385	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode16	barcode16	test_sample	23013	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode17	barcode17	test_sample	15970	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode18	barcode18	test_sample	24068	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode19	barcode19	test_sample	26372	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode20	barcode20	test_sample	26958	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode21	barcode21	test_sample	12071	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode22	barcode22	test_sample	27648	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode23	barcode23	test_sample	27088	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode24	barcode24	test_sample	13720	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode25	barcode25	test_sample	22392	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode26	barcode26	test_sample	20760	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode27	barcode27	test_sample	16220	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode28	barcode28	test_sample	23283	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode29	barcode29	test_sample	26241	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
barcode30	barcode30	test_sample	24247	6b55005b753cbbdf4516c2aba002d9bc3121c7fe	PL1_Run2	no_sample	FAW97410	2023-12-21T12:48:13.951103-06:00
