tax	BUD-28-MGE-S47	BUD-48-MGE-S69	CHA-44-MGE-S55	CM-NTC-004	FRA-45-DRS-S57	FRA-68-MGE-S51	GOO-46-DRS-S58	GRO-44-DRS-S68	GRO-46-DRS-S59	GRO-46-MGE-S60	HAM-41-DRS-S63	HAM-41-MGE-S64	HEN-36-MGE-S62	HER-67-MGE-S48	IRI-44-MGE-S67	IVY-44-DRS-S53	IVY-44-MGE-S54	IVY-67-MGE-S49	JAR-45-MGE-S56	JAR-68-MGE-S50	JOA-36-MGE-S52	JOA-41-DRS-S65	JOA-41-MGE-S66	LAM-48-MGE-S61	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	0	0	0	1	2	0	0	0	0	0	0	0	0	62	0	1	1	0	0	0	0	0	0	67
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella loescheii	6	1	0	0	6	5	2	0	0	0	0	0	0	0	23	5	6	0	0	0	2	1	0	9	66
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora xylanisolvens	0	0	1	0	2	1	2	2	1	0	8	2	5	9	5	6	3	6	0	3	0	8	0	1	65
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	0	0	0	0	6	11	1	0	0	0	5	5	1	3	7	3	4	3	10	6	0	0	0	0	65
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	24	0	39	0	0	0	0	64
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	0	2	0	0	2	4	2	1	0	0	12	2	1	3	13	7	5	0	4	3	0	1	1	1	64
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia argi	1	2	0	0	3	3	3	2	0	0	6	1	5	1	0	11	2	1	0	2	0	7	3	10	63
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Gluceribacter;Gluceribacter canis	0	1	0	0	3	4	0	1	0	0	5	1	8	1	4	8	2	2	0	2	0	14	3	1	60
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	4	0	0	0	4	3	4	0	0	0	0	0	0	0	24	5	5	0	0	0	0	0	0	6	55
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta	0	4	0	1	6	3	0	1	0	0	3	1	7	0	2	6	1	0	0	5	1	11	1	2	55
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	1	0	0	1	5	1	1	0	0	8	9	0	1	0	0	3	3	4	14	1	0	0	1	53
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	0	0	0	0	1	0	0	0	0	0	0	0	3	0	8	0	1	0	3	35	0	0	0	0	51
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinaceum	12	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	23	6	5	51
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	3	0	0	5	4	1	0	0	0	1	1	9	0	12	4	3	1	2	5	0	0	0	0	51
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	2	41	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	50
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	0	0	0	0	4	7	0	0	0	0	7	3	2	0	3	6	3	1	0	2	1	8	1	0	48
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	0	1	0	0	1	1	0	0	0	0	2	6	0	8	9	3	5	3	3	4	0	0	0	1	47
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	0	0	0	0	4	1	0	0	0	0	14	3	0	17	0	2	2	2	1	0	0	0	0	0	46
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium transplantifaecale	0	3	3	0	1	3	0	0	0	0	6	0	4	2	2	7	4	0	1	1	1	6	1	1	46
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	44
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	0	0	4	0	0	2	0	0	0	0	3	1	8	1	0	0	0	16	7	0	0	0	0	0	42
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Qiania;Qiania dongpingensis	0	2	0	0	2	4	1	1	0	0	2	3	4	1	0	4	5	0	1	3	0	4	2	2	41
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	39	0	0	0	0	0	41
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	0	0	0	0	3	3	3	0	0	0	2	2	6	2	1	3	3	1	0	3	0	1	0	7	40
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	0	0	5	0	0	0	0	0	0	0	1	3	1	0	16	0	0	2	0	10	1	0	0	0	39
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella illustrans	2	0	0	0	5	0	3	1	0	0	2	0	0	0	13	1	3	0	0	1	0	2	0	6	39
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	7	0	0	0	0	0	2	0	0	0	0	0	1	0	1	2	0	0	0	0	1	18	5	2	39
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera sueciensis	0	1	0	0	1	2	0	0	0	0	0	0	1	2	5	3	2	1	0	2	0	7	0	10	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	0	0	0	2	1	0	0	0	0	0	4	15	0	0	0	4	11	0	0	0	0	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	0	1	7	0	0	0	0	0	1	1	2	4	8	1	9	0	1	1	0	0	0	0	0	0	36
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	0	0	0	0	3	0	1	1	0	1	5	0	1	0	2	5	1	0	0	3	0	6	1	2	32
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	32
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia coccoides	0	0	1	0	3	1	0	1	0	0	6	1	1	0	1	2	0	3	0	2	0	5	3	1	31
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	0	1	2	0	0	2	0	0	0	0	0	4	3	0	0	0	0	12	6	0	0	0	0	0	30
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia pseudococcoides	0	1	0	0	0	0	1	1	0	0	3	1	3	1	3	2	2	0	1	2	0	8	1	0	30
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	0	1	0	0	3	0	1	2	0	0	0	0	9	0	0	1	4	1	0	6	0	0	0	0	28
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	0	0	1	0	1	1	0	0	0	0	3	1	0	4	3	1	1	1	2	0	0	7	1	0	27
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Drancourtella;Drancourtella massiliensis	0	0	0	0	3	1	0	0	0	0	3	0	8	0	1	4	1	0	0	2	0	4	0	0	27
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Srinivasan et al. 2021)	1	1	0	0	2	1	2	0	0	0	0	1	2	0	1	4	0	0	1	1	0	2	2	6	27
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera hexanoica	0	0	0	0	1	2	2	1	0	0	0	0	1	2	0	1	4	0	0	3	1	2	0	6	26
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	1	1	0	0	2	2	0	0	0	0	0	0	0	0	12	3	3	0	0	0	0	0	0	2	26
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	0	2	2	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	8	0	0	0	0	26
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	0	0	0	0	0	3	2	0	0	0	2	1	6	2	2	0	2	2	0	2	0	1	0	0	25
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	0	2	1	0	0	0	2	0	0	0	1	3	5	0	3	0	0	0	1	4	0	0	0	3	25
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	0	0	0	0	1	0	0	0	0	0	3	2	5	1	2	6	0	1	0	0	0	4	25
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	0	0	0	0	0	4	0	0	0	1	0	1	0	1	9	0	2	1	4	1	0	0	0	0	24
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	0	1	0	0	2	0	0	0	0	0	1	1	1	0	2	3	2	0	1	0	1	5	3	1	24
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	0	0	0	0	2	1	0	0	0	0	0	0	0	0	18	1	0	2	0	0	0	0	0	0	24
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia porci	0	0	0	0	0	1	0	2	0	0	1	1	5	0	0	3	3	1	0	0	0	3	2	1	23
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	0	0	0	0	4	1	2	0	0	0	0	4	0	4	1	2	1	2	1	1	0	0	0	0	23
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas weihenstephanensis	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	0	8	0	0	0	0	22
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus mirabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	4	0	0	0	0	0	22
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella pleuritidis	0	0	0	0	4	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	1	1	3	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprophilus	1	0	0	0	3	1	2	1	0	0	0	0	4	1	1	1	1	0	0	1	0	3	1	0	21
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	0	0	0	0	0	1	2	0	0	0	0	2	0	3	1	1	2	4	1	1	0	0	0	1	19
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella enoeca	2	1	0	0	3	0	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	2	3	19
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] lactaris	0	1	0	0	3	1	0	0	0	0	1	0	2	0	2	2	2	0	0	1	1	1	2	0	19
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia faecis	0	0	0	0	2	1	0	0	0	0	3	1	0	2	1	2	2	0	0	3	0	2	0	0	19
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella marshii	1	1	0	0	1	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	4	19
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecalis	0	0	0	0	2	1	0	0	0	0	1	1	1	0	3	2	1	0	0	2	0	1	0	3	18
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	18
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Murimonas;Murimonas intestini	0	0	0	0	0	0	0	0	0	0	4	1	1	1	0	2	1	0	3	0	0	4	1	0	18
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata	0	1	0	0	1	2	0	1	0	0	3	1	0	0	2	1	0	0	1	0	0	5	0	0	18
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	15	0	0	0	0	0	0	17
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprocola	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	1	17
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia caecimuris	0	0	0	0	1	0	0	1	0	0	1	3	0	2	1	1	1	0	2	2	0	2	0	0	17
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	0	0	0	0	6	1	0	1	0	0	2	0	3	0	0	1	2	0	0	1	0	0	0	0	17
Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale	0	1	0	0	1	0	0	0	0	0	0	0	0	0	10	2	0	1	0	1	0	0	0	0	16
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster hominis (ex Hitch et al. 2024)	1	0	0	0	0	1	0	0	0	0	4	4	0	1	1	0	2	0	1	0	0	1	0	0	16
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae	0	1	0	0	0	0	2	0	0	0	1	2	0	1	0	0	0	0	1	1	0	0	0	7	16
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Leyella;Leyella lascolaii	0	0	0	0	1	1	0	1	0	0	0	0	0	0	8	1	1	0	0	0	1	0	1	1	16
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Merdimonas;Merdimonas faecis	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	2	0	1	2	0	0	2	3	0	15
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;Hungatella hathewayi	0	0	0	0	0	0	0	0	0	0	3	1	2	3	0	1	0	2	0	1	0	1	0	0	14
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	0	3	0	0	0	4	14
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;[Eubacterium] cellulosolvens	0	0	0	0	1	4	0	0	0	0	4	0	0	0	1	1	1	1	0	0	0	0	0	1	14
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	0	0	0	0	0	0	0	0	0	0	1	1	0	0	10	0	0	0	1	0	0	0	0	0	13
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter huaxiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	13
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Anaeroglobus;Anaeroglobus geminatus	2	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	2	13
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Syntrophococcus;Syntrophococcus sucromutans	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	6	13
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	0	0	0	0	3	1	0	2	0	0	0	3	0	1	0	0	1	0	1	0	0	0	0	1	13
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	5	12
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecicola	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	1	12
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii	0	0	0	0	0	2	0	0	0	1	0	0	2	0	3	0	4	0	0	0	0	0	0	0	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bariatricus;Bariatricus massiliensis	0	0	0	0	0	2	0	1	0	0	2	0	1	0	1	2	0	0	0	1	0	1	1	0	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna cellulosilytica	0	0	0	0	2	0	0	1	0	0	0	1	1	1	0	0	3	0	1	1	0	1	0	0	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Cuneatibacter;Cuneatibacter caecimuris	0	0	0	0	2	2	0	0	0	0	1	0	0	0	2	1	2	0	0	0	0	1	0	1	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia schinkii	0	0	0	0	0	1	0	1	0	0	1	0	2	0	1	0	0	1	2	1	0	0	1	0	11
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis	0	0	0	0	1	1	0	0	0	0	4	2	0	1	2	0	0	0	0	0	0	0	0	0	11
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium vitabionis	0	0	0	0	1	2	0	0	0	0	3	0	1	0	0	2	0	0	0	0	0	1	0	0	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hydrogenotrophica	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	2	0	1	0	0	1	0	0	10
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	7	0	10
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chuandaensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea agglomerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Diplocloster;Diplocloster agilis	0	0	0	0	2	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	3	0	0	10
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	0	0	0	0	2	0	2	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	1	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Coprococcus eutactus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	2	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis	1	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0	0	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella dentasini	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	1	1	0	0	1	0	0	0	1	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora xylanolytica	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	1	0	1	1	1	9
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus xylosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia inulinivorans	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	1	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella hominis	1	0	0	0	1	0	0	1	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	8
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster lavalensis	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;Hungatella effluvii	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna chitinilytica	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	1	0	1	7
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	0	0	0	0	0	0	0	0	1	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia stercoris	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	1	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium baratii	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora algidixylanolytica	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	6
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	6
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides clarus	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna aminovalerica	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	6
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella paludivivens	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Catenibacillus;Catenibacillus scindens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	1	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia liquoris	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	5
