tax	BUD-28-MGE-S47	BUD-48-MGE-S69	CHA-44-MGE-S55	CM-NTC-004	FRA-45-DRS-S57	FRA-68-MGE-S51	GOO-46-DRS-S58	GRO-44-DRS-S68	GRO-46-DRS-S59	GRO-46-MGE-S60	HAM-41-DRS-S63	HAM-41-MGE-S64	HEN-36-MGE-S62	HER-67-MGE-S48	IRI-44-MGE-S67	IVY-44-DRS-S53	IVY-44-MGE-S54	IVY-67-MGE-S49	JAR-45-MGE-S56	JAR-68-MGE-S50	JOA-36-MGE-S52	JOA-41-DRS-S65	JOA-41-MGE-S66	LAM-48-MGE-S61	total
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	48	151	53	0	242	208	245	17	3	9	88	95	138	15	160	209	166	77	15	174	126	405	151	219	3014
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	52	55	0	0	170	290	45	35	0	14	24	45	173	162	101	315	172	110	11	107	49	134	96	408	2568
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	38	59	0	0	301	83	269	45	10	19	97	70	214	30	381	148	119	53	40	173	16	87	35	144	2431
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	0	0	1	0	0	0	0	0	0	7	67	0	0	0	0	0	0	2241	0	0	0	0	0	2316
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	37	133	33	3	72	149	77	39	27	46	85	81	143	81	149	166	118	58	65	108	50	133	40	182	2075
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Wansuia;Wansuia hejianensis	16	28	3	0	105	151	36	43	6	12	140	49	169	40	109	234	107	50	48	95	26	333	79	90	1969
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	9	21	323	0	119	64	40	8	2	8	282	176	286	9	100	53	51	139	45	126	2	33	10	17	1923
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	0	0	0	98	426	2	4	0	0	6	52	73	0	0	50	88	312	34	268	0	126	311	15	1865
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	4	1	0	0	4	2	6	1	29	56	473	319	605	88	1	6	1	3	124	20	0	12	8	2	1765
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	0	0	0	0	145	257	0	2	0	0	40	316	73	0	0	64	107	200	12	71	0	121	289	13	1710
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	1	53	4	0	0	0	233	32	20	32	126	136	372	32	0	0	0	0	27	165	33	54	21	255	1596
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter rarus	93	32	0	0	222	103	78	0	0	0	0	0	0	0	484	176	194	0	0	0	29	31	4	94	1540
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	10	65	26	0	40	86	57	6	3	6	333	154	144	24	56	131	49	53	22	47	38	31	6	132	1519
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	20	15	0	0	56	153	22	11	5	2	22	14	0	96	0	135	328	17	2	78	19	160	13	244	1412
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia glucerasea	10	43	0	1	23	61	27	53	1	5	72	108	160	91	155	34	44	73	183	84	14	30	28	41	1341
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	6	28	21	0	172	46	42	26	8	12	43	26	169	5	430	79	83	23	18	29	5	0	0	65	1336
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	19	34	0	0	113	142	19	12	1	5	10	40	114	130	29	154	85	43	5	80	28	7	15	146	1231
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	0	67	27	0	2	10	75	0	0	0	0	0	209	1	252	1	3	141	5	114	0	161	65	5	1138
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	25	26	188	0	36	66	6	6	1	1	28	74	62	108	56	58	52	56	17	34	33	30	14	85	1062
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	5	14	2	0	67	64	27	22	3	4	113	41	95	25	36	140	67	11	10	66	8	139	30	72	1061
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	0	24	1	0	55	63	55	19	2	13	23	15	113	21	220	32	35	20	19	189	9	3	4	45	980
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	12	111	0	0	3	9	174	11	9	12	0	0	0	0	0	3	2	0	0	3	34	8	1	410	802
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Bordigoni et al. 2020)	11	15	1	0	56	73	15	12	1	7	8	20	84	71	17	104	41	26	3	61	17	21	12	122	798
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	2	18	50	0	24	39	19	12	1	2	92	46	63	68	68	87	32	13	22	35	7	33	9	13	755
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	10	7	0	0	129	44	68	16	4	7	29	22	62	15	78	52	45	20	12	53	3	36	6	33	751
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	7	28	0	0	21	60	55	14	1	3	88	58	58	9	27	54	45	10	10	32	17	59	25	54	735
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	0	28	0	0	20	31	11	2	3	4	119	65	13	68	61	66	40	5	29	33	4	38	4	16	660
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sedlakii	0	0	566	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	570
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	1	0	0	0	0	0	0	2	17	0	0	0	0	0	0	456	1	0	1	0	0	478
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bilifractor;Bilifractor porci	0	6	0	0	21	20	16	11	5	2	78	38	23	23	11	48	30	6	6	30	9	57	9	28	477
