"ID"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"fpt1"	0	0.02	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0.04	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0.02	0.02	0.02
"fpt2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09	0
"fpt3"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	1.09	0.02
"fpt4"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	1.09	0.02
"fpt5"	0.02	0.33	0.04	0	0.11	0	0	0.04	0	0.09	0.09	0.02	0	0	0.02	0.13	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.13	0.02	0.04	0.02	0.11	0	0.27	0.04	0.02
"fpt6"	3.76	0.38	0.2	0.02	2.13	0	0.07	3.36	0.09	0.8	0.18	0.24	0.07	0.04	0.02	7.24	0.02	0.09	0.11	2.4	0.04	0.02	2.23	0.02	0.27	0.53	0.13	8	0.29	0.2	0.04	0.27	0.2	0.42
"fpt7"	44.13	60.68	60.27	50.23	36.85	92.11	49.78	36.34	43.64	42.83	44.27	32.39	51.02	72.39	30.4	43.08	32.37	37.74	34.37	49.51	29.45	77.11	54.49	94.2	50.12	40.24	39.25	45.2	58.78	47.2	94.96	36.75	56.74	71.8
"fpt8"	2.07	3.36	1.27	0.51	2.78	0.11	1.25	3.67	1.18	2.22	1.16	1.09	4.16	0.91	1.53	2.32	1.62	3.56	4.56	2.47	2.09	1.69	12.18	0.31	1.22	1.53	2.93	2.69	1.98	0.89	0.07	2.05	1.25	1.14
"fpt9"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0
"fpt10"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0
"fpt11"	4.2	9.15	2.31	2.22	0.67	0	0.24	1.4	0.04	0.02	6.82	0	10.8	0.07	0	0	0	4.76	0.02	0	3.25	9.99	0.07	0	0.31	0	0	0	15.22	0.04	0	0	8.17	3.52
"fpt12"	0.04	0.04	0.02	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0.02	0	0	0.04	0.02	0.13	0	0	0	0	0	0.07	0	0	0	0.07	0.02
"fpt13"	11.57	20.67	35.1	5	1.42	0.02	1.18	4.11	0.09	0.09	14.36	0.4	23.67	0.13	0	0.04	0.02	9.05	0.44	0	7.01	18.55	0.24	0	2.11	0	0.02	0	28.44	1.13	0	0.02	14.06	38.08
"fpt14"	7.72	10.28	4.18	4.2	1.16	0.2	1.85	4.47	1.11	3.02	6.98	5.49	17.42	1.91	1.91	5.77	1.31	6.98	1.87	0.44	4.89	8.54	17.03	0.27	4.38	2	1.73	0.4	13.2	1.69	0.16	1.49	21.18	2.63
"fpt15"	11.94	23.52	38.71	7.76	1.89	0.2	2.47	5.89	1.2	3.09	16.96	5.87	30.11	2	1.91	5.81	1.33	12.85	1.98	0.44	8.79	20.57	17.23	0.27	4.93	2	1.76	0.4	32.24	2.8	0.16	1.51	30.84	38.39
"fpt16"	7.72	10.28	4.18	4.2	1.16	0.2	1.85	4.47	1.11	3.02	6.98	5.49	17.42	1.91	1.91	5.77	1.31	6.98	1.87	0.44	4.89	8.54	17.03	0.27	4.38	2	1.73	0.4	13.2	1.69	0.16	1.49	21.18	2.63
"fpt17"	12.32	25.39	41.91	9.34	2.38	0.56	5.07	6.18	4.36	3.11	17.98	8.71	34.4	6.8	1.91	8.15	1.36	22.99	13.63	2.53	8.85	21.98	19.53	1.04	7.65	2.02	1.76	1.11	35.31	2.8	0.44	1.56	32.35	39.84
"fpt18"	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0
"fpt19"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0.02	0.04	0	0	0	1.09	0.04
"fpt20"	4.27	13.48	34.5	3.67	0.73	0	0.51	1.47	0.07	0.02	10.04	0.36	12.78	0.11	0.02	0.04	0	5.83	0.33	0	3.87	12.08	0.07	0	0.58	0.07	0	0.02	19.07	1.13	0	0.02	22.21	35.81
"fpt21"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0.02	0.04	0	0	0	1.09	0.04
"fpt22"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0.02	0.04	0	0	0	0	0.04
"fpt23"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0
"fpt24"	0	0.13	0.07	0.04	0.04	0	0	0.04	0.04	0.07	0.04	0.04	0.07	0	0	0.04	0	0.13	0.02	0.07	0	0.09	0.04	0.02	0.11	0.04	0.02	0.09	0.04	0.11	0	0.04	0.04	0.04
