"ID"	"subject"	"sampledate"	"bristol"	"SampleTime"	"studyday"	"location"	"subjectcode"	"sex"	"housing"	"group"	"Age"	"contraception"	"origin"	"previousexp"	"diet_trial"	"group_phase"
"ivy_17"	"ivy"	2023-03-26	"2"	800	"17"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-1"	"control"
"korra_20"	"korra"	2023-03-29	"3"	730	"20"	"b3"	"kor"	"female"	"pair"	"g1"	5.898630137	"estrumate"	"nebraska"	""	"intervention-1"	"gum"
"ophelia_20"	"ophelia"	2023-03-29	"1"	730	"20"	"b2"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"intervention-1"	"gum"
"kubo_21"	"kubo"	2023-03-30	"2"	800	"21"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-1"	"gum"
"franc_22"	"franc"	2023-03-31	"3"	730	"22"	"f2"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-1"	"control"
"grogu_22"	"grogu"	2023-03-31	"2"	730	"22"	"f4"	"gro"	"male"	"pair"	"g2"	4.583561644	""	"texas"	""	"intervention-1"	"control"
"hamlet_23"	"hamlet"	2023-04-01	"5"	800	"23"	"b1"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"intervention-1"	"gum"
"franc_24"	"franc"	2023-04-02	"2"	730	"24"	"f2"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-1"	"control"
"hera_24"	"hera"	2023-04-02	"3"	800	"24"	"b1"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"intervention-1"	"gum"
"ivy_24"	"ivy"	2023-04-02	"2"	730	"24"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-1"	"control"
"kubo_24"	"kubo"	2023-04-02	"3"	800	"24"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-1"	"gum"
"ophelia_24"	"ophelia"	2023-04-02	"1"	800	"24"	"b2"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"intervention-1"	"gum"
"henry_25"	"henry"	2023-04-03	"2"	730	"25"	"f6"	"hen"	"male"	"pair"	"g2"	4.208219178	""	"nebraska"	""	"intervention-1"	"control"
"kubo_25"	"kubo"	2023-04-03	"2"	800	"25"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-1"	"gum"
"ginger_44"	"ginger"	2023-04-22	"3"	800	"44"	"f6"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"intervention-2"	"gum"
"iris_44"	"iris"	2023-04-22	"2"	730	"44"	"b4"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-2"	"control"
"henry_45"	"henry"	2023-04-23	"3"	800	"45"	"f6"	"hen"	"male"	"pair"	"g2"	4.208219178	""	"nebraska"	""	"intervention-2"	"gum"
"korra_45"	"korra"	2023-04-23	"3"	730	"45"	"b3"	"kor"	"female"	"pair"	"g1"	5.898630137	"estrumate"	"nebraska"	""	"intervention-2"	"control"
