"","Ginger_2","Padme_5","Padme_6","Ginger_7","Padme_7","Charles_9","Franc_9","Grogu_9","Henry_9","Ivy_9","Buddy_11","Joans_11","Padme_11","Ginger_14","Buddy_17","Ivy_17","Padme_17","Buddy_18","Ginger_18","Ivy_18","Franc_19","Ivy_19","Ginger_20","Buddy_21","Joans_21","Franc_22","Grogu_22","Henry_22","Joans_22","Marshmallow_22","Franc_24","Ginger_24","Henry_24","Ivy_24","Marshmallow_24","Henry_25","Ginger_29","Henry_29","Joans_29","Ginger_36","Grogu_36","Henry_36","Franc_37","Grogu_37","Grogu_41","Joans_41","Ginger_42","Grogu_42","Henry_42","Ivy_42","Buddy_44","Franc_44","Ginger_44","Ivy_44","Joans_44","Marshmallow_44","Buddy_45","Franc_45","Grogu_45","Henry_45","Ivy_45","Joans_45","Marshmallow_45","Buddy_46","Charles_46","Ivy_46","Joans_46","Marshmallow_46","Franc_47","Ginger_47","Ivy_47","Marshmallow_47","Buddy_48","Charles_48","Franc_48","Grogu_48","Ivy_48","Joans_48","Marshmallow_48","Charles_49","Franc_49","Ginger_49","Henry_49","Ivy_49","Joans_49","Marshmallow_49","Buddy_50","Charles_50","Franc_50","Ginger_50","Grogu_50","Ivy_50","Joans_50","Charles_51","Franc_51","Joans_51","Buddy_52","Charles_52","Ginger_52","Grogu_52","Marshmallow_52","Franc_53","Marshmallow_53","Charles_55","Ginger_55","Ivy_55","Buddy_56","Franc_56","Grogu_56","Joans_56","Buddy_57","Joans_57","Ginger_58","Henry_59","Joans_60","Marshmallow_60","Joans_62","Henry_66","Ivy_67","Franc_68"
"Ginger_2",0,0.468082655792756,0.438386931325556,0.469928816629486,0.406858378796623,0.468819365214567,0.419913276420727,0.492369140550336,0.486402224536601,0.506370639198266,0.393825320425197,0.384212697860641,0.480354210692509,0.441724118995848,0.345891951370328,0.445865027269356,0.526493178112264,0.422465022722223,0.398339427502013,0.515992558748731,0.415668164417567,0.519207476160173,0.451664589332988,0.418611748951172,0.497422767054898,0.489445604129688,0.390810731477892,0.422790152927459,0.413266005919654,0.429032449034096,0.495732833414698,0.476750998439361,0.448856302689621,0.582060956607272,0.49806068512007,0.429414018715095,0.421816518427111,0.448267249272144,0.397947295360939,0.498595969683489,0.349607290862416,0.463782722380025,0.466580401257322,0.4187827625224,0.413943609944549,0.488281873063556,0.443645107980858,0.359443328346578,0.489285335854241,0.482227625054692,0.455882782419205,0.49039737492688,0.492891436035572,0.547721197806974,0.544097009590006,0.472090196166461,0.422076924582123,0.51726792685616,0.452231541068543,0.471760455269435,0.4963911605957,0.417770084180076,0.391996494147582,0.488915912105512,0.451893032752039,0.486376020932994,0.433054956337901,0.319980389565661,0.434191351337861,0.496889343933243,0.477890999421462,0.416537741505137,0.435797124360914,0.458436194335565,0.582132195706413,0.395179107233702,0.488870194972463,0.459223401395685,0.448999765668009,0.453388786963388,0.562218534260533,0.500111417439547,0.469169402876893,0.429464114312537,0.461884797174051,0.372054430674002,0.434471968370045,0.490307227680111,0.537344068174454,0.497908252910549,0.444970439455634,0.566182544897065,0.476779777869953,0.53318812418364,0.514713102192685,0.523567298791224,0.42970282263421,0.495849701998338,0.433325804678599,0.398633701143919,0.439861444677081,0.492515553823103,0.370574924554203,0.448220193090813,0.579397135832326,0.473580918684819,0.465330725300408,0.54137935231865,0.371234876290586,0.398714042779355,0.35939600843393,0.298609418965532,0.518618909990628,0.493504912590662,0.444283266139434,0.431636032272661,0.415937272111992,0.459543572378066,0.460132669794888,0.443759695537786
"Padme_5",0.468082655792756,0,0.233260223830426,0.467978572372133,0.274545899634774,0.35093813468116,0.443401889491622,0.456283133914629,0.410819559385159,0.462587191124833,0.299520602699552,0.344393744677652,0.344481274147841,0.468951628714491,0.363523723964983,0.385213313897225,0.530902808164826,0.529540304665599,0.362756392203933,0.425642097448822,0.457834126027504,0.412613699926884,0.313596434318013,0.349315743813143,0.490070904027205,0.434718702289518,0.502131327979504,0.383200499289617,0.335013473491312,0.44003725042761,0.424414837959687,0.498528376627967,0.345578660213044,0.418915785052506,0.434103170964064,0.360855894071109,0.466203131338302,0.318237487370942,0.418931471858332,0.392579460486108,0.479628866019059,0.350584004872015,0.408882288113409,0.437985333708505,0.519175543886321,0.430240093471416,0.356383997714731,0.43517137301155,0.42241428632933,0.392815401002567,0.405313274949348,0.354544095142658,0.557564575415914,0.46658897497823,0.43245578205422,0.368741585315774,0.431552533329647,0.456387653421886,0.377502003536415,0.484373742782381,0.418069502527616,0.510572222587293,0.45450437919901,0.384147017014728,0.356367242531038,0.381474901883275,0.458950462197659,0.462184129328931,0.406380786754563,0.477343662788801,0.412987286913322,0.358946923823989,0.360121626980058,0.373624872482993,0.510286305200101,0.517499694640001,0.402252531514802,0.343607246003019,0.451653551980042,0.37804578608474,0.48319965882278,0.444767283148072,0.305867609231365,0.372086917781791,0.467915318083165,0.415104708742582,0.312104549541086,0.259657840547486,0.546415626593039,0.440754803277992,0.467697368636138,0.485738818194412,0.469554482991182,0.313943323956519,0.456027222619413,0.472849360178307,0.38555483601342,0.346438129833489,0.482386363689462,0.461419615867245,0.362530132728838,0.409705312070829,0.552319267394354,0.317943655087602,0.484642027473792,0.390087756975646,0.382061283785227,0.436610241027165,0.480784354643433,0.445931177059853,0.381567114488791,0.417424095339277,0.504018022339065,0.352666970748001,0.433477763831636,0.376164073111764,0.42692491344744,0.37580067566298,0.433747874196324,0.406210551066429
"Padme_6",0.438386931325556,0.233260223830426,0,0.485417726385284,0.313216122394561,0.321733766547017,0.462059080791022,0.457281692507557,0.3787129782574,0.491672242909668,0.309731464314052,0.379439910059629,0.328729734817249,0.524764765182584,0.371154583305028,0.427981946251716,0.550730775827129,0.5186811185737,0.399914990328871,0.380780096379757,0.489951369660792,0.413188953645166,0.390657154503928,0.361607323964734,0.515325525008033,0.436760539998042,0.505145765273652,0.397925963306505,0.327537732217684,0.45625250449526,0.435703926939321,0.503414798957569,0.387347509220999,0.441777659263433,0.471727967585992,0.394166338488037,0.522917397316141,0.367333358640592,0.396467308641463,0.460742411266143,0.494024833113094,0.38610686883017,0.427633351811034,0.471790312109624,0.527871384913427,0.484522301188985,0.395609740885812,0.447108735629255,0.468852400118587,0.38151489262502,0.418437559660801,0.370692121694429,0.59273523891781,0.514365915575881,0.505763454825599,0.426227753535188,0.481607660393554,0.514756804246708,0.414145554715886,0.532672943618078,0.428454901096288,0.508532978740434,0.473322438692044,0.44175584687819,0.405347404832772,0.439479775559285,0.500227015741989,0.452775829929985,0.427189983908626,0.49194208100655,0.399393731580486,0.351062466385624,0.380234535841936,0.354101613679372,0.543664319213997,0.509693797364412,0.388552719676939,0.352866987622086,0.468859462198097,0.34268839858018,0.491621646776399,0.508691354257505,0.339410049068825,0.408759484844498,0.499407340956848,0.412565865658646,0.356682234087851,0.305364489094947,0.562676338091861,0.476488634258984,0.451981207095842,0.532499511383958,0.494039389208447,0.32179486884804,0.483488458391509,0.485580153907473,0.396636999168315,0.302928272143004,0.504384356197469,0.46372736914951,0.388213663225146,0.453438334165492,0.534739383623348,0.352047147806615,0.541242707489774,0.395265204749556,0.393903865261116,0.452643084417193,0.479713483535438,0.461369004571419,0.392614004574186,0.471456996095358,0.533977614007835,0.423412656775701,0.491698546855497,0.386331533580129,0.480239643901211,0.434249537307152,0.465399699086135,0.417781500584694
"Ginger_7",0.469928816629486,0.467978572372133,0.485417726385284,0,0.547008191495938,0.512881631013894,0.318205159754762,0.493525202539068,0.425397812475166,0.361578191413783,0.43690968315607,0.408051062703621,0.536100159735787,0.357769987549452,0.382612618713632,0.452961119872235,0.58191354329735,0.489944941701279,0.444819815848888,0.433238022732221,0.474221896945767,0.458818060175526,0.36399863631052,0.468439698334032,0.495303737463819,0.460063321579203,0.471795458122672,0.376135444583315,0.488388546630261,0.419394931970739,0.477413204667815,0.342792183184801,0.364965068686651,0.444801410624139,0.377282719103451,0.430984089362054,0.348567995532824,0.367541282339184,0.47277681913296,0.295111833409556,0.492501098592443,0.40030036451869,0.461871668488787,0.469288038128279,0.541117606220538,0.467050881945735,0.389440438593464,0.419415358256497,0.275871946224486,0.495354094042572,0.501548507395418,0.430008781990898,0.327053938621841,0.468920236907789,0.437649613315708,0.363789913284527,0.478531955201757,0.46476890335302,0.383778236053905,0.312797137962375,0.467480729916337,0.524355402812816,0.47339371712582,0.516968107379279,0.478789367690629,0.435798009668098,0.471673480516163,0.370191469977901,0.437939805382982,0.227939440199763,0.422249880419175,0.323969377379105,0.478540578831603,0.550617085147725,0.478101042550587,0.439865905497565,0.457998197199449,0.40940826622812,0.344271769799595,0.545179961781035,0.468337140536112,0.262896384772302,0.388559905389136,0.470508850225144,0.421535544246253,0.356152676319077,0.45002050584308,0.5156326921861,0.428907923795313,0.272252687901442,0.422030686628765,0.439652177100982,0.483906540779451,0.517968538752992,0.481154096034694,0.476195392510086,0.461007418945516,0.527215734145573,0.30524160069167,0.4489930820551,0.395123214390198,0.441738400717963,0.514907002004067,0.467042143786363,0.280138411721825,0.418329164685412,0.440468860676318,0.467493726372338,0.497944355469519,0.489459618599908,0.430947537613793,0.482893147113489,0.238559186436644,0.430065296208047,0.397289744621019,0.403239898803999,0.453059341280582,0.401191819045268,0.465390829642095,0.480771222667656
"Padme_7",0.406858378796623,0.274545899634774,0.313216122394561,0.547008191495938,0,0.289753695759322,0.438434792677968,0.376740224751319,0.420866794957161,0.437514127759844,0.305105499713469,0.426101109841795,0.277364752295441,0.450203479697155,0.326227967279716,0.429524572318327,0.511323929586725,0.545251243469203,0.429658391915378,0.421146905890977,0.399396366737032,0.427967475515685,0.378463704882129,0.371487084335323,0.557138142839516,0.44118832705088,0.408208892791572,0.365305914455948,0.249671728711626,0.405604262382364,0.411662618923154,0.449122603343435,0.341012481152569,0.446450171930706,0.431296658717063,0.330084651394802,0.423917108688404,0.325395281260577,0.352923119671346,0.412429573208543,0.379280443737104,0.367170346866464,0.348852937230751,0.409633738109494,0.424871663078584,0.480431298033194,0.366827324654924,0.379505015426037,0.450845405456461,0.335732688603742,0.317468755839357,0.381866704587462,0.524574045722574,0.501745511743517,0.524718205723627,0.427167059639025,0.485688297115756,0.49196294681358,0.410481740399225,0.454323912817817,0.386273849308942,0.485532114068235,0.357975548041862,0.44208791199486,0.381147507788336,0.37941358801001,0.431244192027395,0.460643900246822,0.371209503463166,0.505557072207996,0.395161086478984,0.406624024166031,0.377292145005922,0.230954271324764,0.534508399891688,0.434898424490016,0.350244969463396,0.444194601728778,0.470334802167314,0.341470292090515,0.501894566563677,0.44926713918862,0.359479259507924,0.318331866950867,0.491839102652898,0.423515318131192,0.32208442440706,0.286628199391983,0.537159413668463,0.461617239985394,0.416310152482656,0.505566187923589,0.459760803487833,0.379699137837096,0.452418121389659,0.520216274103675,0.317242789883798,0.255777757487576,0.438458818617773,0.372594575529606,0.38150158990996,0.409140632532326,0.46832587730684,0.269599293928473,0.529077058497976,0.356641944043484,0.469129001475995,0.434749317549151,0.383534682351441,0.436946598966933,0.349726367762194,0.359610346981128,0.513140044223812,0.448664434357371,0.428155833143705,0.450031997831904,0.479198116858469,0.340182095283713,0.37789217347425,0.393809565348989
"Charles_9",0.468819365214567,0.35093813468116,0.321733766547017,0.512881631013894,0.289753695759322,0,0.444966151101982,0.449824002606375,0.417684080623412,0.465228422970713,0.339484306087657,0.468352296388968,0.201187353650922,0.466604004268119,0.385640775794107,0.490719454623217,0.51194244677215,0.499535519219725,0.401670853845421,0.387789063350495,0.468417401687249,0.402339086833382,0.366353107630335,0.367022651157491,0.509527031011562,0.462347525476913,0.461458347350715,0.381134625885619,0.370207967135144,0.449406867294979,0.470712290102092,0.434000509411377,0.335295189896506,0.417954503398258,0.418217785941843,0.329100738722066,0.443195280809918,0.33341244587501,0.437556265584922,0.389379963431561,0.446008940835346,0.366166870011613,0.421895262892938,0.435543002630834,0.49324243379812,0.478958034450994,0.358945385652544,0.473308157156071,0.438017213794834,0.381887273827038,0.412023270422441,0.379252870788119,0.558972769264195,0.535794816128565,0.495429391529648,0.420180008086739,0.516148127502311,0.532167844686432,0.388431484846972,0.498438035174391,0.426766733828433,0.539797383354987,0.434840041284987,0.468608094830107,0.395451085274397,0.398461047242727,0.502291300919118,0.502768887832001,0.438158730635896,0.49051132428958,0.37826225737313,0.407593794801699,0.358737216143925,0.22458236373563,0.568599430552399,0.482281807853377,0.427664172485431,0.41489756065058,0.452262781187883,0.261023715785141,0.538561842531817,0.457456576092107,0.33609663807811,0.368808084062967,0.531223918007383,0.460547156379854,0.364463342755632,0.274413573123933,0.561417072319468,0.459056955603359,0.410237722500508,0.548364417013033,0.511597791672683,0.357367338684112,0.482364786742291,0.529818166223425,0.388084671462944,0.258841553653884,0.442564870812926,0.44004609757997,0.430420861068186,0.484912607042667,0.494623232673359,0.286197990609942,0.505628496221909,0.401312076494483,0.452200591241701,0.456269751972333,0.429033897547108,0.505758854500407,0.358698893097839,0.48355538310596,0.482563606169181,0.425222930202891,0.465381790190288,0.456587116504406,0.506456406240949,0.363125867781517,0.413770689980081,0.417697045131344
"Franc_9",0.419913276420727,0.443401889491622,0.462059080791022,0.318205159754762,0.438434792677968,0.444966151101982,0,0.446659124372426,0.499453701124708,0.334784037806782,0.391969370780798,0.41371129450882,0.459954797002396,0.352328261148414,0.369283632840819,0.430778409512047,0.600677808465583,0.510879089391046,0.499212146868146,0.512342555194618,0.433102071094976,0.525864108617753,0.449834714749606,0.416038749576865,0.536840153660794,0.428035569443433,0.354897522186419,0.408205001911497,0.384758817855439,0.399060798418749,0.482736998631374,0.394110549010795,0.402311790028116,0.495409534518515,0.322605155156758,0.43704094477472,0.380950399578864,0.431464223624942,0.464109493090554,0.37083213165576,0.345226030078267,0.384536464562886,0.426682894520998,0.346880392169693,0.394958586588989,0.414068280662798,0.427144311275211,0.32389965410415,0.359515737750189,0.505223744474524,0.485336794282897,0.459572168568449,0.393202228259542,0.475518242074542,0.405892970857353,0.321397419266313,0.472500578704571,0.479452889266103,0.326557447548071,0.375682332295888,0.459469086911166,0.420113868899644,0.361300847849113,0.484027588702741,0.424105578426269,0.415787987078212,0.392869231525163,0.363783174590686,0.390202043723147,0.372121912517883,0.458762030147997,0.337032370645166,0.384318624482897,0.481366922667576,0.457012423220966,0.377000959104598,0.441044196343475,0.459498573167426,0.312681982822085,0.50347376630843,0.440743676555891,0.301760376598577,0.384231754464598,0.429612265524572,0.412620495192119,0.321034719837867,0.407743728959812,0.443199069999094,0.430164255467672,0.377884484529496,0.334064687653134,0.424334254335285,0.44243135132516,0.518864383306506,0.445329363228165,0.465733727180477,0.413043478158279,0.455658757550593,0.362342155379759,0.351319242320943,0.42431170903864,0.435052515947838,0.403746080068419,0.429941847541335,0.399982317418291,0.449935237204029,0.461991783316079,0.476268544988269,0.383960452616146,0.455770207540925,0.403151008616314,0.39422455028212,0.283596074148285,0.474729458397204,0.361140415027684,0.365061690172874,0.486991671468383,0.445190141798354,0.420326752541991,0.434227018131071
"Grogu_9",0.492369140550336,0.456283133914629,0.457281692507557,0.493525202539068,0.376740224751319,0.449824002606375,0.446659124372426,0,0.457792283730248,0.319138412449132,0.365170281920839,0.441627308204681,0.412923345498005,0.442351398801092,0.384481997856595,0.345002192831046,0.603268002423379,0.616462845036188,0.521383820753304,0.375102105244729,0.258237004990333,0.39323504694146,0.411228163048908,0.443194174405151,0.605030169500106,0.369347991660991,0.387254125239969,0.363794574895122,0.336860298750354,0.409327726444369,0.309857940331118,0.41413486602966,0.371934361755609,0.342288333586178,0.414695243543351,0.347475799529911,0.42017354111582,0.349829161027795,0.417680013151751,0.388076334002462,0.446028999633035,0.343575395471364,0.176012876018554,0.435429251089361,0.473267664339964,0.512517056401852,0.404399718506704,0.403518721840711,0.386296901440564,0.281128336682582,0.328742477678885,0.393959211158033,0.448391918384045,0.398041364831973,0.520551895416583,0.397156764614171,0.57331424236282,0.35892383129171,0.400230054508991,0.439094721741434,0.317743120474532,0.526198946823239,0.36434873553879,0.39271471054985,0.370963234630914,0.353010795331992,0.524176911310804,0.504532285753077,0.300710011598967,0.46526866329535,0.349033875350161,0.423863315673977,0.444470956727299,0.408511383522739,0.372471881003778,0.413879456378963,0.293995047604266,0.480702224483133,0.411040194817844,0.507547861946506,0.424634433018706,0.425649645689243,0.407710122122784,0.283166721391858,0.496228533078705,0.471820140360683,0.390945461113832,0.411540454390752,0.37262810283886,0.44589626682868,0.430728286334744,0.398058072713918,0.501023631105001,0.462878324911455,0.347264544161097,0.507175447869648,0.337361412613319,0.378392910295876,0.406964880147773,0.376685598478853,0.408943727111982,0.419963329474588,0.471159472563918,0.323488698846025,0.466290129176476,0.288630970745421,0.427256600864904,0.343209872049596,0.399568939386601,0.49202507592654,0.421910287328488,0.390276664918459,0.446745144719695,0.486541255979857,0.463057422468751,0.44433598922243,0.540635762568209,0.391490477674864,0.22440069346537,0.33704635486557
"Henry_9",0.486402224536601,0.410819559385159,0.3787129782574,0.425397812475166,0.420866794957161,0.417684080623412,0.499453701124708,0.457792283730248,0,0.442780511905611,0.415701807456883,0.46920640499086,0.398864759032595,0.434429994726689,0.384739239406827,0.50770744142765,0.434414809460092,0.459500631886565,0.36575710698826,0.368491950633949,0.513517184447864,0.361175250181209,0.349582452939346,0.430164546164055,0.477995295597189,0.515529489174425,0.450467326578527,0.413167863867363,0.465613696782846,0.483882629233071,0.497212014637565,0.445346033901188,0.331135286765432,0.412814216089793,0.435173004629484,0.370022875029891,0.44469028073752,0.325664441601241,0.515377352554799,0.353439234820425,0.519435359008105,0.437915744765705,0.465913282494171,0.536373120810345,0.552431389450302,0.510702756877888,0.427346505628263,0.509861760980027,0.379350750028795,0.388166793113456,0.501576337987365,0.346430373846966,0.5074719547235,0.557458062481991,0.595406169900607,0.471266269384252,0.558566211228882,0.562638047170218,0.462008137781779,0.433504440456572,0.439102981111044,0.613016402796156,0.465479194950982,0.561506318664373,0.478918239887788,0.419030705140243,0.575716374135322,0.494735975812427,0.469537894665418,0.406362452053434,0.363857656537915,0.442638155191058,0.478297314757318,0.461180077676759,0.602204130345556,0.516902604991466,0.410060197766636,0.40395681575275,0.528631007987126,0.412851032583361,0.607838372482813,0.503197293010188,0.416729422334014,0.372707264612909,0.566766439451137,0.478241142881986,0.417303285914105,0.42135912788326,0.612826232266227,0.409541853258088,0.469033334674755,0.581394288939349,0.592741660773426,0.425691755904461,0.523463650203447,0.596249011133816,0.4585334450599,0.435030517271021,0.45561019134603,0.497674168667409,0.461708161751301,0.529931774548612,0.484847849038786,0.3846428630628,0.477447096304156,0.389665123462565,0.468133464226057,0.477186938321143,0.462538062747584,0.536368081896043,0.447572826479656,0.540715043185401,0.504404219254686,0.453691028615158,0.537342902558733,0.540022080147456,0.474722610699647,0.373004773485746,0.44178168592383,0.488424194835704
"Ivy_9",0.506370639198266,0.462587191124833,0.491672242909668,0.361578191413783,0.437514127759844,0.465228422970713,0.334784037806782,0.319138412449132,0.442780511905611,0,0.39094987555008,0.444532249779546,0.479612393353088,0.358029754446752,0.394316601580392,0.383321487357577,0.610217232696143,0.61358929930003,0.534541092111752,0.456979576318212,0.366600228453998,0.448292784387819,0.431008448209937,0.419895274350419,0.605054696871084,0.362385530072345,0.297741294244686,0.328087631925954,0.374377266381874,0.329786766491165,0.380250912369005,0.385644115474741,0.3630488749771,0.38144417716343,0.242744487363598,0.358100651908356,0.363451984904734,0.366600818704011,0.457017469509248,0.33702227688492,0.367077098628035,0.313619538425473,0.274965540797094,0.32738454427466,0.397605574719302,0.450437524737614,0.404360295023366,0.289646023156091,0.315771496740558,0.418587954664863,0.401456234381694,0.395338715064275,0.356085726638949,0.395573359497638,0.429203275416338,0.266461252532756,0.531104756770471,0.381226579701968,0.272902209186236,0.392101697957672,0.347902428552474,0.475949653944114,0.285296290949798,0.413479097038052,0.38324641160909,0.34845219039265,0.451543845526147,0.427585298784694,0.319382418357004,0.395590373697816,0.373785104259074,0.303655962137788,0.4384058747149,0.485527764520509,0.395522316458917,0.342106739571294,0.394085560873259,0.474976290504081,0.248485527085821,0.520899029054055,0.400764416738568,0.336970261863731,0.392620559228606,0.37791110044764,0.45151838506469,0.366304898573601,0.39061121969945,0.429820990193162,0.430890850259874,0.37731741632271,0.323752396958674,0.389977963063732,0.449708894828994,0.462245700569379,0.392116509644621,0.464018008057964,0.394743580123803,0.42719880948107,0.401552792185218,0.273047512669347,0.341843606962308,0.408686349028024,0.389493007078965,0.384659777813861,0.300230572911626,0.388301551272026,0.460934144560355,0.364457642147626,0.308693332257947,0.499989577115029,0.419840902060937,0.412815407856293,0.326440207770395,0.489873659294402,0.388591379375773,0.308770455369377,0.529764326326851,0.407211493416962,0.280588348578276,0.34693072026583
