"","Buddy_11","Joans_11","Padme_11","Ginger_14","Buddy_17","Ivy_17","Padme_17","Buddy_18","Ginger_18","Ivy_18","Franc_19","Ivy_19","Ginger_2","Ginger_20","Buddy_21","Joans_21","Franc_22","Grogu_22","Henry_22","Joans_22","Marshmallow_22","Franc_24","Ginger_24","Grogu_24","Henry_24","Ivy_24","Marshmallow_24","Henry_25","Ginger_29","Henry_29","Joans_29","Ginger_36","Grogu_36","Henry_36","Joans_36","Franc_37","Grogu_37","Ginger_41","Grogu_41","Joans_41","Ginger_42","Grogu_42","Henry_42","Ivy_42","Buddy_44","Franc_44","Ginger_44","Ivy_44","Joans_44","Marshmallow_44","Buddy_45","Franc_45","Grogu_45","Henry_45","Ivy_45","Joans_45","Marshmallow_45","Buddy_46","Charles_46","Ivy_46","Joans_46","Marshmallow_46","Franc_47","Ginger_47","Ivy_47","Marshmallow_47","Buddy_48","Charles_48","Franc_48","Grogu_48","Henry_48","Ivy_48","Joans_48","Marshmallow_48","Charles_49","Franc_49","Ginger_49","Henry_49","Ivy_49","Joans_49","Marshmallow_49","Padme_5","Buddy_50","Charles_50","Franc_50","Ginger_50","Grogu_50","Ivy_50","Joans_50","Charles_51","Franc_51","Joans_51","Buddy_52","Charles_52","Ginger_52","Grogu_52","Marshmallow_52","Franc_53","Marshmallow_53","Charles_55","Ginger_55","Ivy_55","Buddy_56","Franc_56","Grogu_56","Joans_56","Buddy_57","Joans_57","Ginger_58","Henry_59","Padme_6","Joans_60","Marshmallow_60","Joans_62","Henry_66","Ivy_67","Franc_68","Ginger_7","Padme_7","Charles_9","Franc_9","Grogu_9","Henry_9","Ivy_9"
"Buddy_11",0,0.29170316606182,0.514446529080675,0.520570213830186,0.333416739647191,0.304391342424622,0.893998245833855,0.63486307365262,0.329080675422139,0.594587822600852,0.23511755877939,0.50012528188424,0.631565782891446,0.417344512576649,0.365444764168648,0.510566462423409,0.357527218120385,0.81470367591898,0.364432216108054,0.403377110694184,0.37661038148843,0.294883022644814,0.37176441165437,0.349762321741306,0.278569642410603,0.596861697688006,0.724931232808202,0.30689353184036,0.375093773443361,0.291322830707677,0.434037764161561,0.317744154057772,0.866216554138535,0.467417135709819,0.515128782195549,0.331332833208302,0.889472368092023,0.318073796122577,0.847711927981995,0.462898115724529,0.324993745308982,0.652663165791448,0.425819364523393,0.642365887207703,0.514385789342007,0.655111780959558,0.46248124062031,0.492119089316988,0.448474237118559,0.548080530198825,0.377344336084021,0.369382901489548,0.509320655573627,0.471735867933967,0.581506076932715,0.439859964991248,0.749937484371093,0.497811679379767,0.467850888166125,0.473855391543658,0.387846961740435,0.571178383787841,0.438859714928732,0.463481740870435,0.474052769788671,0.443791421783169,0.655327663831916,0.516016016016016,0.428714357178589,0.877469367341835,0.464982491245623,0.48467025403579,0.436545682102628,0.406981108469911,0.752597971704019,0.469234617308654,0.484992496248124,0.406027260222583,0.419604901225306,0.405804353264949,0.50744215134459,0.434037764161561,0.578381083448017,0.457978989494747,0.398624140087555,0.404702351175588,0.675378266850069,0.405276978867075,0.444111027756939,0.397647647647648,0.39809952488122,0.497248624312156,0.407305479109332,0.464598448836627,0.361430715357679,0.748937234308577,0.363226452905812,0.431107776944236,0.862215553888472,0.488430268918074,0.532816278875824,0.558558558558559,0.619559779889945,0.530765382691346,0.805201300325081,0.339337085678549,0.483120780195049,0.633408352088022,0.405554165624218,0.414530448918344,0.429715859306546,0.370435217608804,0.441691691691692,0.340170085042521,0.488122030507627,0.340257790013765,0.3652739554666,0.516677785190127,0.542828560710266,0.388138138138138,0.589846192322121,0.354177088544272,0.436337863753856,0.421855463865967
"Joans_11",0.29170316606182,0,0.543178973717146,0.454204204204204,0.42163244867301,0.381822734101152,0.915747241725176,0.465965965965966,0.34918648310388,0.658016798295098,0.325240896008009,0.551460448790272,0.579276686272056,0.456048084147258,0.338257386079119,0.338838838838839,0.389681943400952,0.653696984861754,0.435114503816794,0.40575719649562,0.221526908635795,0.346519779669504,0.411411411411411,0.189635749155088,0.352433379206806,0.61690046760187,0.59339421994245,0.409364046069104,0.365945202051795,0.333416739647191,0.26976976976977,0.32957957957958,0.697485299637183,0.481602002503129,0.309896159139247,0.36044038533717,0.718503690729388,0.455819774718398,0.679469535843863,0.466344148803069,0.442733758918513,0.458275991492556,0.423957942170484,0.67042042042042,0.392915258480411,0.680784215156466,0.425353522713052,0.477890872684799,0.277937679889876,0.368868868868869,0.231327411485049,0.392034068136273,0.310465698547822,0.419847328244275,0.59653961885657,0.32040535468535,0.563618165895158,0.357607607607608,0.319814745274753,0.454499937413944,0.29463280370324,0.378144949305295,0.441511322407106,0.43861844575147,0.474974974974975,0.363613613613614,0.458891252659242,0.593839989983724,0.459642097359529,0.704241211059677,0.500688274308597,0.514400200350614,0.443206011271133,0.294441662493741,0.769731896767727,0.486171943436366,0.432111125015643,0.41016016016016,0.438258476166646,0.396420077606709,0.306382978723404,0.634384384384384,0.449924887330997,0.512201226379677,0.395994993742178,0.402577900137655,0.524024024024024,0.406906906906907,0.434505192043038,0.47915362464004,0.428499937445265,0.502940808409461,0.264488671923895,0.542621104018025,0.36753848079089,0.590641811585137,0.323223461586665,0.464531465031903,0.693982234455148,0.569962453066333,0.547638912064075,0.62939777137849,0.391815792766863,0.547490927293205,0.642186913549356,0.312390488110138,0.356436882271988,0.435506067809333,0.416447615471273,0.463463463463463,0.589679358717435,0.356275810286572,0.377738825591586,0.376798898761106,0.52308269736019,0.393188079138492,0.275003129302791,0.574705931425711,0.698698698698699,0.530737448353575,0.685185185185185,0.42710549368039,0.572238905572239,0.361691480045039
"Padme_11",0.514446529080675,0.543178973717146,0,0.473236618309155,0.522522522522523,0.656156156156156,0.904010025062657,0.625562781390695,0.617463097322992,0.617341185315123,0.591494684177611,0.616589399824583,0.78786741713571,0.696871088861076,0.47972972972973,0.503501750875438,0.681852315394243,0.870201325497061,0.650531582238899,0.508381285964473,0.676757568176132,0.613613613613614,0.676338169084542,0.668710121356187,0.588345629611104,0.596828046744574,0.850443916468676,0.581831831831832,0.591096661247968,0.517819182193322,0.621810905452726,0.61255627813907,0.889708640740278,0.645734300725544,0.71039139677379,0.64361635613355,0.916468675753408,0.617963472604453,0.880205076903839,0.716834820311849,0.643438008257225,0.818181818181818,0.660953334167396,0.684592296148074,0.716001501313649,0.616128627056902,0.604252657911195,0.67789824854045,0.743339587242026,0.75887943971986,0.681380517694135,0.682273410115173,0.658408408408408,0.610756722951845,0.715789473684211,0.733400025009379,0.833937726647493,0.763881940970485,0.735518578756412,0.572626047791818,0.697636613730149,0.753284123608157,0.674377891709391,0.589493433395872,0.516508254127064,0.695347673836918,0.780612883051907,0.51820798398198,0.750343964978111,0.915968488183069,0.687554721701063,0.633291614518148,0.718613093002879,0.673173173173173,0.685699974956173,0.763852407754847,0.622013758599124,0.603301650825413,0.476553707640365,0.73927186288002,0.689266950212659,0.697848924462231,0.740490490490491,0.589243277048155,0.610708031023267,0.569731081926204,0.832166083041521,0.593546773386693,0.721645617106415,0.636591165060693,0.686382393397524,0.77661038148843,0.643438008257225,0.711247341423746,0.613258286429018,0.836688758284357,0.654766378554428,0.688883331249218,0.89746154808053,0.746810107580686,0.661551292743953,0.752721812038543,0.710068792995622,0.691807379612258,0.842190821558084,0.568676507380535,0.707390271351757,0.738902088283106,0.678468660077568,0.67983991995998,0.656234351527291,0.583489681050657,0.714679013890627,0.678048780487805,0.717894210328873,0.505882352941176,0.615913924684099,0.756317237928446,0.630315157578789,0.400075084470029,0.778889444722361,0.668542839274547,0.482655103402268,0.646617481555583
"Ginger_14",0.520570213830186,0.454204204204204,0.473236618309155,0,0.54315736802602,0.569677257943458,0.995990979704335,0.680420105026257,0.437718859429715,0.632468996617813,0.504564211579342,0.53275710885632,0.845692134550456,0.543043043043043,0.525644233174881,0.443110777694424,0.47022022022022,0.852231528941118,0.582843566337377,0.44072036018009,0.518259129564782,0.472854640980736,0.524631157789447,0.562226391494684,0.484185523190399,0.548489400767818,0.781722715339417,0.519389542156617,0.38367295911989,0.424928116014502,0.498124531132783,0.433608402100525,0.880985123140393,0.460980490245123,0.50093761720215,0.480185023127891,0.902987873484186,0.530015007503752,0.865483185398175,0.609670696123385,0.574484052532833,0.729966245780723,0.379362101313321,0.646911727931983,0.621263289555972,0.630038930051488,0.381768163061148,0.486490993995997,0.582593472552207,0.585396349087272,0.550943867983498,0.516896120150188,0.434075556667501,0.412529698636989,0.56802806314207,0.612201525190649,0.754969371171396,0.662665666416604,0.598749218261413,0.35609756097561,0.549943742967871,0.619762351469669,0.497937242155269,0.37626609978742,0.426106526631658,0.659414853713428,0.684881830686507,0.583885900162642,0.555083156183569,0.894736842105263,0.513317494060273,0.512512512512513,0.569515705168314,0.573680260195146,0.763645468202304,0.563836438664499,0.323496311116669,0.420355088772193,0.35991998999875,0.608255159474672,0.571535767883942,0.730682670667667,0.688766574931198,0.538076778792047,0.387943971985993,0.33199949981243,0.744436109027257,0.375843960990248,0.609201150143768,0.5431002126861,0.486435804475559,0.669125922220833,0.516197623514697,0.630769230769231,0.417531574340378,0.797474684335542,0.572949279899812,0.517939742467808,0.879734966870859,0.676088044022011,0.374416277518346,0.611660202677343,0.625359509816181,0.501563086157309,0.820977622202775,0.394447223611806,0.599699962495312,0.675459432429054,0.425140712945591,0.458614653663416,0.754943679599499,0.456296111041641,0.658451144751658,0.435788420657747,0.587448431053882,0.423423423423423,0.431644777986241,0.652797465188026,0.777694423605901,0.58889027899412,0.757189297324331,0.557834187820433,0.611972652993163,0.584198024753094
"Buddy_17",0.333416739647191,0.42163244867301,0.522522522522523,0.54315736802602,0,0.417271589486859,0.948608673853096,0.709281961471103,0.345845845845846,0.465346534653465,0.32365820092581,0.37460834691064,0.78055798823971,0.410115172759139,0.266332916145181,0.558168626469852,0.391337005508262,0.806128830519074,0.367696734642812,0.471471471471471,0.363863863863864,0.324405506883605,0.38378784088066,0.469653360030034,0.302313946216385,0.517114710302221,0.665540963101939,0.466082603254068,0.355847404627892,0.399874921826141,0.422316737553165,0.34701025769327,0.861413383364603,0.407157157157157,0.490431519699812,0.37385866166354,0.883427141963727,0.365365365365365,0.844152595372108,0.483612709532149,0.462144913027156,0.649781113195747,0.374796646227005,0.57993495121341,0.451382805656363,0.561000125643925,0.482797447766796,0.491324657991325,0.451520080070061,0.539154365774331,0.40562851782364,0.369897320310543,0.527909887359199,0.488052045539847,0.539232890448734,0.45140712945591,0.746841776110069,0.561421065799349,0.473657865098236,0.496934050807158,0.3906191369606,0.561006131898386,0.399374609130707,0.515576129112974,0.462346760070053,0.586690017513135,0.647941949205555,0.54387282513456,0.396471912923808,0.872420262664165,0.401476291755286,0.430395593390085,0.363465631651434,0.484355444305382,0.767034068136273,0.422995120730639,0.505066933566871,0.400300225168877,0.430143839899937,0.392566637467151,0.500500500500501,0.599199399549662,0.52540675844806,0.510321531339922,0.415415415415415,0.408982860002502,0.664498373780335,0.428321240930698,0.446404002501563,0.364376017023407,0.364352720450281,0.522081821593895,0.440120135152046,0.453635339757227,0.346428124609033,0.747091932457786,0.37351209121664,0.405378361475922,0.854909318323952,0.473223223223223,0.539205872539206,0.471273000375516,0.63668209683473,0.46628299762292,0.803377110694184,0.388638638638639,0.440900562851782,0.627016885553471,0.350519334251032,0.341255941956467,0.603305785123967,0.378956587013637,0.539116284891726,0.375703740773177,0.496435272045028,0.418377566349524,0.361281441621825,0.628325965468346,0.676507380535402,0.616472649893604,0.742056542406805,0.276116602026773,0.504086738949124,0.482676672920575
"Ivy_17",0.304391342424622,0.381822734101152,0.656156156156156,0.569677257943458,0.417271589486859,0,0.916520431185761,0.764323242431824,0.440940940940941,0.582403810001253,0.195546102839985,0.483644566988344,0.736269235581133,0.423885828743115,0.462077596996245,0.583937953465099,0.210315473209815,0.825891181988743,0.342674840485425,0.473473473473473,0.435685685685686,0.23153942428035,0.285213910432825,0.369040170191465,0.315322076297686,0.615127734179329,0.728580362726704,0.405256570713392,0.400875547217011,0.374609130706692,0.534901175881911,0.30147610708031,0.888930581613508,0.44019019019019,0.533708567854909,0.281050656660413,0.90744215134459,0.345845845845846,0.866166353971232,0.490451171712117,0.365035665123264,0.641275797373358,0.403579026404705,0.609957468101076,0.516456013014642,0.622314361100641,0.497310146378081,0.479646312979646,0.410984611535093,0.518138603952965,0.40562851782364,0.240921612822439,0.555694618272841,0.49530839484549,0.526447731260968,0.330581613508443,0.73083176985616,0.467850888166125,0.372544112126142,0.526717557251908,0.368355222013759,0.559254160931047,0.370606629143215,0.527086200425372,0.530647985989492,0.494871153365024,0.662204428875266,0.668293904118162,0.310396597022395,0.892682926829268,0.45076942324534,0.479469203805709,0.411543758607738,0.412515644555695,0.812875751503006,0.351182284498937,0.528337295133242,0.459344508381286,0.493183239524703,0.33875610061319,0.482232232232232,0.555416562421816,0.594993742177722,0.567121231077193,0.384134134134134,0.448517452771175,0.670502877157868,0.386039529647235,0.311319574734209,0.43196895731631,0.30931832395247,0.359689728512448,0.468652233762983,0.431610561882117,0.371450018766421,0.764102564102564,0.359478762059892,0.348092557848655,0.879674796747967,0.498748748748749,0.537037037037037,0.484040555764176,0.617165019391968,0.467534092330789,0.819387116948093,0.411411411411411,0.502439024390244,0.621763602251407,0.383306219496934,0.446835126344759,0.540946656649136,0.447766795946453,0.451746150957567,0.370949580883273,0.432145090681676,0.422383575363045,0.333249906144412,0.552256234881975,0.661746309732299,0.60320440605833,0.656492369276958,0.330914550231452,0.529941618015012,0.455659787367104
"Padme_17",0.893998245833855,0.915747241725176,0.904010025062657,0.995990979704335,0.948608673853096,0.916520431185761,0,0.930092708594337,0.994987468671679,0.991966863311159,0.930585139706804,0.99121375674658,0.896253602305475,0.994734202607824,0.994484833291552,0.995239288398898,0.981193580742227,0.996743079042966,0.910537526625736,0.931578947368421,0.996491228070175,0.952619704186513,0.996742671009772,0.898483519238,0.913065263685331,0.995320073541701,0.996242014280346,0.895462521935322,0.996492546661656,0.915320055117124,0.994738160861939,0.943623152092207,0.996993611424277,0.980701754385965,0.996993611424277,0.993736690467243,0.996993611424277,0.895739348370927,0.996743079042966,0.930211202938476,0.895726281488908,0.990229237128899,0.996240130342148,0.993485342019544,0.994234866524627,0.990688310054109,0.99699285803784,0.976619906479626,0.997243453201353,0.990228013029316,0.996743079042966,0.963130173062453,0.992730007520682,0.996742262874327,0.987195581220186,0.997244143805587,0.996242014280346,0.996492107241293,0.995989472364958,0.994986840456198,0.997244143805587,0.993984208547437,0.994989352373794,0.92582383160005,0.994988724630418,0.896266599849662,0.99699285803784,0.992729096151435,0.995739882220273,0.996993611424277,0.99398571607568,0.991223671013039,0.975924764890282,0.896715968914515,0.985950827897642,0.996742262874327,0.99699285803784,0.993485342019544,0.968182387573594,0.997242762250909,0.955388471177945,0.892508143322476,0.963900726999248,0.99323393058514,0.99749373433584,0.996742262874327,0.996993234778251,0.996742671009772,0.997244143805587,0.9929798169738,0.995740949517725,0.997243453201353,0.995989472364958,0.993984208547437,0.99699285803784,0.996743079042966,0.881540971263647,0.997244143805587,0.996492546661656,0.993233082706767,0.997828991315965,0.9929798169738,0.936599423631124,0.994486906402706,0.996242014280346,0.997243107769424,0.995740949517725,0.968432919954904,0.997242762250909,0.992984214482586,0.893152746425884,0.970930961032452,0.888429234047888,0.991229169277033,0.994237755229863,0.902457372116349,0.935330241884948,0.930366535860399,0.892758707090955,0.892440767205716,0.897018291155099,0.970429770705425,0.929871430956754,0.895778529374922
"Buddy_18",0.63486307365262,0.465965965965966,0.625562781390695,0.680420105026257,0.709281961471103,0.764323242431824,0.930092708594337,0,0.708104052026013,0.82362520355756,0.714642991121671,0.789302267318051,0.620857821683131,0.831081081081081,0.661245934450838,0.444861215303826,0.787537537537538,0.337417177147143,0.779167187695386,0.677338669334667,0.530265132566283,0.744058043532649,0.779694923730933,0.576735459662289,0.702962870358795,0.795526623268236,0.339417427178397,0.708531398548912,0.699212401550194,0.634704338042255,0.460115028757189,0.720430107526882,0.342917864733092,0.797398699349675,0.422677834729341,0.758219777472184,0.347418427303413,0.749874937468734,0.338917364670584,0.729720716965402,0.770606629143215,0.311413926740843,0.77010631644778,0.832458114528632,0.532958098811757,0.841517016199925,0.697886707515318,0.729152768512342,0.630861573089909,0.459364841210303,0.585198149768721,0.770463078848561,0.565424068051038,0.701137926722521,0.827110999749436,0.647205900737592,0.325165645705713,0.576394098524631,0.670544090056285,0.690056285178236,0.66195774471809,0.333833646028768,0.771471433929241,0.644866825059397,0.679419854963741,0.455113778444611,0.27397774165312,0.713249092956337,0.830186319869951,0.34841855231904,0.798924596723771,0.753253253253253,0.775747716180703,0.605954465849387,0.806459689534301,0.832937351506815,0.718394397899212,0.714928732183046,0.655206900862608,0.777360850531582,0.403451725862931,0.848712178044511,0.665499124343257,0.735650869075903,0.685592796398199,0.694885582093285,0.305826456614154,0.677669417354339,0.763970496312039,0.78506192918804,0.777472184023003,0.840690258847068,0.474421513445904,0.847154471544715,0.69288483181193,0.323415426928366,0.660112711333751,0.781472684085511,0.339667458432304,0.8991995997999,0.786357571714476,0.852370824471412,0.599349756158559,0.809178441915718,0.325665708213527,0.679339669834917,0.46643330416302,0.466933366670834,0.780112570356473,0.779694923730933,0.862077596996245,0.67037639114668,0.694232453396722,0.745654620482681,0.860732591573947,0.668668668668669,0.62426516572858,0.82022846660552,0.846211552888222,0.630426623295383,0.838959739934984,0.791921970739027,0.743038185759546,0.61745218152269
"Ginger_18",0.329080675422139,0.34918648310388,0.617463097322992,0.437718859429715,0.345845845845846,0.440940940940941,0.994987468671679,0.708104052026013,0,0.54892870567598,0.314821763602251,0.37426387670718,0.82714196372733,0.264831038798498,0.388138138138138,0.5,0.354943679599499,0.815680880330124,0.311319574734209,0.408056042031524,0.304978734050538,0.338338338338338,0.268134067033517,0.458025772550982,0.250969113417532,0.482136894824708,0.682380892834813,0.412412412412412,0.236213580092535,0.285982243341253,0.347423711855928,0.281140570285143,0.870201325497061,0.30597948461346,0.471301738151807,0.33174940602726,0.905214455420783,0.319239429572179,0.867950481430536,0.469857416826482,0.440760665582385,0.682881080405152,0.326160390341549,0.632066033016508,0.459527086200425,0.60984800904409,0.368355222013759,0.414845704753962,0.368105065666041,0.514757378689345,0.319744904339127,0.384076114171257,0.46046046046046,0.383114446529081,0.535338345864662,0.404776791296736,0.777666624984369,0.510505252626313,0.381959214312523,0.410984611535093,0.304489183443791,0.551107218816464,0.419032137051394,0.454659161976235,0.38144072036018,0.647823911955978,0.644277673545966,0.447878863721687,0.401125703564728,0.891959484806803,0.350594121325829,0.398998748435544,0.329578169983728,0.513013013013013,0.769596794390183,0.446404002501563,0.406378986866792,0.223111555777889,0.348755783418782,0.320155135743776,0.512634475856893,0.649074537268634,0.553053053053053,0.448655409631019,0.321491118338754,0.301063164477799,0.693096548274137,0.339669834917459,0.389270976616231,0.334751595544988,0.350256346129799,0.467166979362101,0.384461403728262,0.395971475040661,0.231269543464665,0.762410904089033,0.388951521984216,0.391521820682756,0.880455170689008,0.460345258944208,0.423352793994996,0.507445876611188,0.639024390243902,0.445153220762977,0.808928348130549,0.226419814861146,0.411029135925972,0.650869075903464,0.28362317027399,0.261130565282641,0.654982473710566,0.273545966228893,0.592541609310474,0.31307066916823,0.448793297486557,0.385732165206508,0.38946578255974,0.623884580101743,0.766383191595798,0.602552871980979,0.772886443221611,0.344340212632896,0.529019346230821,0.596098536951357
"Ivy_18",0.594587822600852,0.658016798295098,0.617341185315123,0.632468996617813,0.465346534653465,0.582403810001253,0.991966863311159,0.82362520355756,0.54892870567598,0,0.564019042846404,0.293674698795181,0.853420195439739,0.540178011783879,0.491916280235619,0.693598897657522,0.535915757803686,0.825150300601202,0.536958155850664,0.541160255607067,0.60731737877459,0.483644566988344,0.580107728923963,0.66516290726817,0.537575150300601,0.48608673853096,0.716933867735471,0.586664995613485,0.579909819639279,0.512274549098196,0.593135412752098,0.54227733934611,0.885771543086172,0.484776343816564,0.656813627254509,0.520541082164329,0.912074148296593,0.543165016915173,0.871492985971944,0.684808013355593,0.570676691729323,0.770791583166333,0.53483709273183,0.32180884379306,0.545614035087719,0.40186210367388,0.626659984966174,0.672038072973199,0.596091205211726,0.643742953776776,0.588677354709419,0.520501567398119,0.683168316831683,0.66023552994237,0.47885025731141,0.575150300601202,0.790330661322645,0.621696104221471,0.635087719298246,0.59749373433584,0.553356713426854,0.695739348370927,0.574649298597194,0.701327987972939,0.419767004885381,0.702618063384692,0.727386619894763,0.53647530709451,0.526685041343022,0.900551102204409,0.557754948634427,0.381722452049643,0.554413239719157,0.652086727660108,0.796061708265396,0.565522425457279,0.686795289401153,0.535763497432043,0.433867735470942,0.580451127819549,0.655682245332665,0.704121257672554,0.662363704724903,0.654472563267352,0.510838240821952,0.594337258832373,0.716647876738068,0.551797569835901,0.549849699398798,0.534971170719479,0.506513026052104,0.596592332748685,0.56390977443609,0.562907268170426,0.574542721122526,0.780310621242485,0.554077791718946,0.55435871743487,0.882014028056112,0.586267385039469,0.662352842948986,0.418901980446227,0.727637183663242,0.370333249812077,0.821392785571142,0.568976318757048,0.564629258517034,0.712424849699399,0.587218045112782,0.552298634598522,0.730658307210031,0.5760461037334,0.7152168463274,0.630167877724881,0.474699398797595,0.485771593330826,0.612280701754386,0.77391885122725,0.752223474884129,0.705189270493858,0.837905549292246,0.459533951390629,0.631354871024293,0.547845691382766
