"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"njc161"	0	0	0.05	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	5.35	0.12	0	0.03	0	0	0	0.05	0.93	0	0	0.04	0	0	0
"njc162"	0	0	0.05	0	0.03	0.1	0	0.93	0.05	0.03	0	0.03	0.05	0	0	0.03	0	0	0.03	5.35	0.12	0.09	0.05	0.01	0	0.06	0.05	1.43	0	0	0.04	0.03	0.03	0
"njc163"	0	0	0.05	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	5.35	0.12	0	0.03	0	0	0	0.05	0.93	0	0	0.04	0	0	0
"njc164"	0	0	0.05	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	5.35	0.12	0	0.03	0	0	0	0.05	0.93	0	0	0.04	0	0	0
"njc165"	0	0	0.03	0	0.03	0	0	0.08	0	0	0	0	0.07	0	0.05	0	0.25	0.03	0	6.8	0.15	0	0.15	0.14	0	0	0.25	0.08	0.18	0	0.11	0.03	0	0
"njc166"	0	0	0	0	0.03	0	0	0	0	0	0	0	0.07	0	0.05	0	0	0	0	0.04	0.07	0	0.1	0.13	0	0	0.05	0.03	0.15	0	0.1	0.03	0	0
"njc167"	0	0	0	0	0.03	0	0	0	0	0	0	0	0.07	0	0.05	0	0	0	0	0.04	0.07	0	0.1	0.13	0	0	0.05	0.03	0.15	0	0.1	0.03	0	0
"njc168"	37.1	41.35	24.11	26.01	44.63	18.83	28.3	39.25	59.58	45.95	28.13	17.71	11.38	37.08	10.58	3.18	19.23	1.33	24.05	6.22	9.38	16.03	10.26	18.46	34.78	18.79	11.71	30.96	17.03	14.45	19.41	12.8	22.27	31.09
"njc169"	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	1.4	0.05	0	0.03	0	0	0	0.2	0.05	0	0	0	0	0	0
"njc170"	0	0.05	0.05	0	0.03	0	0	0.4	0	0	0.98	0.03	0.12	0.3	0.05	0	0.15	0	0	1.95	0.62	0.03	0.8	0.13	0.03	0.08	1.25	0.38	0.15	0.07	0.11	0.03	0	0
"njc171"	0	0.05	0.05	0	0	0.03	0.03	0.43	0	0	1.98	0.03	0	0.85	0	0.03	0.35	0	0.03	1.4	0.55	0.01	0.65	0	0	0.16	1.38	0.3	0	0.07	0.01	0.15	0	0.03
"njc172"	0.03	0.28	0.08	0.03	0.03	0.25	0	0.85	0.07	0.03	0.03	0.18	0.1	0.15	0	0	0.28	0	0	5.45	0.2	0.14	0.68	0	0	0.01	0.18	1.28	0	0.22	0.08	0.05	0	0.28
"njc173"	0.3	1.38	0.3	0.43	0.33	1.23	0.33	1.6	1.18	0.38	4.8	2.63	0.7	2.15	0.43	1.05	9.73	0.95	1.27	0	1.45	2.5	2.7	1.26	0.4	1.69	3.28	0.9	0.2	0.52	0.25	1.57	6.58	1
"njc174"	0	0.03	0	0	0.1	0	0	0.05	0.17	0.13	0.05	0	0.03	0.13	0	0.03	0.08	0	0.07	0	0.03	0.33	0	0.03	0.05	0.24	0.03	0.05	0.08	0.03	0.03	0.22	0	0.05
"njc175"	0	0.05	0.05	0	0	0	0	0.38	0	0	0.98	0	0	0.3	0	0	0.15	0	0	0	0.45	0	0.6	0	0	0.08	1	0.25	0	0.07	0	0	0	0
"njc176"	0	0.05	0.05	0	0	0	0	0.38	0	0.03	0.98	0	0	0.3	0	0	0.15	0	0	0	0.45	0	0.6	0	0	0.08	1	0.25	0	0.07	0	0	0.03	0
"njc177"	0.07	0.32	0.15	0.33	0.25	1.08	0.03	0.73	0.17	0.28	21.71	0.78	0.4	6.63	0	0.33	1.63	0.15	0.12	5.2	0.68	0.66	0.93	0.03	0.15	0.55	1.85	0.38	0.08	0.28	0.18	2.9	0.03	0.3
