"Taxa"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"goose_24"	"grogu_24"	"hera_24"	"lambchop_25"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.3675	0.21925	0.437	0.17475	0.35925	0.4545	0.2055	0.14825	0.26275	0.0185	0.15025	0.23125	0.212	0	0.2415	0.17625	0.19225	0.1555	0.2645	0.19925	0.0195	0.06525	0.00325	0.18025	0.09825	0.3925	0.1985	0.12275	0.18625	0.18025	0.01525	0.14	0.42825	0.236	0.1835	0.193	0.145	0.164	0.3455	0.2625	0.226	0.1165	0.00775	0.2035	0.1385	0.00275	0.1475	0.09125	0	0.0125	0.345	0.15175	0.0335	0.1355	0.10275	0.0945	0.2045	0.27475	0.01075	0.20975	0.207	0.142	0.30825	0.1025	0.0945	0.0865	0.0495	0.1845	0.29425	0.18575	0.09375	0.10975	0.009	0.11825	0.24125	0.10975	0.21775	0.098	0.23725	0.09325	0.02525	0.07225	0.31075	0.05825	0.10125	0.30225	0.18125	0.32475	0.2155	0.21225	0.02775	0.11975	0.18475	0.22325	0.25425	0.16625	0.1445	0.178	0.02575	0.13675	0.1685	0.146	0.101	0.01725	0.04425	0.43675	0.24975	0.16525	0.34175	0.16625	0.02525	0.05	0.088	0.136
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.20225	0.14775	0.0725	0.17275	0.075	0.15125	0.11375	0.20875	0.1435	0.016	0.195	0.21925	0	5e-04	0.0345	0.25375	0.188	0.188	0	0.182	0.0695	0.01575	0.05075	0.15275	0.33925	0.13025	0.15975	0.1625	0.15225	0.108	0.104	0.26075	0.11625	0.142	0.152	0.2405	0.1145	0.241	0.25575	0.16325	0.18425	0.16275	0.0585	0.17775	0.25675	0.03925	0.20225	0.19175	0	0.06575	0.172	0.198	0.0915	0.263	0.21575	0.1135	0.11925	0.11575	0.02025	0.3035	0.189	0.13725	0.0785	0.13975	0.04725	0.13425	0.22825	0.1635	0.14375	0.116	0.1015	0.16575	0.0285	0.258	0.16675	0.16575	0.1695	0.149	0.15225	0.17325	0.14525	0.21175	0.1765	0.13025	0.19	0.204	0.147	0.1245	0.16	0.1605	0.105	0.27975	0.15825	0.32725	0.1975	0.10375	0.0655	0.17825	0.07625	0.20825	0.181	0.227	0.2385	0.0995	0.17825	0.13725	0.11425	0.1515	0.17375	0.1935	0.06425	0.01275	0.02375	0.20025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.01025	0.019	0.0075	0.0165	0.0055	0.0095	0.00575	0.008	0.00825	0.0025	0.03575	0.00925	0	0.00025	0.608	0.0075	0.006	0.233	0	0.00275	0.00475	0.0025	0.59275	0.06475	0.0155	0.00575	0.1075	0.07725	0.007	0.05475	0.80025	0.298	0.004	0.00125	0.00575	0.08575	0.213	0.00725	5e-04	0.126	0.0265	0.082375	0.859	0.02375	0.10425	0.89475	0.006	0.151	0	0.85725	0.0195	0.1405	0.627	0.015	0.335	0.0245	0.055	0.00625	0.21475	0.0395	0.215	0.02	0.20225	0.005	0.00375	0.31425	0.09575	0.00725	0.02725	0.01775	0.62625	0.02425	0.8825	0.006	0.009	0.0455	0.09575	0.0375	0.00275	0.036	0.0035	0.1995	0.021	0.666	0.03675	0.0365	0.01275	0.01625	0.29375	0.1055	0.73875	0.0135	0.004	0.006	0.005	0.014	0.21575	0.012	0.78625	0.3665	0.135	0.1365	0.0075	0.00075	0.0065	0.0035	0.0945	0.068	0.01075	0.008125	0.00225	5e-04	0.001	0.01775
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.08375	0.124	0.0385	0.0175	0.009	0.04125	0.0515	0.02725	0.03975	0.044	0.16325	0.1465	0.085	0.00025	0.00025	0.161	0.13625	0.0945	0.39675	0.15675	0.0175	0.02125	0.00225	0.25575	0.11075	0.15625	0.06875	0.32325	0.16025	0.14625	0.011	0.00275	0.17825	0.22425	0.1245	0.1035	0.1245	0.12	0.114	0.108	0.20075	0.152625	0.0085	0.10025	0.11475	0.0095	0.07	0.15825	0.002125	0.01325	0.05475	0.2025	0.0555	0.10025	0.06825	0.03625	0.37675	0.10925	0.01575	0.062	0.06625	0.20225	0.21875	0.06975	0.01375	0.044	0.096	0.10725	0.0535	0.37975	0.04175	0.21125	0.01975	0.09625	0.17	0.10675	0.3175	0.235	0.30525	0.16825	0.0875	0.0495	0.1245	0.06625	0.3625	0.1125	0.17525	0.2735	0.10275	0.2445	0.02925	0.2565	0.2335	0.0905	0.184	0.07225	0.06025	0.11375	0.01425	0.071	0.2595	0.19925	0.15	0.0705	0.08325	0.243	0.20375	0.14875	0.1845	0.223875	0.0215	0.00875	0.06625	0.22625
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.11175	0.1605	0.00525	0.013	0.02825	0.0165	0.07325	0.034	0.021	0.4885	0.0845	0.08825	0	5e-04	0.00025	0.023	0.12925	0.09925	0	0.166	0.3765	0.05975	0.04925	0.09475	0.01625	0.07225	0.13675	0.0905	0.20475	0.1165	0.0055	0.16775	0.0765	0.203	0.1785	0.1265	0.151	0.03975	0.1835	0.05025	0.06775	0.085125	0.008	0.1705	0.15325	0.008	0.046	0.1235	0.000375	0.005	0.042	0.11775	0.08875	0.339	0.08475	0.00025	0.02575	0.10625	0.402	0.2655	0.2215	0.165	0.02775	0.061	0.00875	0.23025	0.24675	0.1115	0.326	0.09075	0.05375	0.1625	0.01	0.033	0.10875	0.085	0.09575	0.131	0.09	0.08175	0.128	0.04125	0.1185	0.00775	0.0715	0.238	0.175	0.19425	0.07525	0.13425	0.019	0.07225	0.1675	0.01375	0.0775	0.5195	0.0305	0.0045	0.009	0.084	0.06925	0.105	0.12975	0.1325	0.14975	0.00575	0.08575	0.097	0.0445	0.092125	0.07175	0.58875	0.02075	0.11825
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae"	0.1005	0.05525	0.15125	0.10925	0.09925	0.09125	0.06125	0.20925	0.29025	0.01075	0.0535	0.1355	0	0.00175	0.012	0.11925	0.08675	0.09425	0	0.12375	0.028	0.02475	0.00375	0.16075	0.17575	0.10875	0.03475	0.0785	0.164	0.15625	0.02275	0.0705	0.061	0.09975	0.12825	0.1375	0.08575	0.118	0.00075	0.126	0.212	0.136375	0.01875	0.18275	0.12375	0.02425	0.139	0.14475	0	0.02225	0.1105	0.114	0.0645	0.03125	0.05925	0.0905	0.1475	0.12025	0.012	0.05575	0.035	0.13	0.0585	0.09575	0.09775	0.04275	0.0945	0.101	0.01925	0.101	0.03025	0.13375	0.02125	0.17375	0.12425	0.11525	0.05925	0.1925	0.1065	0.28225	0.0475	0.05	0.1115	0.0465	0.1095	0.033	0.1095	0.0205	0.0635	0.07775	0.03275	0.14875	0.09675	0.13525	0.15225	0.021	0.05725	0.1815	0.0315	0.0495	0.03425	0.103	0.15725	0.08375	0.1295	0.09775	0.10875	0.1285	0.1095	0.20625	0.12125	0.00425	0.036	0.0725
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.0015	0.20425	0.0855	0.10975	0.09	0.03725	0	0.01325	0.023	0	0.046	0	0.6865	0.973	0.07	0.001	0	0.0185	0.28925	0.0835	5e-04	0.00125	0.00425	5e-04	0.00675	0	0	0.02475	0.01425	0.16575	0.00025	0	0	0	0.0415	0.0225	0.117	5e-04	0.04175	0.07	0.004	0.146625	0	5e-04	0.041	0	0.00075	0.065	0.67025	0	0.039	0.01325	0.007	0.0025	0.00025	0	0.025	0	0.00625	0.00125	0.00025	0.03325	0.0035	0.0075	0.6435	0	0.00025	0.0295	0.0025	0.00075	0	0	0	0.02125	0	0.26625	0.00225	0	0.00025	0.04075	0.5025	0.2875	0	0	0.02075	0.004	0	0.00025	0.00075	0.00025	0	0.0065	0	0.01225	0	0.0125	0.381	0	0	5e-04	0.0915	0.02	0	0.48575	0.001	0.00025	0.07775	0.05275	0	0	0.54825	0.11525	0.74975	0.0235
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0725	0.0205	0.0775	0.13325	0.052	0.1195	0.35025	0.224	0.116	0.05525	0.06975	0.1045	0.00025	0.00175	0.00525	0.20425	0.14725	0.06325	0	0.02975	0.245	0.28425	0.20875	0.03825	0.1885	0.059	0.0465	0.07175	0.04725	0.034	0.03525	0.0215	0.073	0.0355	0.09	0.03375	0.00875	0.245	0.0375	0.04475	0.03275	0.0445	0.0315	0.0545	0.021	0.01275	0.25775	0.02075	0.00025	0.0135	0.1415	0.0175	0.0095	0.0355	0.068	0.24425	0.006	0.111	0.038	0.01575	0.02875	0.0835	0.01675	0.37425	0.05125	0.071	0.079	0.1295	0.03975	0.049	0.01	0.083	0.01625	0.22025	0.07325	0.034	0.0135	0.06375	0.035	0.047	0.03	0.01625	0.072	0.0095	0.0325	0.01825	0.0765	0.01	0.0285	0.02475	0.03	0.0275	0.03725	0.078	0.049	0.03675	0.018	0.2365	0.04025	0.02425	0.0155	0.021	0.09525	0.05175	0.209	0.02275	0.019	0.05325	0.07575	0.028375	0.07075	0.071	0.0025	0.14225
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0155	0.01975	0.00625	0.01025	0.0095	0.021	0.01575	0.011	0.0075	0.1305	0.04	0.0075	0.00325	0	0.02375	0.01975	0.01	0.01775	0.0255	0.01275	0.1875	0.11575	0.064	0.03175	0.01	0.01525	0.0225	0.01275	0.02775	0.016	0.00125	0.03425	0.0055	0.00675	0.037	0.02125	0.015	0.01175	0.0125	0.01625	0.02175	0.024625	0.0025	0.0125	0.02475	0.00225	0.01725	0.02825	0.00025	0.00325	0.02175	0.02975	0.008	0.024	0.0065	0.08925	0.011	0.023	0.1515	0.01125	0.02425	0.04	0.008	0.01525	0.005	0.01875	0.06	0.0205	0.04575	0.018	0.01825	0.028	0.003	0.01175	0.01675	0.02925	0.01875	0.031	0.019	0.023	0.008	0.0105	0.02725	0.002	0.032	0.024	0.034	0.019	0.009	0.02675	0.004	0.01675	0.01725	0.00975	0.0195	0.026	0.01125	0.0295	0.00175	0.0175	0.03	0.02525	0.03025	0.00725	0.02275	0.00375	0.02575	0.02875	0.0305	0.02175	0.01025	0.103	0.007	0.01475
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.003	0.0025	0.00325	0.01225	0.01225	0.00375	0.03825	0.02625	0.015	0.02425	0.0015	0.02625	0	0.00025	0	0.00925	0.03825	0.018	0	0.015	0.011	0.09725	0.00975	0.01	0.0145	0.015	0.0015	0.02525	0.01075	0.013	0.002	0	0.0285	0.014	0.02375	0.0185	0.01425	0.0135	0.00025	0.0215	0.01275	0.025625	0.0025	0.01625	0.0115	0.00325	0.02125	0.01475	0	0.002	0.00925	0.01	0.00725	0.0125	0.01575	0.00725	0.00325	0.07275	0.04925	0.005	0.009	0.03	0.033	0.0195	0.0065	0.03425	0.01825	0.1015	0.01175	0.026	0.00475	0.05925	0.0055	0.017	0.04375	0.023	0.007	0.04	0.02425	0.03425	0.01	0.01075	0.02975	0.0065	0.03275	0.00275	0.055	0.003	0.02175	0.00775	0.006	0.0425	0.0905	0.0055	0.016	0.0115	0.007	0.02125	0.00675	0.0135	0.004	0.01	0.046	0.021	0.123	0.00375	0.0095	0.026	0.004	0.016125	0.02275	0.005	0.002	0.0045
