"","wolverine_1","hamlet_11","joans_11","ginger_14","kubo_14","wolverine_14","kubo_15","ivy_17","kubo_17","wolverine_17","ginger_18","hamlet_18","ivy_18","kubo_18","wolverine_18","ivy_19","ophelia_19","wolverine_19","ginger_2","ginger_20","hamlet_20","korra_20","ophelia_20","hamlet_21","joans_21","korra_21","kubo_21","hamlet_22","henry_22","joans_22","kubo_22","marshmallow_22","hamlet_23","korra_23","ginger_24","henry_24","ivy_24","kubo_24","marshmallow_24","ophelia_24","wolverine_24","henry_25","kubo_25","ginger_29","henry_29","joans_29","korra_29","kubo_30","hamlet_31","ginger_36","henry_36","kubo_37","ophelia_37","wolverine_37","hamlet_41","joans_41","marshmallow_41","ginger_42","henry_42","ivy_42","ophelia_43","ginger_44","ivy_44","joans_44","marshmallow_44","hamlet_45","henry_45","ivy_45","joans_45","korra_45","marshmallow_45","ophelia_45","charles_46","hamlet_46","ivy_46","joans_46","marshmallow_46","ginger_47","ivy_47","marshmallow_47","charles_48","hamlet_48","ivy_48","joans_48","korra_48","kubo_48","marshmallow_48","ophelia_48","wolverine_48","charles_49","ginger_49","henry_49","ivy_49","joans_49","kubo_49","marshmallow_49","ophelia_49","wolverine_49","charles_50","ginger_50","ivy_50","joans_50","korra_50","kubo_50","ophelia_50","wolverine_50","charles_51","joans_51","charles_52","ginger_52","kubo_52","marshmallow_52","kubo_53","marshmallow_53","charles_55","ginger_55","ivy_55","ophelia_55","joans_56","joans_57","ophelia_57","wolverine_57","ginger_58","wolverine_58","hamlet_59","henry_59","ophelia_59","korra_6","joans_60","marshmallow_60","wolverine_60","joans_62","henry_66","hamlet_67","ivy_67","ginger_7","charles_9","henry_9","ivy_9","korra_9"
"wolverine_1",0,0.261280626967815,0.243862218027367,0.122281971678203,0.39828182034703,0.121541552437265,0.136176694251485,0.304911722278274,0.12548405195522,0.109062199226411,0.149576080532715,0.123597707847276,0.301673414655439,0.0922170685135496,0.0719356133991007,0.152739642638879,0.169798221213202,0.170489654323659,0.540287425120373,0.192999769624315,0.27961183870031,0.288046996921331,0.294449256022879,0.119208565115522,0.202677627049153,0.21669310313899,0.129436336619023,0.479329757444045,0.230658953971954,0.174066140821205,0.181783811001202,0.20468665746868,0.135418329534993,0.261304582153154,0.218624364848862,0.199244828993085,0.131413325024807,0.184880246466134,0.416811904711065,0.204668459463004,0.117525313328845,0.308793465117776,0.347516213515793,0.11535721769752,0.203605001190877,0.224172844301531,0.333073583000132,0.355236888831654,0.106966749545208,0.205713120427048,0.147996478414983,0.0720867893221294,0.429269649173927,0.0676894300156581,0.158209823241621,0.247298643801482,0.570321041836314,0.337173640728356,0.14712063230515,0.372992203857258,0.164076341062308,0.141640334127561,0.146728902384298,0.295526838459951,0.300356555597051,0.359790764159785,0.16820352660468,0.275192282704592,0.347249944678802,0.348766494075981,0.477357340649025,0.163178135303539,0.30286846660984,0.258468566209681,0.145198695245588,0.256066766535231,0.361895392134519,0.191489524641249,0.180682841952647,0.396654321841561,0.207870430216816,0.232845172938031,0.19167915949115,0.20067338552156,0.228796606121875,0.207100811326713,0.288710297168317,0.298703924626421,0.204527112848145,0.457148484302705,0.18599218122655,0.118077926262235,0.0982810296554856,0.280530269534994,0.157576938403165,0.312318197047887,0.323589040407279,0.138560663426255,0.179921169701029,0.142261060442845,0.105552143851598,0.346458755882464,0.221645915071827,0.148802669196198,0.525277866140999,0.208031132470181,0.207511464112452,0.392258190127349,0.287449562698006,0.122241228424055,0.341600172745657,0.267090497536516,0.136451287591764,0.558427925361147,0.243824154878967,0.114064991067448,0.239657424778515,0.24168216373868,0.154055087590837,0.42960072135573,0.307629352106143,0.309087852752482,0.134138639715574,0.172069911780126,0.19574728055965,0.175825966812246,0.360232323380703,0.220679558823737,0.151758996189839,0.375912711980605,0.0977855137871465,0.175415836546608,0.348497506604162,0.514971118049805,0.172338832208422,0.44591991179521,0.336819276184312,0.354917863171191,0.334544154205632,0.290291823797919
"hamlet_11",0.261280626967815,0,0.29388301078883,0.312884180878604,0.394017406986068,0.266029716439724,0.286682269919744,0.346669750971232,0.303939165346511,0.273151210896084,0.292647190097793,0.263665637997965,0.28798313665161,0.268704937028039,0.296540129486054,0.256798688698768,0.277713765975915,0.273048177440718,0.530743346328107,0.305907263510552,0.295313332572784,0.327247816078855,0.295854915707181,0.264290656331218,0.312301473457671,0.307096305780963,0.276710452338372,0.475138906449031,0.313627359645322,0.243152097609773,0.302292916184287,0.323562673778638,0.232930088314017,0.339614287740309,0.330614440576331,0.299584510932505,0.241150013198072,0.295167546869749,0.432551436122745,0.269329610541154,0.302294002562081,0.318266999536874,0.351594182059912,0.30452218655833,0.282015483353576,0.326444440245246,0.380952327893823,0.389555617316789,0.257133014737229,0.301099725129838,0.273173921798502,0.248806933042629,0.422345228204602,0.287031526772969,0.266089361059501,0.379110693148313,0.54989689907135,0.348554338359493,0.279208882677295,0.376160766448363,0.262874635432953,0.295826577240178,0.325984272529802,0.334965479556477,0.352989922735616,0.357430997515337,0.329269299594847,0.3081307841761,0.361025206608022,0.363275227108082,0.484182644769895,0.250274367611058,0.340350928363426,0.305582754128738,0.334554721691602,0.325999087020398,0.386494095256089,0.369766699755092,0.268835625121393,0.420301327075058,0.27577373757236,0.300155820780238,0.293806203592293,0.311584661234384,0.31231356849836,0.289841229800624,0.383188521406504,0.312143486863528,0.279599804139117,0.448213206856473,0.366165852505965,0.284306699029441,0.265118809840313,0.3533528752435,0.288880837140213,0.369380701523859,0.328276164092988,0.266275183606909,0.324341426271993,0.338617289694982,0.297547112101936,0.365127466671815,0.333951088288775,0.295809824770112,0.512465078092277,0.355535656927149,0.312618574353422,0.399968799242311,0.344697619581421,0.292398947506286,0.356495065502285,0.316906272544804,0.282741764127558,0.547771683910102,0.336976830617671,0.310799814940457,0.325756366871887,0.271601481776682,0.301092090710814,0.436798628556525,0.316124401099964,0.337147429728224,0.305582421435105,0.34393937787983,0.261867910297451,0.30498442877649,0.369828364691186,0.282746205471815,0.329425723406203,0.401155976894048,0.288011676553967,0.318030493336323,0.355291153207932,0.487719902707754,0.293006701619666,0.457551952796308,0.35271504391472,0.288004966435769,0.346152918582839,0.332726132612487
"joans_11",0.243862218027367,0.29388301078883,0,0.282217594276555,0.291240830843404,0.252354031700169,0.21936721438765,0.20010143919881,0.212587917806359,0.247305532114778,0.174019274975162,0.240857502946738,0.306214023259758,0.206260370641373,0.278525349468393,0.223810047530835,0.245955807844373,0.226961114062388,0.372620405223585,0.218252321948544,0.163205872284262,0.158184221998874,0.18257351676509,0.178211323474235,0.107203414554669,0.130792201431494,0.178641088340145,0.357956102985951,0.170755104715716,0.155293588328597,0.116544570067703,0.096852557483497,0.231677165706749,0.151771613007365,0.225738925806561,0.140730731264639,0.261477785641332,0.143626008661139,0.290679983938299,0.256843085831715,0.283857489264126,0.155416979302276,0.202795441458727,0.231009536513716,0.148216372414813,0.118335670272232,0.207786034161338,0.222527169476078,0.1966401897188,0.163020882767262,0.220269828741876,0.218451878415171,0.317008799074244,0.267841230615621,0.217032094046713,0.206948715431904,0.496212641593455,0.177230121402587,0.199265789652881,0.379708699525337,0.182769041293118,0.239672461875323,0.224110884389809,0.115751336934613,0.155784256818114,0.351267317655433,0.265613293919683,0.217539705870443,0.186464257925372,0.242220728494589,0.329211518431945,0.159484620160689,0.148283218995029,0.260499838817167,0.307941049132693,0.127205997712291,0.208444407844698,0.264755131070672,0.226285160393347,0.227661466516282,0.184198881936094,0.277478492263969,0.251791733345544,0.167753746557734,0.139561591508565,0.221953838790972,0.154934504393416,0.295653838879293,0.120017078832706,0.329014280636829,0.304243064441228,0.229926286563337,0.200966934850317,0.178851361668798,0.201720884470295,0.171631303550894,0.300208787013233,0.163556248651513,0.207311567214184,0.276318743126484,0.234785732302227,0.250040943358083,0.211690426321694,0.220293849370156,0.404753178592941,0.177380413713034,0.189872595181214,0.291834574582619,0.256098443566811,0.218437665199559,0.170924885848914,0.103239783771864,0.225842743990116,0.408209326377908,0.255212687493107,0.250220649052013,0.287971684306735,0.150681174415935,0.142709409332127,0.255827216759161,0.309038209456937,0.206511792480327,0.230767250873721,0.2075315502378,0.213434214837401,0.218398109173198,0.228402183283405,0.139939202257096,0.175578440553413,0.200962503708481,0.19850073620211,0.182218780769759,0.320778733218358,0.480891429338036,0.181294179697483,0.296746079791914,0.223961321039918,0.199967010401381,0.166846125733456,0.248695355410032
"ginger_14",0.122281971678203,0.312884180878604,0.282217594276555,0,0.417016432359478,0.187841176399373,0.161510287064185,0.355363308344776,0.165037425667065,0.13969541676778,0.204622545937485,0.199105002414237,0.38129084880505,0.168227416208108,0.111547221440931,0.246043142482436,0.243505639589864,0.234975190060836,0.541767166950584,0.250020467735912,0.355214805868077,0.333021092003646,0.367976869437842,0.199167927788014,0.237686301668904,0.275985974475189,0.211237017743762,0.490221509951628,0.28958443824808,0.240220623537175,0.23375314361478,0.252960578116795,0.208308386340915,0.287701689335219,0.266734648875258,0.255193272351874,0.222329100183658,0.227312068480215,0.438897502662675,0.289452014543654,0.0937717308112435,0.354567640744132,0.407501594161178,0.130835315660982,0.260753776451454,0.237895505916773,0.33648514316886,0.384689221250586,0.172455421056003,0.259766134244258,0.205581223246318,0.118926486461493,0.474088760020726,0.118562194756696,0.225293136569414,0.249355513874746,0.600177673175562,0.386308960162139,0.19830732324481,0.435584353817954,0.244959566592008,0.16217858552,0.186192645018189,0.338142137448114,0.321251989129279,0.424883081540645,0.152744936989695,0.347023643036277,0.391237908960095,0.389485436161643,0.479970493421274,0.233261723435656,0.347628508052069,0.329897403415675,0.13459290256129,0.302609703680698,0.365471482820232,0.157358325020065,0.251684334214,0.394541649124934,0.284919761009529,0.309202894605707,0.266414288648257,0.250901247389855,0.285359250815491,0.268095389621416,0.299249616550386,0.380231209758962,0.269324852566856,0.465494477424282,0.139885626598905,0.15036114339591,0.173105007492392,0.333483764509228,0.226456986444351,0.324475105965147,0.397235375370899,0.210748037767902,0.204928510100068,0.117113465559696,0.129207366464259,0.39499317205753,0.269218082924991,0.219114902713666,0.535763999432714,0.222295763425434,0.268921078714485,0.445337927554186,0.3379673017637,0.150420747915543,0.387180942121317,0.325401240633098,0.218684804457063,0.565054666733109,0.318648638296894,0.124697877625225,0.321883745091467,0.323315768216726,0.20109727161191,0.428311533042646,0.378889655091554,0.323667048506583,0.150966356103159,0.180783290998968,0.278861426140576,0.212169145082691,0.427207667380141,0.292409059119864,0.170479538852261,0.399780790744192,0.161709716374053,0.204390105331603,0.400649220291931,0.567522178730961,0.212145271111576,0.436633893158924,0.34596606359719,0.396674050687851,0.381383156544019,0.34649554155873
"kubo_14",0.39828182034703,0.394017406986068,0.291240830843404,0.417016432359478,0,0.439843148841764,0.304840808589241,0.37367604586323,0.377759177785309,0.442099362208469,0.400581263420881,0.424340081169253,0.376081677854272,0.407072169250922,0.43068555577083,0.375692166513948,0.423376331841958,0.424800647303659,0.160809102156511,0.420413083529425,0.22779077211625,0.26446529411515,0.176910233960869,0.350751696695662,0.322082736528784,0.280771601044053,0.354909326923426,0.109848761490799,0.353302289427876,0.319823412789498,0.298350689221506,0.315923676009042,0.390821661866203,0.19601193484014,0.44612146893217,0.338566168132286,0.398571405614643,0.322290122797418,0.20389350135897,0.432287992907736,0.433459644202356,0.234352193904842,0.197794951270513,0.437105165647059,0.353384852927091,0.287727618998592,0.135962130761171,0.20817013380766,0.396485840125115,0.386906168280461,0.402485139184233,0.382137100434363,0.0878066807898394,0.413349351577387,0.38351901444785,0.328313727118357,0.570029925969721,0.239137024897746,0.415258032818593,0.433287696110426,0.332978374031966,0.438163452877395,0.415986592874016,0.338654677359096,0.232527795089481,0.430803830793748,0.438350809394948,0.331591603881337,0.361643832041629,0.389902808737273,0.253504708313443,0.332930283575736,0.368160372187135,0.422981197288294,0.441566091066607,0.361590618948897,0.209003406468563,0.398081402390907,0.385390108830629,0.139039124856271,0.340430072569835,0.441508194627388,0.431838839127202,0.371084893001845,0.334280164382098,0.411708953660094,0.249736172337282,0.403999401881108,0.290220841059715,0.140789623299114,0.457191842885304,0.420964197617027,0.392942884627529,0.390821872173088,0.423327810304658,0.241409372005497,0.404788584903881,0.36371887832279,0.361765959723626,0.4361253107461,0.426863567430595,0.408265647251473,0.433413234010916,0.419176647332992,0.15269590207074,0.243950239535371,0.39711381839314,0.414324861722756,0.441577997302763,0.439426427372612,0.235499125242337,0.274809366616439,0.41269962064089,0.31016055330384,0.437436815161484,0.442654350548624,0.440135646930134,0.225392829078278,0.393819271616955,0.13183887415404,0.42135016644435,0.12936914867617,0.443985431760989,0.297631671044056,0.380103868731197,0.423178766931851,0.224632312302292,0.309451149571509,0.351577453610913,0.11416272173079,0.350793731941086,0.421832522539759,0.425377206532407,0.521686056087185,0.273456070147618,0.0923597139378706,0.140522524568996,0.195493351227272,0.242746745973164,0.436552194402861
"wolverine_14",0.121541552437265,0.266029716439724,0.252354031700169,0.187841176399373,0.439843148841764,0,0.165348256945547,0.31629477210533,0.135449438799797,0.15949374278451,0.190622927265349,0.156002188391565,0.321944591275851,0.12907318801344,0.141235372456945,0.170801254960951,0.190010475571155,0.163760565831106,0.578159428775984,0.212576859087889,0.298385171610187,0.273667965665016,0.306632258521453,0.155633089097925,0.236896983984714,0.230820515158051,0.148045461951018,0.513102847424298,0.249325054110408,0.184791665954835,0.207470538797827,0.238434429026876,0.169208816853945,0.293632761571107,0.234725990218994,0.216949664136996,0.140835203256366,0.185714052567639,0.452103753858273,0.183950702079698,0.176955282425876,0.325933805247371,0.358120011672891,0.160396631742451,0.220614883886769,0.248342441819968,0.35911431997,0.38793948530209,0.130845702206514,0.21391433891228,0.160296298543135,0.137051981651464,0.459197185074605,0.129459305633254,0.138381865912549,0.260294265307376,0.585296933902692,0.35516378917326,0.171267717109262,0.386912030073629,0.15400609520862,0.17123599249517,0.176370142656384,0.302049126887316,0.329698929466594,0.377803490193861,0.209686349101786,0.299524430209322,0.36032462395054,0.368430577883465,0.510739646444004,0.151023386487544,0.305523644938672,0.283585246219042,0.207803253732752,0.266738611259907,0.398119741800275,0.255076129354479,0.210547705836074,0.428834729246165,0.20284573116209,0.212931814327088,0.191398614819301,0.211175992222276,0.240222812304525,0.220438343656096,0.319877433450691,0.3073903038892,0.222683176723115,0.485924298081428,0.235037202796298,0.151466043407267,0.149306507713019,0.295365376124463,0.180839070769873,0.348183615172313,0.324446191802426,0.15178438253208,0.23468400797625,0.192396931462765,0.147588015524653,0.360831829869485,0.239209646201019,0.172832062844257,0.558056737804301,0.266561914685454,0.223473698668811,0.405433794786801,0.286109485870867,0.152916675439628,0.350135509685868,0.286838002646304,0.141386199715479,0.595127861552344,0.262884559705915,0.161695785715565,0.244992581649778,0.249049593756798,0.182677819509766,0.460564511458011,0.324516092481357,0.342689809863017,0.165388969718626,0.235580783872302,0.196643887143066,0.212250267104077,0.373402605645459,0.224069967833721,0.21194988456071,0.402437332996271,0.170383172771148,0.207569372764372,0.377734815867792,0.532529948539616,0.226972301649308,0.474650820198234,0.362097688567783,0.379834005013875,0.345080316963778,0.295018515901482
"kubo_15",0.136176694251485,0.286682269919744,0.21936721438765,0.161510287064185,0.304840808589241,0.165348256945547,0,0.282095404872726,0.093583268297089,0.207043190052351,0.213358074699629,0.20811741854837,0.329437624861802,0.168913157842085,0.162521752542562,0.189425479404483,0.233711307527586,0.223385830226542,0.467768161438548,0.259097375717839,0.249378527831177,0.243707133070405,0.260474140604849,0.124485619416622,0.204530757463302,0.195432592248746,0.1267615549063,0.406659924104749,0.220263440304231,0.136663025546268,0.152656456473606,0.207536626947952,0.186869253578204,0.213485224956989,0.284963495900968,0.184478781261465,0.187347531309519,0.138618808929075,0.380506178441628,0.239572924085341,0.190388274296501,0.285830293541166,0.339867557301256,0.206062092499209,0.191771687803617,0.186118382290866,0.248965334494078,0.309634785391466,0.153046252433188,0.214775370562903,0.195667777433265,0.137485244762045,0.379621950735747,0.146819342903765,0.156037772629356,0.171943190674227,0.599507677324018,0.318610406538541,0.214194855705297,0.420895768387644,0.120939651936261,0.232067303850249,0.194419242092763,0.293334902858722,0.272883612151229,0.408499274347787,0.233346452515626,0.278700185801164,0.346302683371854,0.339083407331704,0.435215886425868,0.118787150531275,0.296857082755845,0.316654561538498,0.198903152633434,0.258635511021529,0.326488877831718,0.180087537450819,0.220483031388167,0.323628757415223,0.175106971570038,0.281163314189603,0.247101755526609,0.207567041622026,0.203641427865301,0.258772761608279,0.217167893150896,0.329993640441109,0.192739570886315,0.38010260602873,0.231984303695398,0.206977305695397,0.156923203188551,0.29015505654015,0.229218452580952,0.2651653434115,0.334703673473777,0.155223348771944,0.180169725356861,0.196166520987603,0.194252966531387,0.358469383568759,0.2735141243706,0.226135260430661,0.451782668895067,0.150029021087389,0.239605824926099,0.400905379311768,0.322415616373607,0.214703052010709,0.308989958164505,0.250305854237226,0.200230242759922,0.516074467142075,0.308038430088577,0.205487956433482,0.301462500831923,0.209584787047051,0.190276889010385,0.353337648230464,0.348173072309741,0.235650858683415,0.223900185453445,0.119118476697105,0.205707691752766,0.24987748683797,0.336686686705316,0.212715467853303,0.13719202101572,0.324596020289382,0.125685302759911,0.23503649671208,0.399293665590606,0.546602241293981,0.114516799692437,0.378012972644066,0.251325760506688,0.318883084488254,0.315097142994061,0.331963565145235
"ivy_17",0.304911722278274,0.346669750971232,0.20010143919881,0.355363308344776,0.37367604586323,0.31629477210533,0.282095404872726,0,0.28293205105269,0.301589592415761,0.243613741625085,0.265613140192522,0.199178032777588,0.26024221586439,0.326684844050333,0.244163074092099,0.224249162669486,0.191756346904381,0.485258399148875,0.20087097142114,0.22342644772093,0.206346847551428,0.249973016660253,0.239670055757478,0.278859576723843,0.184473574270629,0.239531557090292,0.434215373957113,0.137650594282752,0.19215389804056,0.27388476684336,0.253562868007913,0.254819082863639,0.236245279770321,0.146051255458113,0.160972165391261,0.291942789020953,0.199185718751005,0.40824065897086,0.213986956377322,0.359019241376713,0.195554985622644,0.321271834014043,0.289008541096558,0.157591717762464,0.301140830565207,0.340011056696163,0.353498154903488,0.240291528155067,0.156373187765835,0.229419348634348,0.295497736455328,0.391615515438049,0.319464051389425,0.276420675787305,0.263895166249128,0.368645503654598,0.172869577190861,0.221843306779563,0.276730947023386,0.242931190679353,0.31339719503726,0.262403282675853,0.149016278461745,0.283925058702031,0.248452812848589,0.342155918277506,0.146238137140327,0.110229945623112,0.101205974236327,0.452258565258894,0.222154331437965,0.116830338716371,0.157151056396315,0.374790877861149,0.147657193625599,0.338244680009055,0.342329028604496,0.226655221404238,0.338651640019028,0.19475380788973,0.190681518491102,0.20545643139633,0.20128130641995,0.143821071736964,0.162934615425822,0.277718496607282,0.182510274994927,0.194919690970443,0.421283877096051,0.383455984986038,0.300763652751662,0.263971640244443,0.105762736425055,0.190723598824194,0.297499328104374,0.178061813507473,0.205029704469811,0.274210961157867,0.344020568856218,0.280124208669185,0.124258677659172,0.152254780718459,0.213630116157665,0.47553760264423,0.309836849632375,0.167083963147813,0.165540825232138,0.12974053250581,0.266824918850378,0.159154415860376,0.169238752597537,0.243784030454986,0.532054296303327,0.22813796773266,0.303328018434581,0.182842629431487,0.229653136136309,0.2139282190923,0.376081934559646,0.199839163273976,0.311063621826141,0.280695451868714,0.307986094934449,0.182502599156586,0.24021701465775,0.209036565924966,0.244258707830388,0.262454625176805,0.305144233653756,0.270600912619649,0.22879275414455,0.201080445552771,0.387509408212966,0.260795633581343,0.375926961333526,0.337668393256305,0.270964812910568,0.202809178898384,0.121610537641986
"kubo_17",0.12548405195522,0.303939165346511,0.212587917806359,0.165037425667065,0.377759177785309,0.135449438799797,0.093583268297089,0.28293205105269,0,0.170583596641275,0.192006443508552,0.175847299413214,0.345099848793578,0.128548033013273,0.128891122573316,0.188154773343588,0.211591339031871,0.218203260275047,0.501833012549276,0.244261139673308,0.275236489697081,0.235167512742034,0.281498581340893,0.119113925083372,0.211501710446099,0.191363075325128,0.10376006165613,0.44437409476187,0.214888022169027,0.165503150214731,0.142085156511966,0.189360102682157,0.190194745316966,0.214247278029628,0.262320014816854,0.185556916854247,0.180502626071896,0.131230033975723,0.404806364199575,0.219279935429996,0.160367440189161,0.292847969359215,0.339506220825786,0.167049767372513,0.193493435920001,0.210289803719786,0.288914383920424,0.334198918722824,0.122149806864494,0.185492374100146,0.17456227316066,0.154655842661534,0.404872397836536,0.132549908592899,0.124060826998157,0.186587802959031,0.581730490969551,0.321759929483142,0.184006382443987,0.423052460007502,0.128881999238139,0.184518365840384,0.145693664924368,0.288774214672491,0.265686866636082,0.402718092556033,0.18981964764408,0.278408446251865,0.343459625604251,0.315770762046084,0.446723085778129,0.134777773568898,0.297884282198676,0.28721311827424,0.184820953571269,0.250381290102132,0.326389985044485,0.16695811602569,0.219859540276674,0.3454368948511,0.203825281626367,0.239095967904016,0.219227901913009,0.185643640550828,0.201871609776455,0.259639951323227,0.239755910077015,0.319762168846269,0.191903663794476,0.421859630177327,0.212781233061724,0.166719253420476,0.147529159164426,0.276150118407618,0.202700562883008,0.262086988778677,0.316934652574278,0.135202174258893,0.16852711376335,0.178022232799195,0.150573378390025,0.344777131976123,0.241028193174921,0.190370097721668,0.493107912159229,0.183095201022769,0.216364730042756,0.394236440917804,0.3117236256599,0.172784618119605,0.317755179028769,0.242455730126148,0.172199863443858,0.535646531890185,0.29182913742765,0.16128025631794,0.268400359094725,0.235158321273345,0.166182142702678,0.382440361536498,0.331607686903407,0.275024807635413,0.184885421885181,0.16063000168984,0.193186480173701,0.226983504248504,0.349775643148829,0.219846491750462,0.138989923353847,0.336239477161058,0.119326245439871,0.207687013600858,0.394319624015148,0.532083151176944,0.16311336785719,0.4041883750128,0.307012258724927,0.359834524813247,0.316319986574122,0.280292974898992
"wolverine_17",0.109062199226411,0.273151210896084,0.247305532114778,0.13969541676778,0.442099362208469,0.15949374278451,0.207043190052351,0.301589592415761,0.170583596641275,0,0.162988042757668,0.124338348563172,0.301432583722405,0.105367827352491,0.0971564057031998,0.184656267078616,0.156835200668169,0.158627897547575,0.561606817645092,0.188471368748607,0.26618842352135,0.305317540615533,0.302555118322702,0.165015001900566,0.235913191387913,0.243406684190352,0.169269756647919,0.500657674280064,0.225459037313027,0.173409845554035,0.221557019876993,0.247283657765464,0.14348967800323,0.301977542336976,0.201686014057424,0.197897696936252,0.193669741418821,0.21582613654836,0.454321712634933,0.194272053068308,0.0895616660866084,0.293388648591835,0.359738257252911,0.144770937675301,0.204973318845064,0.273914602768323,0.355477449864846,0.402394747028045,0.110450741491403,0.21106498151763,0.162149299759683,0.119828118863788,0.453896535529434,0.137801251708153,0.212171346397226,0.310763911110872,0.542854284393223,0.319751961918523,0.151370578485869,0.357399030820744,0.224376823204894,0.130424185778746,0.202312504425231,0.286025547010872,0.330939215235792,0.345949115644902,0.173820125860936,0.25587648483624,0.336691141236118,0.327270808226931,0.499138573213344,0.188346840210402,0.291742255671273,0.254528810222923,0.175093411446996,0.249013932738221,0.385040869810938,0.202079148219679,0.171492255824651,0.427213704384872,0.219210900854819,0.219223773903582,0.186219324611035,0.226038648315874,0.225448319057227,0.205232826658546,0.329667630846184,0.297815245767807,0.191366843701924,0.479267578014826,0.189962859400444,0.122782856769211,0.0952581374370527,0.270405543945847,0.158112500085191,0.350986168167938,0.316415112544347,0.153696974726988,0.203052347099761,0.162818621715139,0.136938463103826,0.337294315929094,0.210702522678407,0.157202494602823,0.541904761180657,0.242568338854739,0.218634706137409,0.376166657242275,0.298410688183301,0.141321383998987,0.334349220817736,0.264069918999,0.165844602254277,0.572671168323466,0.242041734663687,0.141086064206884,0.230006652790258,0.283843058163218,0.150890967706825,0.449439638816529,0.295892646202901,0.342178549445178,0.158069563412676,0.196637253238821,0.213855924592832,0.157399976023463,0.345118544375808,0.258039885114187,0.196025423270609,0.406672317048937,0.155322906545288,0.157564731570187,0.348688309480469,0.483868940721226,0.240772086572071,0.462145790181298,0.377969570330277,0.356531403145486,0.31450520104456,0.281158384267652
