"ID"	"Subject"	"Date"	"Bristol"	"Study_Day"	"Subject_Code"	"Sex"	"Housing"	"Group"	"Age"	"Contraception"	"Origin"	"Previous_Exp"	"Diet_Trial"	"Group_Phase"	"Room"	"Cage"	"Subj_DOB"
"Buddy_11"	"Buddy"	2023-03-20	3	"11"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"baseline"	"run-in"	"RoomF"	"F5"	2016-10-17
"Joans_11"	"Joans"	2023-03-20	2	"11"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"baseline"	"run-in"	"RoomF"	"F5"	2017-03-23
"Padme_11"	"Padme"	2023-03-20	1	"11"	"PAD"	"Female"	"Pair"	"Group2"	4.657534247	"Estrumate"	"Texas"	""	"baseline"	"run-in"	"RoomF"	"F3"	2018-08-02
"Ginger_14"	"Ginger"	2023-03-23	1	"14"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"baseline"	"run-in"	"RoomF"	"F6"	2017-01-27
"Buddy_16"	"Buddy"	2023-03-25	4	"16"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"intervention_1"	"control"	"RoomF"	"F5"	2016-10-17
"Buddy_17"	"Buddy"	2023-03-26	2	"17"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"intervention_1"	"control"	"RoomF"	"F5"	2016-10-17
"Ivy_17"	"Ivy"	2023-03-26	2	"17"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F2"	2018-12-27
"Padme_17"	"Padme"	2023-03-26	5	"17"	"PAD"	"Female"	"Pair"	"Group2"	4.657534247	"Estrumate"	"Texas"	""	"intervention_1"	"control"	"RoomF"	"F3"	2018-08-02
"Buddy_18"	"Buddy"	2023-03-27	2	"18"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"intervention_1"	"control"	"RoomF"	"F5"	2016-10-17
"Ginger_18"	"Ginger"	2023-03-27	2	"18"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"intervention_1"	"control"	"RoomF"	"F6"	2017-01-27
"Ivy_18"	"Ivy"	2023-03-27	4	"18"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F2"	2018-12-27
"Franc_19"	"Franc"	2023-03-28	2	"19"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_1"	"control"	"RoomF"	"F2"	2016-11-06
"Ivy_19"	"Ivy"	2023-03-28	4	"19"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F2"	2018-12-27
"Ginger_2"	"Ginger"	2023-03-11	3	"2"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"baseline"	"run-in"	"RoomF"	"F6"	2017-01-27
"Ginger_20"	"Ginger"	2023-03-29	2	"20"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"intervention_1"	"control"	"RoomF"	"F6"	2017-01-27
"Buddy_21"	"Buddy"	2023-03-30	3	"21"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"intervention_1"	"control"	"RoomF"	"F5"	2016-10-17
"Joans_21"	"Joans"	2023-03-30	3	"21"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F5"	2017-03-23
"Franc_22"	"Franc"	2023-03-31	3	"22"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_1"	"control"	"RoomF"	"F2"	2016-11-06
"Grogu_22"	"Grogu"	2023-03-31	2	"22"	"GRO"	"Male"	"Pair"	"Group2"	4.583561644	""	"Texas"	""	"intervention_1"	"control"	"RoomF"	"F4"	2018-08-10
"Henry_22"	"Henry"	2023-03-31	2	"22"	"HEN"	"Male"	"Pair"	"Group2"	4.208219178	""	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F6"	2018-12-25
"Joans_22"	"Joans"	2023-03-31	1	"22"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F5"	2017-03-23
"Marshmallow_22"	"Marshmallow"	2023-03-31	2	"22"	"MAR"	"Female"	"Pair"	"Group2"	4.101369863	"Estrumate"	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F4"	2019-02-02
"Franc_24"	"Franc"	2023-04-02	2	"24"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_1"	"control"	"RoomF"	"F2"	2016-11-06
"Ivy_24"	"Ivy"	2023-04-02	2	"24"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F2"	2018-12-27
"Marshmallow_24"	"Marshmallow"	2023-04-02	2	"24"	"MAR"	"Female"	"Pair"	"Group2"	4.101369863	"Estrumate"	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F4"	2019-02-02
"Henry_25"	"Henry"	2023-04-03	2	"25"	"HEN"	"Male"	"Pair"	"Group2"	4.208219178	""	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F6"	2018-12-25
"Ginger_29"	"Ginger"	2023-04-07	2	"29"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"washout_1"	"control-washout"	"RoomF"	"F6"	2017-01-27
"Henry_29"	"Henry"	2023-04-07	3	"29"	"HEN"	"Male"	"Pair"	"Group2"	4.208219178	""	"Nebraska"	""	"washout_1"	"control-washout"	"RoomF"	"F6"	2018-12-25
"Joans_29"	"Joans"	2023-04-07	3	"29"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"washout_1"	"control-washout"	"RoomF"	"F5"	2017-03-23
"Ginger_36"	"Ginger"	2023-04-14	2	"36"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"washout_1"	"control-washout"	"RoomF"	"F6"	2017-01-27
"Grogu_36"	"Grogu"	2023-04-14	2	"36"	"GRO"	"Male"	"Pair"	"Group2"	4.583561644	""	"Texas"	""	"washout_1"	"control-washout"	"RoomF"	"F4"	2018-08-10
"Henry_36"	"Henry"	2023-04-14	2	"36"	"HEN"	"Male"	"Pair"	"Group2"	4.208219178	""	"Nebraska"	""	"washout_1"	"control-washout"	"RoomF"	"F6"	2018-12-25
"Franc_37"	"Franc"	2023-04-15	2	"37"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"washout_1"	"control-washout"	"RoomF"	"F2"	2016-11-06
"Grogu_37"	"Grogu"	2023-04-15	3	"37"	"GRO"	"Male"	"Pair"	"Group2"	4.583561644	""	"Texas"	""	"washout_1"	"control-washout"	"RoomF"	"F4"	2018-08-10
"Grogu_41"	"Grogu"	2023-04-19	2	"41"	"GRO"	"Male"	"Pair"	"Group2"	4.583561644	""	"Texas"	""	"washout_1"	"control-washout"	"RoomF"	"F4"	2018-08-10
"Joans_41"	"Joans"	2023-04-19	2	"41"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"washout_1"	"control-washout"	"RoomF"	"F5"	2017-03-23
"Marshmallow_41"	"Marshmallow"	2023-04-19	3	"41"	"MAR"	"Female"	"Pair"	"Group2"	4.101369863	"Estrumate"	"Nebraska"	""	"washout_1"	"control-washout"	"RoomF"	"F4"	2019-02-02
"Ginger_42"	"Ginger"	2023-04-20	2	"42"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"washout_1"	"control-washout"	"RoomF"	"F6"	2017-01-27
"Grogu_42"	"Grogu"	2023-04-20	2	"42"	"GRO"	"Male"	"Pair"	"Group2"	4.583561644	""	"Texas"	""	"washout_1"	"control-washout"	"RoomF"	"F4"	2018-08-10
"Henry_42"	"Henry"	2023-04-20	2	"42"	"HEN"	"Male"	"Pair"	"Group2"	4.208219178	""	"Nebraska"	""	"washout_1"	"control-washout"	"RoomF"	"F6"	2018-12-25
"Ivy_42"	"Ivy"	2023-04-20	4	"42"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"washout_1"	"control-washout"	"RoomF"	"F2"	2018-12-27
"Buddy_44"	"Buddy"	2023-04-22	3	"44"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2016-10-17
"Franc_44"	"Franc"	2023-04-22	3	"44"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F2"	2016-11-06
"Ginger_44"	"Ginger"	2023-04-22	3	"44"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F6"	2017-01-27
"Ivy_44"	"Ivy"	2023-04-22	3	"44"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F2"	2018-12-27
"Joans_44"	"Joans"	2023-04-22	2	"44"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2017-03-23
"Marshmallow_44"	"Marshmallow"	2023-04-22	3	"44"	"MAR"	"Female"	"Pair"	"Group2"	4.101369863	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2019-02-02
"Buddy_45"	"Buddy"	2023-04-23	3	"45"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2016-10-17
"Franc_45"	"Franc"	2023-04-23	3	"45"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F2"	2016-11-06
"Grogu_45"	"Grogu"	2023-04-23	3	"45"	"GRO"	"Male"	"Pair"	"Group2"	4.583561644	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2018-08-10
"Ivy_45"	"Ivy"	2023-04-23	3	"45"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F2"	2018-12-27
"Joans_45"	"Joans"	2023-04-23	3	"45"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2017-03-23
"Marshmallow_45"	"Marshmallow"	2023-04-23	3	"45"	"MAR"	"Female"	"Pair"	"Group2"	4.101369863	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2019-02-02
"Buddy_46"	"Buddy"	2023-04-24	3	"46"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2016-10-17
"Charles_46"	"Charles"	2023-04-24	2	"46"	"CHA"	"Male"	"Pair"	"Group2"	4.230136986	""	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F3"	2018-12-17
"Ivy_46"	"Ivy"	2023-04-24	3	"46"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F2"	2018-12-27
"Joans_46"	"Joans"	2023-04-24	3	"46"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2017-03-23
"Franc_47"	"Franc"	2023-04-25	3	"47"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F2"	2016-11-06
"Ginger_47"	"Ginger"	2023-04-25	2	"47"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F6"	2017-01-27
"Marshmallow_47"	"Marshmallow"	2023-04-25	2	"47"	"MAR"	"Female"	"Pair"	"Group2"	4.101369863	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2019-02-02
"Buddy_48"	"Buddy"	2023-04-26	3	"48"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2016-10-17
"Charles_48"	"Charles"	2023-04-26	3	"48"	"CHA"	"Male"	"Pair"	"Group2"	4.230136986	""	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F3"	2018-12-17
"Franc_48"	"Franc"	2023-04-26	3	"48"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F2"	2016-11-06
"Grogu_48"	"Grogu"	2023-04-26	3	"48"	"GRO"	"Male"	"Pair"	"Group2"	4.583561644	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2018-08-10
"Ivy_48"	"Ivy"	2023-04-26	4	"48"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F2"	2018-12-27
"Joans_48"	"Joans"	2023-04-26	3	"48"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2017-03-23
"Marshmallow_48"	"Marshmallow"	2023-04-26	3	"48"	"MAR"	"Female"	"Pair"	"Group2"	4.101369863	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2019-02-02
"Charles_49"	"Charles"	2023-04-27	5	"49"	"CHA"	"Male"	"Pair"	"Group2"	4.230136986	""	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F3"	2018-12-17
"Franc_49"	"Franc"	2023-04-27	3	"49"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F2"	2016-11-06
"Ginger_49"	"Ginger"	2023-04-27	2	"49"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F6"	2017-01-27
"Henry_49"	"Henry"	2023-04-27	3	"49"	"HEN"	"Male"	"Pair"	"Group2"	4.208219178	""	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F6"	2018-12-25
"Ivy_49"	"Ivy"	2023-04-27	3	"49"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F2"	2018-12-27
"Padme_5"	"Padme"	2023-03-14	4	"5"	"PAD"	"Female"	"Pair"	"Group2"	4.657534247	"Estrumate"	"Texas"	""	"baseline"	"run-in"	"RoomF"	"F3"	2018-08-02
"Buddy_50"	"Buddy"	2023-04-28	2	"50"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2016-10-17
"Charles_50"	"Charles"	2023-04-28	3	"50"	"CHA"	"Male"	"Pair"	"Group2"	4.230136986	""	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F3"	2018-12-17
"Franc_50"	"Franc"	2023-04-28	3	"50"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F2"	2016-11-06
"Ginger_50"	"Ginger"	2023-04-28	3	"50"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F6"	2017-01-27
"Grogu_50"	"Grogu"	2023-04-28	3	"50"	"GRO"	"Male"	"Pair"	"Group2"	4.583561644	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2018-08-10
"Ivy_50"	"Ivy"	2023-04-28	3	"50"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F2"	2018-12-27
"Joans_50"	"Joans"	2023-04-28	3	"50"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2017-03-23
"Charles_51"	"Charles"	2023-04-29	3	"51"	"CHA"	"Male"	"Pair"	"Group2"	4.230136986	""	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F3"	2018-12-17
"Franc_51"	"Franc"	2023-04-29	3	"51"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F2"	2016-11-06
"Joans_51"	"Joans"	2023-04-29	3	"51"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2017-03-23
"Buddy_52"	"Buddy"	2023-04-30	4	"52"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2016-10-17
"Ginger_52"	"Ginger"	2023-04-30	2	"52"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F6"	2017-01-27
"Grogu_52"	"Grogu"	2023-04-30	3	"52"	"GRO"	"Male"	"Pair"	"Group2"	4.583561644	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2018-08-10
"Marshmallow_52"	"Marshmallow"	2023-04-30	3	"52"	"MAR"	"Female"	"Pair"	"Group2"	4.101369863	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2019-02-02
"Franc_53"	"Franc"	2023-05-01	3	"53"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F2"	2016-11-06
"Marshmallow_53"	"Marshmallow"	2023-05-01	3	"53"	"MAR"	"Female"	"Pair"	"Group2"	4.101369863	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2019-02-02
"Charles_55"	"Charles"	2023-05-03	3	"55"	"CHA"	"Male"	"Pair"	"Group2"	4.230136986	""	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F3"	2018-12-17
"Ginger_55"	"Ginger"	2023-05-03	3	"55"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F6"	2017-01-27
"Ivy_55"	"Ivy"	2023-05-03	4	"55"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F2"	2018-12-27
"Buddy_56"	"Buddy"	2023-05-04	3	"56"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2016-10-17
"Franc_56"	"Franc"	2023-05-04	2	"56"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F2"	2016-11-06
