"Taxa"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"lambchop_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"lambchop_18"	"franc_19"	"ivy_19"	"ginger_2"	"lambchop_2"	"ginger_20"	"goose_20"	"buddy_21"	"joans_21"	"franc_22"	"goose_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"goose_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"lambchop_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"goose_37"	"grogu_37"	"lambchop_37"	"goose_4"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"goose_42"	"grogu_42"	"henry_42"	"ivy_42"	"lambchop_42"	"buddy_44"	"franc_44"	"ginger_44"	"goose_44"	"ivy_44"	"joans_44"	"lambchop_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"goose_46"	"ivy_46"	"joans_46"	"lambchop_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"lambchop_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"lambchop_50"	"charles_51"	"franc_51"	"joans_51"	"lambchop_51"	"buddy_52"	"charles_52"	"ginger_52"	"goose_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"goose_58"	"goose_59"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"k__Bacteria|p__Bacillota|c__Negativicutes"	0.491	0.4575	0.4435	0.73275	0.0785	0.50825	0.38625	0.29675	0.00125	0.27625	0.64325	0.3205	0.66125	0.538	0.50025	0.08575	0.05625	0.6125	0.58875	0.427	0.53125	0.49875	0.434	0.1305	0.509	0.499	0.54475	0.46025	0.6085	0.537	0.384	0.541	0.521375	0.25575	0.35725	0.71525	0.737	0.48475	0.534	0.48	0.07475	0.581	0.4365	0.4815	0.51	0.0515	0.44125	0.00225	0.52025	0.0915	0.51825	0.02525	0.30275	0.552	0.1805	0.59025	0.2625	0.49875	0.387	0.24425	0.771	0.7005	0.61825	0.43525	0.57525	0.404	0.46225	0.4815	0.6055	0.8175	0.36225	0.3695	0.15625	0.26475	0.45025	0.37375	0.763	0.49625	0.49125	0.34175	0.6815	0.789	0.53325	0.24625	0.237	0.479	0.4865	0.05725	0.61625	0.504	0.54075	0.70475	0.48775	0.203	0.482	0.85625	0.75025	0.636	0.509	0.39525	0.258	0.3335	0.7	0.61175	0.8115	0.25475	0.72025	0.3825	0.619	0.53425	0.5035	0.32225	0.72275	0.47825	0.431	0.702	0.61725	0.162	0.39575	0.57675	0.08525	0.54275	0.728375	0.4545	0.34225	0.27	0.47	0.11625	0.63	0.416	0.2455	0.725	0.609	0.57225	0.693	0.18725	0.67325	0.2765	0.70275	0.26175	0.5245	0.56775	0.245875	0.111	0.0715	0.3695	0.178	0.5625	0.28675	0.28
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria"	0.22325	0.2765	0.0955	0.00975	0.00475	0.08475	0.1215	0.6865	0.983	0.6795	0.039	0.08625	0.2905	0.08625	0.06875	0.824	0.597	0.0165	0.0655	0.10775	0.244	0.02125	0.2205	0.8005	0.1115	0.14025	0.25075	0.0475	0.00575	0.10825	0.33	0.1225	0.019875	0.6045	0.2825	0.04325	0.009	0.10575	0.2825	0.0635	0.859	0.027	0.389	0.02425	0.14525	0.89475	0.216	0.694875	0.22775	0.85725	0.158125	5e-04	0.27825	0.15375	0.634	0.00775	0.01025	0.0175	0.33525	0.1465	5e-04	0.08025	0.0525	0.2225	0.041	0.4185	0.21525	0.0535	0.20575	0.0015	0.178	0.1905	0.71775	0.31425	0.17775	0.096	0.0075	0.16125	0.03	0.5175	0.0185	0.082	0.0055	0.5665	0.62625	0.13725	0.0245	0.8825	0.00675	0.015	0.09675	0.098	0.3435	0.513	0.0375	0.00075	0.00825	0.03275	0.12375	0.42425	0.50625	0.487	0.1045	0.021	0.0015	0.666	0.01425	0.09125	0.04175	0.0545	0.01275	0.1135	0.0165	0.2945	0.01075	0.0035	0.10575	0.73875	0.252	0.004	0.87225	0.0115	0.0055	0.00975	0.02675	0.597	0.01225	0.78625	0.08625	0.36675	0.637	0.0045	0.2265	0.1565	0.00825	0.48675	0.12725	0.529	0.04	0.0245	0.19275	0.173	0.62175	0.5505	0.116	0.429	0.75075	0.04125	0.342125	0.343
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.18425	0.16825	0.095	0.082	0.57175	0.156	0.33875	0	0.00275	0.0055	0.17975	0.3835	0	0.21425	0.18075	0.04975	0.27	0.261	0.14325	0.18525	0.13425	0.26725	0.16525	0.0445	0.25575	0.205	0.12275	0.299	0.29825	0.18025	0.1775	0.21	0.149375	0.054	0.2445	0.22125	0.13125	0.244	0.088	0.2295	0.04325	0.20525	0.0845	0.24625	0.18675	0.02425	0.16025	0.00075	0.10825	0.021	0.08	0.77875	0.28575	0.14625	0.1065	0.21675	0.58125	0.387	0.1715	0.253	0.1535	0.03525	0.12825	0.26125	0.28625	0.1	0.25925	0.283	0.0785	0.109	0.2995	0.366	0.04075	0.34175	0.2985	0.34475	0.05975	0.25475	0.378	0.06275	0.16775	0.06125	0.26275	0.07625	0.06975	0.22725	0.31175	0.03225	0.12725	0.27575	0.1725	0.11675	0.05425	0.04625	0.2415	0.06475	0.15	0.18225	0.30875	0.056	0.1715	0.06925	0.118	0.223	0.088	0.02425	0.1345	0.44625	0.259	0.24525	0.3105	0.51675	0.20675	0.1275	0.35225	0.14725	0.16675	0.056	0.20025	0.299	0.021	0.2505	0.130875	0.311	0.568	0.0555	0.2685	0.05675	0.1935	0.12225	0.06075	0.13775	0.089	0.13625	0.224	0.2135	0.0945	0.11025	0.189	0.4805	0.08675	0.115	0.08325	0.178	0.6665	0.05425	0.0255	0.2685	0.19025	0.249
"k__Bacteria|p__Bacillota|c__Clostridia"	0.0695	0.07	0.124	0.11425	0.01125	0.0605	0.1265	0.0095	0.0025	0.013	0.0525	0.0865	0.0205	0.14025	0.166	0.01325	0.0055	0.07325	0.16775	0.0395	0.04975	0.17975	0.162	0.023	0.08875	0.12475	0.06625	0.1495	0.0675	0.14825	0.09225	0.07475	0.192875	0.083	0.0445	0.001	0.105	0.09175	0.069	0.14925	0.0205	0.14125	0.052	0.216	0.128	0.027	0.15	0.002625	0.086	0.027	0.183375	0.01375	0.06725	0.117	0.069	0.102	0.083	0.03175	0.07275	0.10625	0.046	0.1505	0.17075	0.0565	0.0565	0.06325	0.0375	0.13575	0.064	0.05325	0.11675	0.04	0.08075	0.04725	0.06075	0.0975	0.11625	0.06225	0.02	0.0585	0.10875	0.044	0.05075	0.0915	0.04125	0.139	0.14275	0.025	0.1855	0.171	0.136	0.06025	0.10675	0.07	0.2045	0.06725	0.07275	0.0875	0.036	0.10625	0.0515	0.06025	0.059	0.11175	0.08225	0.05225	0.10625	0.046	0.03425	0.115	0.114	0.0355	0.02075	0.0755	0.15775	0.11725	0.07925	0.03925	0.09475	0.101	0.02025	0.0795	0.107875	0.1835	0.02175	0.0605	0.21425	0.036	0.0645	0.061	0.0465	0.119	0.03675	0.10625	0.029	0.09675	0.08675	0.07525	0.03325	0.10075	0.11375	0.11575	0.033875	0.1275	0.0055	0.12125	0.03825	0.0895	0.00875	0.09525
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria"	0.01975	0.01625	0.00925	0.02825	0.1305	0.041	0.02075	0.0035	0	0.0245	0.0605	0.0215	0.026	0.01275	0.016	0.01975	0.064	0.01025	0.03175	0.02275	0.0285	0.02775	0.016	0.00125	0.01975	0.007	0.01375	0.037	0.015	0.02125	0.015	0.028	0.016375	0.00075	0.04025	0.0135	0.0165	0.03275	0.01275	0.04875	0.0025	0.01825	0.0365	0.0125	0.02475	0.00225	0.02825	0.0055	0.03925	0.00325	0.04525	0.07	0.04825	0.02975	0.008	0.05	0.0335	0.02425	0.0065	0.08975	0.01575	0.011	0.026	0.022	0.01125	0.011	0.02425	0.04025	0.008	0.016	0.035	0.03375	0.0015	0.01875	0.01	0.06	0.016	0.0245	0.04675	0.0105	0.018	0.02025	0.09375	0.0165	0.01825	0.0045	0.028	0.003	0.00825	0.02725	0.038	0.01875	0.0055	0.0025	0.031	0.0055	0.016	0.052	0.01875	0.0095	0.008	0.0105	0.015	0.02725	0.013	0.002	0.022	0.02925	0.02575	0.032	0.034	0.011	0.01975	0.009	0.042	0.02675	0.02675	0.004	0.0415	0.01725	0.001	0.0095	0.01525	0.0335	0.026	0.01125	0.0295	0.00175	0.02225	0.0175	0.00925	0.01275	0.03	0.02525	0.03375	0.00875	0.017	0.00875	0.03175	0.03025	0.0215	0.02575	0.013	0.01025	0.103	0.0055	0.007	0.01475	0.018625	0.0275
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia"	0.0075	0.00675	0.2265	0.03075	0	0.14525	0.001	0	0.00025	5e-04	0.00575	0.08675	0	0.00475	0.0495	0.00675	0	0.014	5e-04	0.2045	0.00975	0.00275	0.0015	0	0.00975	0.021	0	0.0045	0.0035	0.00325	0	0.0085	0.074625	0	0.007	5e-04	0.00025	0.00475	0.01225	0.0075	0	0.02375	0	0.006	0.003	0	0.00075	0.00075	0.01725	0	0.014125	0	0.00625	0	0	0.01375	0.02275	0.03725	0.01525	0.10875	0	0	0.000125	0	0.0235	0	0	0.00025	0	0	5e-04	0	0	0.00375	0.001	0.01425	0.005	0	0.029	0	0.001	0	0.04175	0	0.00725	0.0105	0	0	0.00175	0.00375	0.01175	0.00025	0	0.0035	0	0	0.0015	0.0055	0	0	0.00125	0.00925	0.001	0	0	0	0	0	0.00525	0.00575	0.0015	0	0.003	0.00425	0.00475	0	0	0	0	0	0	0.007	0	0.00075	0.0055	0.0025	0.00025	0	0.00025	0.00875	0.00025	0	0.00025	0.002	0.008	0.00475	0	0	0	0.03225	0.03225	0.00075	0	0.01975	0	0.017	0	0.01775	0.1375	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia"	0.004	0.00325	0.001	0.00225	0.01325	0.00325	0.005	0.00025	0.00025	0.00025	0.014	0.00575	0.00075	0.0035	0.006	0.00075	0.0015	0.00675	0.00225	0.0125	5e-04	0.00225	0	0.00025	0.00525	0.003	0.00125	0.00175	0.001	0.00125	0.001	0.01225	0.01075	0.00125	0.02275	0.00525	0.00075	0.03475	0.00125	0.0175	0	0.00325	0.00025	0.01325	0.00225	0.00025	0.0035	0	0.00075	0	0.000625	0.00725	0.01	0.00125	0.002	0.019	0.006	0.00325	0.01175	0.01625	0.01325	0.02075	0.003125	0.00175	0.00475	0.003	5e-04	0.0055	0.0365	0.00225	0.008	0.00025	0.003	0.0095	0.00175	0.01375	0.0325	0.00075	0.0015	0.005	0.0045	0.00275	0.01125	0.0025	0.00025	0.002	0.0055	0	0.04925	0.00075	0.00125	0.00125	0.002	5e-04	0.0025	0.0055	0.00125	0.00275	0.00075	0.008	0.00075	0.0245	0.0015	0.001	0.0035	0	0.001	0.004	0.002	0.00925	0.02075	0.00075	0.003	0.00975	0.00075	0.00275	0.003	0	0.01175	0.00175	0.00025	0.09575	0.01075	0.00475	0.0085	0.0025	0.0045	0.003	0.00075	0.007	0.00075	0.00075	0.00275	0.001	0.001	0.00075	5e-04	0.00025	0.0025	0.0625	0.027	0.00175	0.001375	5e-04	0.002	5e-04	0	0.00525	0.01475	0.00525
"k__Bacteria|p__Bacillota|c__Bacilli"	0.00075	0.0015	0.00525	0	0	0.00075	0	0.00325	0.01	5e-04	0.00525	0.00275	0.001	0	0.00975	0	0	0.0055	0.00025	0.00075	0.002	0	5e-04	0	0	0	5e-04	0	0.00025	0.00025	0.00025	0.003	0.013125	0.00075	0.00125	0	0.00025	0.0015	0.00025	0.004	0	0	0.00125	0	0	0	0	0.187	5e-04	0	0.00025	0	0.0015	0	0	5e-04	5e-04	0.00025	0	0.03475	0	0.001	0.000625	5e-04	0.0015	0.00025	0.001	0	0.0015	0.00025	0	0	0	0	0	0	0	0.00025	0.0035	0.0035	0	5e-04	0.001	5e-04	0	0.00025	0	0	0.005	0.00125	0.003	0	0	0.16075	0.001	0	0	5e-04	0.003	0.00075	0.00275	0.00575	0.001	0.002	0.00025	5e-04	5e-04	0.00075	0.01275	0.004	5e-04	0.00025	0.00675	0.001	0.00075	0.00025	0.00125	0	0.004	0.00025	0	0.0035	0.001375	0.002	0.001	0.00075	5e-04	0	0.00225	0.00075	0	0.00025	0.00575	5e-04	0.003	0.00125	0.00075	0	5e-04	0.0075	0	0	0.00075	0.0025	0	0.003	5e-04	0	0.00125	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes"	0	0	0	0	0.19	0.00025	0	0	0	0	0	0	0	0	0	0	0.00575	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0.00025	0.00025	0	0	0.000125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10625	0	0	0	0.104	0	0	0	0	0	0	0	0.00025	0	5e-04	0.00025	0.00025	0	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0355	0	0	0	0	0
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes"	0	0	0	0	0	0	0.00025	0	0	0	0	0.0065	0	0	0.00275	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	5e-04	0	0	0	0	0.00025	0	0	0	0	0	0.000125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0.00125	0	0	0	0	0	0	0	0.00075	0	0	0	0	0	0.002	0	0	0.00125	0	0	0	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0.00025	0	0	0	0	0	0.00025	0	0
