"Taxa"	"Hera_1"	"Wolverine_1"	"Buddy_11"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Hera_14"	"Iris_14"	"JarJarBinks_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Buddy_16"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_2"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Ginger_20"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Kubo_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Ginger_24"	"Henry_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ginger_29"	"Henry_29"	"JarJarBinks_29"	"Joans_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Goose_37"	"Grogu_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Grogu_41"	"Hamlet_41"	"Hera_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Goose_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Lambchop_42"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"JarJarBinks_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Henry_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Iris_48"	"Ivy_48"	"JarJarBinks_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Joans_49"	"Kubo_49"	"Marshmallow_49"	"Ophelia_49"	"Wolverine_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Hera_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ophelia_57"	"Wolverine_57"	"Ginger_58"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Henry_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Padme_6"	"Iris_60"	"Joans_60"	"Marshmallow_60"	"Wolverine_60"	"Joans_62"	"Henry_66"	"Hamlet_67"	"Hera_67"	"Ivy_67"	"Franc_68"	"JarJarBinks_68"	"Ginger_7"	"Hera_7"	"Iris_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Korra_9"
"Metabolism"	0.749928732249967	0.749877260067071	0.733065623511993	0.720689293443888	0.726747583053479	0.726703650402574	0.746562863528655	0.723180809674114	0.762516866940215	0.740126266939273	0.737377213655361	0.714337804456213	0.724577245948122	0.720189042737946	0.719727575000788	0.730225386817169	0.777164413118326	0.746583241865006	0.741819026442844	0.742572051622065	0.734290235388413	0.727700549892483	0.694946936365161	0.758357307119909	0.716327200104292	0.762023878426034	0.747993715004649	0.763254072279418	0.735423627819586	0.73267990986591	0.757543969819021	0.742385703871197	0.751218662867544	0.752379672879323	0.747165930934682	0.737253732095372	0.75275155274644	0.743027512294135	0.722507457865783	0.755240987697052	0.742086840324039	0.747294670221927	0.766451694661534	0.780644642450346	0.724690300541098	0.746263012781311	0.752728943239613	0.729123520650463	0.725356327266498	0.741692605473858	0.74049147804186	0.778349117891242	0.729571050066283	0.736955409345214	0.739297660809272	0.760166700953403	0.741129097322239	0.762264299369279	0.724055618709914	0.742383881389736	0.718736326587652	0.768290101727769	0.740492072479338	0.74573204541012	0.779541805404737	0.749966409264012	0.76854114019324	0.73194820410393	0.748123154253025	0.767234167791114	0.746465999439062	0.761112266279343	0.738548891918076	0.741076534779845	0.74211774446241	0.738122267635736	0.743079721607237	0.732013283789028	0.748386490761251	0.779763525462544	0.739104988297551	0.749827426506698	0.765086106278139	0.728714086684713	0.774882485178636	0.744150336880759	0.756936233781638	0.743233816035184	0.751874344157985	0.759940587223243	0.751146147353571	0.742361605997991	0.75502687154539	0.744567086816155	0.724351224866277	0.748387431559943	0.750857821079439	0.721792502118702	0.743925348168699	0.722897392559848	0.753133977874945	0.737615523607661	0.742586394058766	0.740199394801719	0.73871391545006	0.731546460939725	0.770422327164403	0.759350532314045	0.768416207820852	0.749820667245623	0.766748530091534	0.709840286574513	0.750188512201996	0.733492019361298	0.782890392647926	0.774779992463592	0.740606503759377	0.761872747103838	0.750418466195471	0.765039649041283	0.767628883957553	0.773972757266588	0.770654220745418	0.75877756885374	0.772342100094679	0.744288661641684	0.787353147555455	0.740440955835783	0.74243620495411	0.690015808751666	0.764060266047596	0.741523300683771	0.767249097639651	0.718576195463878	0.754571987152909	0.752466309195248	0.760484954173536	0.751898982806477	0.743467782145422	0.7644483338978	0.764536240925468	0.764587422198077	0.777427611692703	0.779882017905593	0.768086758858951	0.756305852119804	0.732833412591372	0.7565677025348	0.713501644278512	0.759455521687944	0.757515490393533	0.742936225871009	0.738540550320194	0.748696236143115	0.747622272302731	0.731250281070125	0.756553346461457	0.741625133391732	0.743602189099758	0.786792508293657	0.747945380220433	0.716873496452001	0.733634268139504	0.717168936308125	0.760672317092835	0.781628534052299	0.77244895247213	0.76420725599834	0.754052821141923	0.749975672267852	0.773263518456529	0.742868757961401	0.758533773662351	0.717507980929785	0.741562191867291	0.726011845007568	0.728981720866115	0.75991766501964	0.770249881825072	0.780171610641728	0.77663421385101	0.77438097318279	0.775630290957345	0.758815247163281	0.762551937941848	0.744307487895306	0.772385391042403	0.718530801977302	0.735806399346261	0.745834922313609	0.757280911651803	0.763596421824003	0.786379588365264	0.757819775846989	0.724262090144833	0.773974273379996	0.785872296445455	0.760798477399061	0.772415245856955	0.727345225771497	0.73624309266237	0.767800293312378	0.742464633572003	0.737271556529606	0.773958507600528	0.774515428690176	0.771468283488238	0.750938401560274	0.753268489415432	0.767312109568229	0.715760843708068	0.730114231754491	0.735745940126707	0.742269541098805	0.770222455554889	0.75850179573087	0.731016334779256	0.736878078458222	0.727017863711709	0.776575523865778	0.76049772070165	0.729830706737808	0.770788382142772	0.73759040493014	0.777994574049875	0.736094811736883	0.713008173101742	0.733880614573881	0.725902562090365	0.724995526967387	0.749703366578369	0.727346251972778	0.751500016374402	0.780660894598044	0.742601719296718	0.745880621435085	0.76544710546625	0.736761326677426	0.756219204337453	0.744215493505188	0.727505130377888	0.770418749893757	0.757486910709453	0.72425197147979	0.733284480621975	0.720340324793968	0.724985390858967	0.763642758070776	0.726436162041338	0.735948473076419	0.73739501961628
"Environmental Information Processing"	0.12005566420131	0.11551689841302	0.127241044079745	0.14371967693189	0.13488639087352	0.132907345880357	0.119109180767499	0.13686056706161	0.109351395817805	0.124046616027732	0.118595684657993	0.143316230464144	0.131991191731383	0.142020446407678	0.140422939006383	0.131213042181494	0.0936788928495166	0.119537414499125	0.124479684707301	0.120300408600216	0.128994861286873	0.130173886086074	0.145618969608848	0.107164974750624	0.137355726253931	0.106833009475905	0.120450641993335	0.108307839375182	0.126329151159708	0.118612474976267	0.111117767271631	0.12289551793185	0.115339249108433	0.114322900903456	0.117466832857247	0.122868141152864	0.116013879653588	0.118341529138573	0.132885018369746	0.105737660378365	0.106654771537431	0.101858256629087	0.105575045099389	0.0981851117311008	0.130239093281482	0.121286040568231	0.115088206256333	0.128948334092287	0.129555873486191	0.125750655033949	0.121864871204697	0.0978319705954281	0.133178900255751	0.123881312831295	0.122978027243417	0.109997535364529	0.122087568440938	0.10675132097232	0.130317161862818	0.119822091599988	0.140528368124092	0.101648867970099	0.12091568322065	0.118452902665117	0.0979488212669365	0.116625543142288	0.105495030893381	0.127438959851287	0.114821936016189	0.104721028122272	0.117644069634621	0.109160002788744	0.126857639945601	0.122160238863761	0.127266549151574	0.123343724146097	0.118964716044918	0.125999012755113	0.116022751007283	0.097378336721426	0.120950779327277	0.116608836810174	0.105418358128079	0.129100369683317	0.101506200793694	0.121145679625873	0.110178612149568	0.120142485846376	0.111527831317991	0.10578569070175	0.115868911960209	0.123492283286799	0.11356989758588	0.118470184275097	0.135084685243682	0.117296149540761	0.116021874963675	0.133066303144115	0.120607894660317	0.130448406534838	0.115595819239835	0.124913096292563	0.120008088129984	0.124275353051058	0.110392361692967	0.125844586429575	0.104152157600457	0.110462235184522	0.100716117140598	0.102168302980962	0.104253330482932	0.139859007269828	0.113438776724029	0.121554765361382	0.0939865036365874	0.10207009472782	0.11899119387324	0.109573962013365	0.10291556592853	0.107074194527142	0.105031316156105	0.0989461919067388	0.103019466845284	0.108696509512068	0.102059274574933	0.11385427732791	0.0922268434273438	0.118377724798175	0.109778305056096	0.145003112215737	0.107744694653975	0.119446140221206	0.106488255633212	0.13380381006789	0.108295003374798	0.116655693267413	0.110728875280061	0.113045424022561	0.112587687424028	0.110119993788407	0.107908048273584	0.105256410214922	0.099003097669642	0.0957419289084722	0.103931256529632	0.10472759861113	0.125953879508956	0.114128558719828	0.14206230465684	0.1061493395964	0.10810040747387	0.119310853318999	0.123397653807761	0.114440175358665	0.111394572905781	0.127997909814713	0.114959477059745	0.121425835777023	0.117101952092984	0.0930440082786043	0.117273783260291	0.13603875053906	0.123424505668121	0.136121868591938	0.108100900770936	0.0962065528852306	0.100420243390563	0.108421315219352	0.108183882163054	0.11808259158095	0.100551275950132	0.122236007957137	0.110809246895507	0.137227517211019	0.119859436330952	0.129831043734466	0.126988153400736	0.109163254815575	0.099169104390355	0.097118120831787	0.0984226637800486	0.0995142328187647	0.100751500661413	0.109413933589019	0.107031670866263	0.120191091975535	0.101034865598706	0.134451636425856	0.12311230010181	0.120128155355576	0.107932597043962	0.104508243662826	0.0930140301980504	0.110560981749559	0.137863175422124	0.101512498647919	0.0938596779121372	0.108466871380979	0.103926159688549	0.129275545035194	0.122246209167214	0.0987838320352866	0.125371990028553	0.126775466288396	0.0963329708660989	0.0986935731461293	0.101714249009067	0.116681020042758	0.110634204008077	0.102222731645106	0.136671060912769	0.126763717656248	0.126293836640242	0.119056331880117	0.104492123610572	0.111400110866984	0.126156404456413	0.118755599296808	0.128260845469453	0.0994503277779332	0.109224010003572	0.127708712609467	0.103890319568271	0.123352204663051	0.0973823048090284	0.124270290516414	0.133897876126005	0.127933009211955	0.129141341391363	0.125204629066101	0.117155731307248	0.129144652198588	0.112697672622488	0.0970178678744897	0.111041270091574	0.10075075025851	0.109019713874496	0.123728834057272	0.112445147198703	0.117793779898918	0.129515372070486	0.10522747707404	0.113756101921074	0.130330979127637	0.120271691800997	0.134985260295292	0.131223114555426	0.103106132930486	0.131258438225987	0.121564429641763	0.12335905286046
"Cellular Processes"	0.0502047699210007	0.0518375049071206	0.0576989343169997	0.0544439142895898	0.058146112616142	0.0576671417805722	0.0523780321254377	0.0605421863302356	0.0462175493578041	0.0540513929502656	0.0599489381234478	0.0641581775139216	0.0610542611604115	0.0617885289495878	0.0613145828570819	0.0575896336414237	0.0429968152581165	0.0511249342645266	0.0536756053714246	0.0544202952674933	0.0573359905040682	0.0596041286166529	0.0777764836519225	0.0499119713407806	0.064905647689164	0.0479222612057527	0.0519656944627093	0.0465874604632121	0.0573955339181619	0.0621207978901321	0.0493748392877231	0.0548121768488302	0.0502828327794005	0.0511558056953608	0.0526799434692177	0.0563523149577382	0.0499671459936069	0.0564093336854945	0.0621533019502485	0.0511083857561054	0.0574228887321138	0.0576223326121117	0.0441740861701194	0.0390930979114642	0.0621508935818852	0.0518116676797493	0.0510698155567881	0.0597549331184666	0.0619093820199603	0.0524600110992241	0.0554995207143564	0.0407269973399743	0.0582681054830139	0.0568002145840425	0.0559803436266485	0.0477160424043686	0.0547358736442709	0.0468645805500504	0.0623290600470272	0.0548369575058757	0.0635512266584011	0.0456557908896738	0.0551596719700825	0.0535768768868747	0.0402055662709842	0.0501913655588134	0.0443310127403286	0.0586885074130592	0.0531237216886291	0.0457350274278124	0.0529561050260463	0.0469544760175137	0.05404259954784	0.0549310923238502	0.0506900542910744	0.0565068163505368	0.0552489809367387	0.0587095313637286	0.05324071424316	0.0401709580064927	0.0560112103072532	0.0516772585244845	0.0460338399637001	0.059859373387678	0.0419151466822732	0.053346646400287	0.0495803664310053	0.0541996143565083	0.0517729111703166	0.0488674792182272	0.0508470185559863	0.0540527872744868	0.0493911953286011	0.0549120455412121	0.0608842880251459	0.0509131424171202	0.0510873441940837	0.0626630483683604	0.0538437487901594	0.0592537118954382	0.0504659029881191	0.055968839535262	0.0543787956931807	0.0543071423316248	0.0582994583173296	0.0589882405900182	0.0431800675453162	0.0483766491401158	0.0453810229768939	0.0560979402709826	0.0456475897449312	0.0695713448399605	0.0524727348004778	0.0579502081136632	0.0394692698824584	0.0409262381705816	0.0571626085447244	0.0467352448727013	0.0559463835998736	0.0456670893073348	0.0445363364357405	0.0428343378817663	0.0437721323299755	0.0485148794253902	0.0425971841660241	0.0555491622014626	0.0374345553161614	0.0560408044556915	0.0561719738079152	0.0818479236534282	0.0466687337054416	0.0555478278718601	0.0445478274074655	0.0663248190920793	0.0515969978853728	0.0499884014778252	0.0474087268494773	0.051669738435973	0.0573269021524124	0.0443379958446953	0.0459886391017577	0.0462531625457338	0.0401834076474783	0.0405881056553874	0.0444953292243428	0.0513308639770794	0.058478159237037	0.0481906513928193	0.0653782799168228	0.0498495406649929	0.0515738215536632	0.0551087439770813	0.0558468088257111	0.0534357171853998	0.053651148543719	0.0588724132209283	0.0464834748835952	0.0548951467949254	0.0551549460463811	0.0367997240805961	0.0522838683608936	0.0657701708646857	0.0590998544021733	0.0642323951674897	0.0482828205698297	0.0391843612677384	0.0440077919361347	0.0464385249314731	0.0511031948715381	0.050970805394037	0.042610070254926	0.0544871443391588	0.0482870476764085	0.0648099334439717	0.0556021357773621	0.061090141216187	0.0603930727736599	0.0485419615211631	0.0450791566091043	0.0399858242807861	0.0419767692228325	0.042703438838273	0.0413196066496669	0.0489187372423902	0.0473268688943352	0.0536586284848387	0.0417230332555556	0.0644144853074252	0.0577577287685489	0.0525950104902305	0.0506644097592009	0.0474201395013786	0.0367424024808121	0.0491622748439091	0.0594642326071534	0.0427683605345278	0.0372898976836723	0.0485524143670563	0.042930406174921	0.0607916704401897	0.0580828291758258	0.0472870505857588	0.0530247858676498	0.0555785684181042	0.0448407221088346	0.0415239582669888	0.0436187057121466	0.0515881654845345	0.0503372796180946	0.045327258349153	0.0659903678871152	0.0598908918533571	0.0564014345346158	0.055307196275111	0.0430843565356364	0.0479824766328258	0.0596160971033642	0.059083894177482	0.0613314127173858	0.0415068290452851	0.0470623131588732	0.0598334023448819	0.0429250731949698	0.0560426964444447	0.0409264329960698	0.0579716801259615	0.0697159033139698	0.0564456885456684	0.0614633196018213	0.0651061671679641	0.0511273791694724	0.0602465303797022	0.0517478099380691	0.0392571272383162	0.0583247829748947	0.0584634404800147	0.0448111447417173	0.057253697842532	0.0490334724552279	0.0556382719311561	0.0603184668046971	0.0430998863972264	0.0482876403038601	0.0620772944083786	0.0598442836149471	0.0626576656778417	0.0612700272569838	0.0476668711736757	0.0603501495024123	0.0579672672833689	0.0577815630354583
"Genetic Information Processing"	0.0463750408821469	0.0463666999533233	0.0397025350218673	0.0467139351076832	0.0422235878226107	0.0435442254282418	0.0436867018035226	0.0421013129242293	0.0507782467959789	0.0451687947337693	0.0450984654852069	0.0410293377236833	0.0380849274708819	0.0423317719315705	0.0417553314265019	0.0427944722522386	0.0503963634532648	0.0462365700422751	0.0447650934271219	0.0416152861935971	0.0436796361568089	0.0375261541573272	0.0351890473198083	0.0481589004436555	0.0365551681034732	0.0479082718461958	0.0455718557130006	0.0480103316313636	0.0440915363186976	0.0435151461054341	0.0464791607163235	0.0457742949067437	0.0434647206042423	0.046342860481558	0.0432454409157414	0.0450891218128316	0.0471871049067208	0.0456207140363004	0.0366172520267603	0.0486710649160063	0.0498148584459488	0.0463162962269672	0.050087612614336	0.0500913803984526	0.0383968176916028	0.0454356207880915	0.0469729453992194	0.0397437581644215	0.0384299796891544	0.0477845112349255	0.0428375789168218	0.0488813476325553	0.0468094665099466	0.0408718245013501	0.0437573917436794	0.047928753610838	0.0414517824717763	0.0484603419345949	0.0374213647932746	0.0421381636881636	0.0442277127384888	0.0494829821170712	0.0431863088750293	0.0449020227890301	0.0508795953923401	0.0470956649512191	0.048374287699473	0.0394991048011865	0.0450935483989762	0.0489146886724295	0.0430740557343454	0.0481168639384216	0.0459195182467218	0.0429472271883912	0.0469872020866594	0.0456299595836323	0.0461078109380097	0.039568748161484	0.0468238655612241	0.0507451735759827	0.0423770080348198	0.0442677025671149	0.0502621666312235	0.0384556739707232	0.0497615850377535	0.0454333957484254	0.0487140070143538	0.0424061166205562	0.0457709873979314	0.0481332855472495	0.0470374221026963	0.0454890951111824	0.0460162478023393	0.0460852766246879	0.0425999000373125	0.0475598218210345	0.0442633101628861	0.0370526088025869	0.0460009511447767	0.042971277101611	0.0466890064541309	0.0447896571558362	0.045724345144727	0.0425743093758875	0.0490425916176178	0.0393349462261004	0.0491835053603317	0.0463688320547066	0.0506087338125164	0.0470977482520306	0.0496823239989629	0.0388490978294169	0.0475834920834898	0.0458527933932624	0.0510968678028256	0.0494908347447748	0.0462233423576574	0.048218565220819	0.0471595192408566	0.0502282700992946	0.051283595320335	0.050535520866331	0.0506340519478373	0.04695059559742	0.0511602399165169	0.0468659248097254	0.0510621415542847	0.0462129774265115	0.0475452016205607	0.0353325147783757	0.0490144786811719	0.042896229965845	0.0483724273225474	0.0415909847817653	0.0488420221223132	0.048427609626345	0.048093937041858	0.0469834486017881	0.0459123937988162	0.0491412108981719	0.0492970265572659	0.0510818099069038	0.0510098583783508	0.0501772998318154	0.0483583583403306	0.0486508401992989	0.0392541883634797	0.0491271919069059	0.0380995454339703	0.0482443459306704	0.0466322111941479	0.0456666730857215	0.0443108451257768	0.0472044783317397	0.047120693900249	0.0392414237077609	0.0475940091371225	0.0420459312127055	0.0466585026747821	0.0518097901634877	0.0431363879844675	0.04128046698112	0.0406445808519136	0.038415111773891	0.0481635878889223	0.0517482801835652	0.0496992715227109	0.0478615054504893	0.0475174987000088	0.0452951176217308	0.0505681368748927	0.045532248792923	0.0460415064464875	0.0403396755830877	0.0439968597852938	0.0376338850994162	0.0392257028636445	0.0446880183910309	0.0510015016263035	0.0509900859045329	0.0499936374843575	0.0504205316049081	0.0490348004454848	0.0490964819588647	0.0479078851347555	0.0464964116853713	0.0526342413263332	0.036598091715709	0.0404269132370964	0.0440956542605529	0.0479602864548432	0.0496840178620444	0.0523631627423449	0.0483515548938797	0.0421474661802766	0.0494798796028461	0.0512888630679898	0.0477565677988357	0.048416720028526	0.0385659564795436	0.0417075782722066	0.0490830000166822	0.045287225342493	0.0448689234371143	0.0492948572521705	0.0499863346567338	0.0509220276152007	0.0464444153940803	0.0474768688358748	0.0491362374386951	0.0390739161510919	0.0391964433557256	0.0452412109803628	0.0458855602037953	0.0507736578374526	0.0485587253607973	0.0391348064901825	0.0442609430101347	0.0384302827595902	0.0508911585592582	0.0458662879880008	0.0396265861786815	0.0487835576295519	0.0437159990010295	0.051270180443995	0.0446253387918473	0.0380306833161885	0.0459819961023538	0.0377586128963136	0.0432206337093853	0.0442027473138414	0.0379365724086153	0.046488490056583	0.0516481124546254	0.0461670362215291	0.0480827288978291	0.0497407265818941	0.0418494018991626	0.0459465888437014	0.0437809531074291	0.0379236748978973	0.0490654250805504	0.0477138281664726	0.0375240047555786	0.040292742911946	0.037040480879596	0.0372682106757058	0.0479578826921148	0.0391805397775672	0.0407211203969001	0.0443469744589887
"Human Diseases"	0.0239611610029373	0.0254512836341429	0.0325422496089444	0.0242871281846374	0.0284350177203845	0.0285369368375308	0.029128354813005	0.0274943604728235	0.0226177342317944	0.0269553545899623	0.0267983154300519	0.0270157821533831	0.0344506460311313	0.023982354139262	0.0271173216999581	0.0286520006773425	0.0248448575342724	0.0262498651490673	0.0248021529975856	0.0312560027547024	0.0265113691814134	0.0353761921140073	0.0376682187529382	0.0253438836413337	0.0348647481177322	0.025426445818221	0.0242179623024675	0.0239248362716933	0.0261816830078852	0.0293795890695933	0.0258516020680989	0.0244669209489586	0.0304477874762404	0.0254709049425935	0.0296497004599382	0.0266578131912736	0.0240845295112284	0.0255936112033159	0.0360948718705982	0.0265683527801181	0.0293819029352581	0.0321049398010508	0.0239169476931754	0.0230299300377728	0.0345597106412337	0.0248421097636957	0.024230570596463	0.0326588833285525	0.0349625193797074	0.0226927911530728	0.0296601829233551	0.024855861379678	0.0232622489057905	0.0318473208960335	0.0281061731537854	0.0247516741457806	0.0311490082216966	0.0252032323915751	0.0361620803924546	0.0309355410008147	0.0233994815710526	0.0247061718160052	0.0303122899521928	0.0276560791481709	0.022769015952403	0.0255439646620734	0.0237468307309119	0.0328678069063618	0.0281032469374081	0.0237865576108882	0.0302301614944604	0.0244126960660464	0.0244197702754	0.0295509448896882	0.0233674104157731	0.026003762843086	0.0261854939854162	0.033823270631536	0.0252348147238094	0.0230828106896734	0.0313218841793462	0.0283388476754729	0.0234581896723368	0.0343129772620148	0.0231033645980056	0.026699534510222	0.0252459608391187	0.0304246153630116	0.0287467237202054	0.025531126331167	0.0251070451995388	0.0249209646166851	0.0268530693877896	0.0253112355860197	0.0267231002960847	0.0255171878440776	0.0284001903748625	0.0356332564799857	0.0254184617673328	0.0342943475467936	0.0238205351473023	0.0269505956168289	0.0272075342003284	0.0294383593391841	0.0298082731541411	0.0342169109694814	0.0241711367651637	0.0258808072602575	0.0248370492102058	0.0291024886285231	0.0239581373262724	0.0324771278955491	0.0250603275686702	0.0290711728084367	0.0233749330284544	0.0239843556430473	0.0260041073859872	0.0245318172133953	0.0305030019615636	0.0230708527287968	0.0229070588521079	0.0244263367198373	0.023094704633876	0.0269260028885095	0.0231582098628935	0.0267400289949077	0.0229586954136498	0.0268706829242527	0.0320362205352903	0.0389687153819301	0.0232697455848209	0.0304826725595639	0.0235575960838465	0.0305608499777854	0.0257705774152812	0.0236646139555012	0.0236482965605166	0.0256533577752713	0.0289439695967244	0.0228380516117982	0.0231181973986116	0.023615425726527	0.0234725515153554	0.0238809962173535	0.0261877039581023	0.0260064022161098	0.0337167034877214	0.0231795683753614	0.0301219283748714	0.0255762284814316	0.0253369320272319	0.0257750634543279	0.0269056831677302	0.0255944318373672	0.0266550855122594	0.0330497385473729	0.0250224377095614	0.0304971374643658	0.0255860687551167	0.0229145399858915	0.0300396660913555	0.0295098220013864	0.0329003040534138	0.0338031719267284	0.0247389726459903	0.0226779009898099	0.0239859130618331	0.0236382201191329	0.0271009034932809	0.0263725016757955	0.0236964110289828	0.0243343924335445	0.0271248744131974	0.0295280904361393	0.0286298263173427	0.0354432528841023	0.0346086127430467	0.0280300564974926	0.0245482676025526	0.0229559378654757	0.0235918962496295	0.0236751223054905	0.0242378288383042	0.0239693334316232	0.0258069432809026	0.0249363761481031	0.0234466711612814	0.0362633939351485	0.0332277012280518	0.0272731546633534	0.0254869510985704	0.0245082206343843	0.022850921042229	0.024382444058298	0.0254236601683577	0.0232262949000564	0.0229076314260166	0.0242099655772178	0.0233335124297476	0.0340971315302553	0.0318576733757197	0.0263005354238293	0.0244692194185684	0.0250051615777718	0.0249440997326685	0.0245577516308846	0.0233253423124364	0.0242881476320884	0.0259678880601136	0.0261363049708765	0.0331592225544397	0.0344890591964085	0.0252148559711067	0.0255908902289883	0.0227666570699612	0.0239559633566028	0.0344838374068165	0.0293469285164601	0.0350912272841475	0.0228765610439391	0.0281878575453093	0.0331575467425053	0.0247178945467635	0.0289453870122256	0.0233640312892218	0.0260363068911853	0.0354907833084228	0.025062480128992	0.0355184376000391	0.0287061308295118	0.0286712158255651	0.0357100335895726	0.0276963567451683	0.0229806035854075	0.028747225567408	0.0306524303294476	0.022598751451156	0.0300951968412946	0.0272859277639171	0.0283491819896937	0.0350942016655665	0.0230412109952101	0.0234183609534068	0.0355432005206667	0.0343602257475063	0.0351817911924692	0.0356001266950319	0.0261855265817237	0.0329439040403093	0.0330434911233324	0.026744190590879
