"Taxa"	"Hera_1"	"Wolverine_1"	"Buddy_11"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Hera_14"	"Iris_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Buddy_16"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_2"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Ginger_20"	"Goose_20"	"Hera_20"	"Iris_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ginger_29"	"Henry_29"	"JarJarBinks_29"	"Joans_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Goose_37"	"Grogu_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Grogu_41"	"Hamlet_41"	"Hera_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Goose_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Lambchop_42"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"JarJarBinks_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Franc_47"	"Ginger_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Ivy_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ophelia_57"	"Wolverine_57"	"Ginger_58"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Henry_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Padme_6"	"Iris_60"	"Joans_60"	"Marshmallow_60"	"Wolverine_60"	"Joans_62"	"Henry_66"	"Hamlet_67"	"Hera_67"	"Franc_68"	"JarJarBinks_68"	"Ginger_7"	"Hera_7"	"Iris_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Korra_9"
"Metabolism|Global and overview maps"	0.384468893741068	0.381529211968259	0.367490997009439	0.352348231924597	0.365848606742087	0.361607759406938	0.379082736960265	0.355646983090958	0.395721220103445	0.37604099246332	0.370302624855464	0.360512909647237	0.367421915821601	0.367751239357171	0.369863859080295	0.401960254090648	0.373260729975597	0.377360113134754	0.37486331027826	0.376942412932796	0.362322251850796	0.340956522855616	0.389928362991304	0.356506423614884	0.392562500936345	0.384644091626435	0.39342650445507	0.375492387454692	0.366179994659121	0.389017071856265	0.382575530908286	0.380379285825548	0.386966043994191	0.378909960403468	0.371866195166923	0.387410817930948	0.376885274215923	0.358650876822473	0.385082081530517	0.378064428575514	0.378166407411728	0.393268533095309	0.403260536485879	0.381680873645613	0.384457066391919	0.362279472693701	0.367488855635938	0.375611810892002	0.400839813534661	0.372521711430987	0.371453661629997	0.392173193738161	0.373918734779881	0.391903834506679	0.359933623049232	0.374485786897617	0.370832511854351	0.394371166498645	0.374973706650082	0.381385511676134	0.405023985873428	0.380981608066274	0.394958060486338	0.367491820610642	0.381090216665772	0.391324136026786	0.373266655828846	0.376662451439237	0.380060886843588	0.380120898288717	0.383089747039887	0.36680462275606	0.385131316030358	0.404709452576892	0.373252543357422	0.382375023275396	0.39409786759746	0.364218045442299	0.401910290169659	0.382150326771401	0.391162588803083	0.376222303383286	0.38342359911421	0.388898054681146	0.383663019515102	0.38196996999872	0.386640445199353	0.383631399440754	0.371851557922155	0.380282587682731	0.382347469867241	0.35902422118599	0.379706185266252	0.362721681323326	0.386094817534298	0.377594180944656	0.379888910379336	0.378572124601076	0.378677930889856	0.3660099676667	0.397985618946352	0.389577286158742	0.39714909718064	0.377241341676913	0.390799500500302	0.356978008651393	0.383431532748287	0.368257233943611	0.406311485771801	0.400544294097208	0.377322585279387	0.393086475252643	0.383324611329091	0.397541010340183	0.396548850944533	0.401166959946354	0.400977558492011	0.38876226066042	0.402139440962961	0.379825268708171	0.378416947402493	0.381132047036984	0.341300552375601	0.395657544028081	0.376013577857317	0.395559616774246	0.364730250630801	0.389143857240388	0.390737227864047	0.385694182097891	0.377903134254153	0.394626058628123	0.395842060905772	0.394301045792665	0.402792128981522	0.395769241302212	0.367062171568937	0.390393884201308	0.358321159672994	0.391114675876554	0.389262118830775	0.380487484589683	0.376335437367366	0.379721838324266	0.386154619360487	0.37563845622716	0.378472220684721	0.408506341539241	0.379436108416733	0.364887634055913	0.368425833707248	0.363965162074433	0.392479303278219	0.407003393574817	0.400110135030311	0.393716067357616	0.384588809967674	0.383845951341813	0.380517359195209	0.36378240692239	0.377309618243274	0.361296162194123	0.364105523948341	0.389409931185216	0.399563331190641	0.405359419993315	0.40209148234999	0.401578385312901	0.400229029081615	0.393074520775629	0.393028287419089	0.401277249177104	0.356721581038728	0.368987296883523	0.381029462792705	0.390025552019693	0.393842885820456	0.408232137628806	0.391027183347649	0.400931006362415	0.407575835149103	0.391755274387741	0.398899690330858	0.363843453410694	0.371007624512057	0.395614090328918	0.376311715085469	0.398530260650966	0.396992179119976	0.401537348714602	0.384535029368098	0.384669826371735	0.393917291451103	0.357886372823087	0.365245371283896	0.376464662856757	0.380274771692337	0.400426925897094	0.389844273509226	0.365480126596756	0.375939823924094	0.362348466365588	0.403988782566355	0.388387255239831	0.365625286156186	0.3970010207513	0.374655150692414	0.403013161469519	0.375934894215258	0.355175243483526	0.374665746513468	0.36121547103409	0.368259511733599	0.381388665169161	0.362936432749177	0.382621225815914	0.406214771916481	0.375549711641751	0.378692577790941	0.398003234138913	0.387556160275737	0.379224254743568	0.362859905418749	0.397985306608669	0.388663392921143	0.35966190234157	0.366118219074994	0.357609505243082	0.360809094150237	0.38994176300396	0.359695688537017	0.369014673176605	0.378724500683553
"Metabolism|Carbohydrate metabolism"	0.117782688060421	0.115566301625533	0.121506229332127	0.140158228788358	0.124675957110388	0.128439593283116	0.12144998279185	0.128530413038399	0.122687764119476	0.122793650075566	0.120510607368597	0.124693454603934	0.11997526802779	0.115789565856387	0.122063168390509	0.112582631574569	0.125096013072443	0.117681885100471	0.119995176028113	0.118487838574882	0.123360927490486	0.118808990155869	0.116627254029023	0.122291596184395	0.112275014960158	0.115063071235285	0.116036590966605	0.114831391521008	0.114093723921439	0.117352176574855	0.118873064286221	0.120086803140516	0.112670463758655	0.118999334927541	0.116133839264549	0.116701116127057	0.118398874400406	0.123412006190615	0.118258826756802	0.118244626815299	0.118249553630004	0.119075579711235	0.113651692562095	0.117532907132763	0.117583946793249	0.120572363130977	0.130395913239788	0.119184314839221	0.11458461241702	0.122752226261351	0.121180610349642	0.117986870724695	0.120242923124946	0.118130440133685	0.121885394018838	0.119914177983012	0.119517944339349	0.11619877087494	0.121034119850344	0.119351398358186	0.116666228323334	0.121425404644824	0.113876990093893	0.122330485584488	0.118582599408041	0.11663123731676	0.120221116524119	0.121387938092419	0.120727084411649	0.116837124666998	0.115311832583312	0.121758969338071	0.117821492674297	0.116062473145928	0.120761581089101	0.120238609178936	0.119850489178216	0.123364682921837	0.116912397802447	0.118671253542336	0.119042722790129	0.120398388997244	0.119523168865239	0.118208214635662	0.120590320407839	0.115763147731512	0.11908792376393	0.116418375726412	0.113114044608013	0.123861192915028	0.118588090488256	0.122847223342808	0.116487942618522	0.119931945457055	0.118518012693351	0.119694841783498	0.119786880007425	0.120990348713905	0.117194410934245	0.121253782585858	0.11650844746195	0.117566751404072	0.118030999644103	0.118662597556633	0.12025847962782	0.114336757637235	0.118771808665162	0.116680724449733	0.115913919747247	0.116036116536673	0.119297790234976	0.117932186892685	0.117671846358213	0.119217030115625	0.121985337482055	0.11753168760832	0.118377890985572	0.117334412053481	0.118592341573754	0.117842092225015	0.11731901663748	0.107207719340772	0.110188527906466	0.118252772253237	0.120014766925553	0.116406138433949	0.115315978470205	0.118368719482801	0.118659335217092	0.116675680945175	0.118726923940698	0.118754243871914	0.118411092846131	0.122177835504989	0.114235009679167	0.118470524695879	0.121944810137213	0.12021401685756	0.119809028786751	0.115823618638732	0.115577336835652	0.11609626730715	0.117656221547013	0.118765104741203	0.119029239229212	0.119849943319059	0.120555494634849	0.115192921502761	0.120048950258336	0.112770987611659	0.119181126430312	0.117472282075491	0.115339245292204	0.117158899815756	0.116979791420665	0.115253420325435	0.119985050683771	0.117921849112285	0.118646275575325	0.116118751133841	0.117819300954412	0.122620603859404	0.121359600990467	0.113309985753125	0.118289118814319	0.116282133887957	0.115980838654017	0.116744522422201	0.115102536241616	0.119303269860372	0.118245124505754	0.119713506264394	0.122239935523206	0.12069189095503	0.114121036341645	0.117117156049743	0.118127262652832	0.115973175134049	0.117106477540846	0.115165468847563	0.114802632641843	0.117236929463874	0.114602161259799	0.122032536865418	0.119883421770915	0.115484501008379	0.119348599269431	0.115036149944313	0.114473412944881	0.118216659769266	0.116569572846664	0.11570981507177	0.118373087858648	0.119865394045192	0.121719362414846	0.118115532674452	0.118864947883571	0.118698273129513	0.118431784006137	0.120917300452223	0.114969018501306	0.120715119287471	0.117225168034242	0.118123439792176	0.119811282997628	0.116543929580345	0.118816744247622	0.11737605075863	0.115415927690484	0.116184603364341	0.120774904640347	0.122382143277554	0.116539152295923	0.120200406972732	0.120727732036971	0.118205472330277	0.117577808877368	0.115471716662772	0.115533235330572	0.11862833581498	0.119576838600515	0.114397083685233	0.12281574203756	0.11678517511253	0.116736502584548	0.123243693269667	0.122233282835416	0.123474636423457	0.123120197688143	0.11711832151423	0.125047479591576	0.121213871405824	0.115961425247607
"Environmental Information Processing|Membrane transport"	0.0806759227224867	0.0683420335634015	0.0829705539408871	0.0998425773349602	0.0896276920147042	0.0848793921806449	0.0801576973587555	0.0851482980946723	0.0750282162191037	0.0818516491729547	0.0598965313150948	0.0861983732100535	0.0892979276005803	0.0841519356956491	0.0836848622585755	0.0578204767881515	0.0771951792800229	0.0761453482107013	0.0776930196509882	0.0815705719076281	0.0859602167963954	0.0958961069492866	0.0633089315841944	0.0887735997818181	0.0691468915103038	0.0764613506331985	0.0693423892563621	0.0715605172725801	0.0595879320553501	0.0714303899338171	0.0782251443687297	0.0773781466920028	0.066709757154134	0.0751687655710608	0.071197707877103	0.0743207495831674	0.0655916878524695	0.0868215829487296	0.0583748695130816	0.0495988189823215	0.0438676771066819	0.0691934108477194	0.066364548940916	0.07635536106038	0.0698706048768768	0.0822656743912275	0.080549829297166	0.078424073804528	0.0643197414569139	0.0892838404774061	0.0806703222243285	0.0710487917258942	0.0803208612550712	0.0646509709756983	0.0841344906249778	0.0764045992823031	0.0923507159290141	0.0604453732878771	0.077129560867599	0.0752027123030489	0.0669407992480536	0.0737682874220587	0.0675419752958935	0.083559428409865	0.0692066926825892	0.0684128916179407	0.0773194975269897	0.0804587328374594	0.0849550945128262	0.0721342670038141	0.0679191984786172	0.0811849720281855	0.0698602800930124	0.065452234746111	0.0761144424622966	0.0777358182487046	0.0680050612860045	0.0850201522464181	0.0686581958177167	0.0776860754726215	0.0723341604533591	0.0784385659002962	0.0682111973109543	0.0611805078781457	0.0739513971113641	0.0747614337306269	0.0750833487808937	0.0668709259533553	0.0752012558181295	0.0754755206328805	0.0759561858500325	0.085997540519119	0.0713715696980425	0.0884340196809047	0.0746867151335566	0.0796060288372494	0.0761290263020887	0.0840279513195413	0.0513422472880223	0.0801940073682806	0.0701051890319305	0.0713364562473671	0.0620860636009897	0.0421021233414956	0.0644417092932421	0.0867194419928229	0.0665273979669478	0.0720906964467747	0.0618021757435435	0.0697186432725783	0.0664719432954385	0.073338932262348	0.0478057957490445	0.0727150961614879	0.0707585792926744	0.0640615392373952	0.0694283981546525	0.0680553979238177	0.0699611841429969	0.0622665488922091	0.0662520637895336	0.0650165801360919	0.0915754317762347	0.0711910868403332	0.0747667797459342	0.0680230037422712	0.0843641142184615	0.0618509804883059	0.076272331501215	0.0693597926120663	0.0590057169620324	0.0750471910300779	0.0723099084241576	0.0689845203870471	0.0606237562367383	0.0701375506857893	0.0816571240143854	0.0756877051801867	0.0892149192101595	0.0612329303006275	0.0620454712837719	0.0695606591020074	0.074137449286657	0.0602038665473909	0.0775329092754175	0.0785885650124902	0.0672758800122686	0.0638586585774939	0.0775605445534277	0.0760401743321833	0.0758336548830654	0.0928065050586628	0.065276902587906	0.066588704931526	0.0644366098916704	0.0696015758967527	0.0635666501531346	0.0776765310663953	0.0761115995775013	0.0798904983992016	0.072286777364698	0.0835832316104293	0.0815708271002883	0.0714730399253051	0.0615095706907469	0.0658534511709992	0.0635199898068172	0.0646119357602992	0.0674153841287432	0.0696419962263515	0.0694007750147978	0.0701286139548681	0.0869083740000592	0.0796799171639475	0.0742107530720316	0.0625594366292358	0.0655248167136063	0.0646152773664425	0.0694119481089576	0.0670616072606081	0.0638763284216088	0.0667686648646859	0.0695944589167994	0.0823404659554554	0.0782325634414205	0.0543766572072307	0.0792678538995242	0.0552445301251927	0.0617844093254035	0.0676278212729848	0.071643576340661	0.0628846059325208	0.0644716734801577	0.087528428248495	0.0824788237883665	0.0757101516625384	0.0673338565111957	0.0718486403641192	0.0712741209596993	0.0818843268509814	0.0616742373215732	0.0816728366695673	0.0673946951381886	0.0730814224089993	0.0810731094435822	0.0700140965950268	0.0753563482875827	0.0654125975807697	0.071080925111056	0.0828454731828459	0.0784169687501569	0.0819199609736263	0.0605916867368499	0.0788019914177915	0.0843224704143747	0.0717775072366557	0.0678905165840346	0.0557721346316288	0.0398747566129905	0.0752211604531122	0.0751403742227256	0.07358309307565	0.0848138808622884	0.0703770021691789	0.0731286356165197	0.0823017956455833	0.0716990731980346	0.0873248237786709	0.0860149130474165	0.0613715704704446	0.0845065239578831	0.0750992290646513	0.0711047918264862
"Metabolism|Amino acid metabolism"	0.0672348575417745	0.0672509641074335	0.0594318254656629	0.0544375821571542	0.0585380651233574	0.0564811228830774	0.0626575998716887	0.0578002909173796	0.0659792205024042	0.0618065319429683	0.0604875209957612	0.0555675935780993	0.0606161838598486	0.0616107178200161	0.059200184364062	0.0732112506937995	0.0628526578972126	0.0653468942587765	0.0617772167322509	0.0623446201882152	0.0565083118775346	0.0595370441914146	0.0665758937512518	0.0552738786124201	0.0722475199633749	0.0676733779872654	0.0692254522171421	0.064402810445914	0.0630896066119635	0.06685637211644	0.0642144940533857	0.0636728154501228	0.0686581162021162	0.0636418103151285	0.0643768084239374	0.0667237553641438	0.0636354600611531	0.0555888967647747	0.0635153625093545	0.0598446955771741	0.0587280709802414	0.0686532557984005	0.074634672095725	0.0656420429082483	0.0669711917595348	0.0594002001356691	0.0618606704018423	0.0633431436796395	0.0728260912254668	0.0602717378711251	0.0602394006998117	0.0674878751356154	0.0619240718258896	0.0671755895404935	0.0583843269973846	0.0623341514380747	0.0594718359367914	0.0696948939756126	0.0614316081698841	0.0633031807748776	0.0723763631153949	0.0640342698314443	0.0720175417035854	0.0585572044219031	0.0632498554353171	0.0684573201224041	0.0635288756681306	0.0612234426407256	0.064085282226331	0.0628125135051899	0.0649791056761425	0.0585375058990944	0.0644189201055123	0.0728310744972255	0.0607317605054226	0.0637514796107413	0.0669409336778959	0.0570631682891607	0.0714591827017977	0.0639119322582003	0.0659003190451858	0.0618557922580182	0.0641307347774572	0.0655000725305919	0.0646469229562201	0.0654100993913134	0.0658522702329351	0.0651982959957297	0.0627076905304926	0.0621248275351579	0.0651414019501939	0.0559483237612938	0.0658658245217199	0.0573012271573766	0.0659936777318112	0.0618956884551713	0.062492349455406	0.0637261009439642	0.0603851754478365	0.0586379979636915	0.0706036434268632	0.0676328840775134	0.0681884315865521	0.0581609186233644	0.0684728249539312	0.0612575511063805	0.0643258443041181	0.0605011224449772	0.0730619693917508	0.0720398128551783	0.0626533986731229	0.0679418487791853	0.0623598603400243	0.0677406521852339	0.0674332222488001	0.0698985635025183	0.0692592010609794	0.066818688896864	0.0696094468026791	0.0615302633682273	0.0617577459802269	0.062896179551497	0.0615773734990323	0.0680115020982446	0.0616695606318518	0.0702290987677035	0.062308467308728	0.0647399195273777	0.0660504250633019	0.0654176714065607	0.0620490859074909	0.0689713396605328	0.0683173414492922	0.0659919669602159	0.0733248280832023	0.0683239076905444	0.0585863460243197	0.0664678734938724	0.0561703059315185	0.0675294217227543	0.0673654543070843	0.0639593345076038	0.0625148778216056	0.0610065054913358	0.0676161056396945	0.062210392035335	0.061352246288072	0.0744828492812326	0.0633001013725929	0.061614147970349	0.0613707677757594	0.0559793676773366	0.0687189196549833	0.0723251069621835	0.0703466865655993	0.070618111095806	0.0623098146004535	0.0655217891035446	0.0639699485026071	0.059707191107442	0.0632813954784551	0.056544986494477	0.0596793677086018	0.0686585035408507	0.0681507694881339	0.072626176338063	0.0719069367097809	0.071006253042141	0.0723768762607252	0.0660169328637088	0.0674770256871902	0.0685652508493284	0.0558613091442341	0.0615125845767874	0.0661672233687802	0.0667761444830946	0.0668290143481768	0.0739382296253271	0.0678207285458006	0.0722740212910835	0.0747315491444456	0.067762257301782	0.0726347957732429	0.0574539047234738	0.0610559594415817	0.0694854670357953	0.0629557717010826	0.0704113864629784	0.0716571876738934	0.0695141865135921	0.0671535061589518	0.0652595220248914	0.0679494451063559	0.0589100343402438	0.0596571269753704	0.0621029305173379	0.0622640671216046	0.0695432295798097	0.0674784567448548	0.0604729850374926	0.0623831805186558	0.0598006271138513	0.071409892115473	0.0670291423432922	0.061037860605743	0.0705397070793362	0.0619616207187219	0.0712643866711979	0.0642782450200644	0.0601748710914896	0.0608390379797606	0.0564254894014564	0.0592183323887958	0.064500114505349	0.0583553720536449	0.0658390115821829	0.0717975302076721	0.0641388094380324	0.0591240504659952	0.0690807716438696	0.0655102794830895	0.0666593497589738	0.0569831091415624	0.0710714618074925	0.0687873750788408	0.0556807471913334	0.0560540390084828	0.055562972738474	0.0562868603384559	0.0667079525866067	0.0569718914802294	0.0586321540632152	0.0637119955528694
"Environmental Information Processing|Signal transduction"	0.0400846366793995	0.0468141989121516	0.0441138848507203	0.0438383135279604	0.0454991914631858	0.047951710956217	0.0391468990470777	0.0517069009118211	0.0342210754685242	0.0429507994682286	0.0587320052306401	0.0457941706026004	0.0527830934026471	0.0563079211995409	0.0475869356188878	0.0354245556435229	0.0425119502347862	0.0483682911424201	0.042571046445654	0.047435940334337	0.0442154641044796	0.0497137428362557	0.044346265071948	0.0485521588848346	0.037524530932341	0.0434944231144645	0.0389792844353297	0.054911119711588	0.0591096435599945	0.0399097333844502	0.0445510084675612	0.0379589384302397	0.0472866088306689	0.0422090154973005	0.0514958158623325	0.0418072036735536	0.0527236033785327	0.0460753500955865	0.0483859585437912	0.0573818470183953	0.05719778664776	0.0366713707462868	0.0320493266881716	0.0449243822252434	0.0449826503405452	0.0473415415189415	0.0449630192829443	0.043430344920209	0.0335604348651497	0.0448170409793732	0.0430924530943674	0.0384620874205455	0.0417665636081779	0.0418739706295555	0.0460985924159922	0.0435319255902549	0.0482353246815076	0.0413109129800003	0.0437979523749658	0.0435728211919959	0.031118054717572	0.0429343646913518	0.0382786748385365	0.0438293584004564	0.0457801177887514	0.0406548059628789	0.0494992033806041	0.0415051319427495	0.0423217508616001	0.0513215965703484	0.0509804087583696	0.0448428697468722	0.0464718502664723	0.0318546944375613	0.044842114447125	0.038866084017271	0.037575171794172	0.0440888887634273	0.0326693811397816	0.042914942796238	0.0380985976725669	0.0417111367681674	0.0432642300584469	0.0450953011869649	0.042096584093542	0.0487905093467449	0.0382871576888959	0.0489174868303974	0.0596766125954198	0.0419442481773788	0.0400595803572603	0.0470345500204602	0.0491190922822333	0.0419948683542159	0.0423937577012032	0.04521837597105	0.0440079921454721	0.0410343063730227	0.0583581710606192	0.0457181918063945	0.0340679840716901	0.0393277645694156	0.0386123851660287	0.0597500851106743	0.0398383930706412	0.0532534852685303	0.0463817634979218	0.0494746482385656	0.0321901973807793	0.0319583818082381	0.0527500220020601	0.0365296363151861	0.0544261094073579	0.0346405411638581	0.0341861793514483	0.0349157373945706	0.0334908425875621	0.0405916910371094	0.0318830940410174	0.0514526917517629	0.0519801590627266	0.0448588503651981	0.053436384829217	0.036890467484595	0.0445371287512627	0.0376364109748972	0.0494531181055193	0.0457149895176308	0.0401270185963841	0.0438223799487728	0.0534864151259146	0.0349833374321973	0.0360768558663821	0.0365991299383794	0.0350027136755438	0.0337802755666965	0.0444391899728277	0.0385287516530189	0.0527305044253309	0.0450551649427606	0.0462007360651138	0.0500350071101734	0.0492711855255821	0.0513065907367533	0.0372675859212113	0.0427677700227897	0.0499345361430976	0.0291670502235813	0.0396974170110582	0.0597138687771997	0.0476696599904085	0.0433077108254836	0.0426210667234458	0.0296445684965423	0.0360210143557227	0.0388624505741844	0.0448279174171257	0.0405395311471444	0.0462122232100762	0.0573111052989658	0.0475577333729012	0.0462203676746117	0.0454437056711762	0.0373064942375189	0.0374461840609536	0.0313041775393771	0.0349022823424667	0.0347651995338195	0.0330290508320784	0.0394170330702691	0.0375767123670031	0.0309594560666632	0.0475845150316706	0.043460423638372	0.0455527004689872	0.0450594712909099	0.0401530316823439	0.0285821371502867	0.0410217217670131	0.0343937531597563	0.0297966771225849	0.041550594727563	0.0341282951425107	0.0468872536566622	0.0438527627866669	0.0445128364858952	0.0474546437731456	0.0405107774170619	0.0370412979712612	0.033748059215783	0.0448159168642056	0.0478370289075239	0.0376487375234699	0.0491890402169495	0.044186713825403	0.0506315260792169	0.0495697467561153	0.0322953377203283	0.0401734986795635	0.04430731890671	0.0566448644341508	0.0465405740859154	0.0319780576190733	0.0359847827200542	0.0466709076352389	0.0341740431067908	0.0478444289083006	0.0321870716420657	0.0531969831274824	0.0509905176922641	0.0493696853792539	0.0472440689899365	0.0644342685730061	0.0385017359225945	0.0448872565165863	0.0408866148608809	0.0290462808713054	0.0549621002189328	0.0606438259390671	0.033805658552574	0.0370800346129041	0.0441477933864407	0.0447340216762391	0.0346804881676692	0.0406210195491273	0.0480420218530277	0.0485854895121705	0.0476233045820021	0.0452227634554683	0.0418816107817241	0.0467152314509371	0.0464408045693107	0.0522943688845336
