"ID"	"subject"	"sampledate"	"bristol"	"SampleTime"	"studyday"	"location"	"subjectcode"	"sex"	"housing"	"group"	"Age"	"contraception"	"origin"	"previousexp"	"diet_trial"	"group_phase"
"buddy_11"	"buddy"	2023-03-20	"3"	800	"11"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"run-in"	"baseline"
"joans_11"	"joans"	2023-03-20	"2"	800	"11"	"f5"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"run-in"	"baseline"
"padme_11"	"padme"	2023-03-20	"1"	800	"11"	"f3"	"pad"	"female"	"pair"	"g2"	4.657534247	"estrumate"	"texas"	""	"run-in"	"baseline"
"ginger_14"	"ginger"	2023-03-23	"1"	800	"14"	"f6"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"run-in"	"baseline"
"buddy_16"	"buddy"	2023-03-25	"4"	800	"16"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-1"	"control"
"buddy_17"	"buddy"	2023-03-26	"2"	800	"17"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-1"	"control"
"ivy_17"	"ivy"	2023-03-26	"2"	800	"17"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-1"	"control"
"lambchop_17"	"lambchop"	2023-03-26	"3"	800	"17"	"f1"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"intervention-1"	"gum"
"padme_17"	"padme"	2023-03-26	"5"	800	"17"	"f3"	"pad"	"female"	"pair"	"g2"	4.657534247	"estrumate"	"texas"	""	"intervention-1"	"control"
"buddy_18"	"buddy"	2023-03-27	"2"	730	"18"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-1"	"control"
"ginger_18"	"ginger"	2023-03-27	"2"	730	"18"	"f6"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"intervention-1"	"control"
"ivy_18"	"ivy"	2023-03-27	"4"	730	"18"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-1"	"control"
