tax	BUD-52-MGE-S144	CHA-55-MGE-S150	CM-NTC-008	FRA-19-MGE-S160	FRA-53-MGE-S147	GIN-52-MGE-S145	GOO-20-MGE-S161	GOO-22-MGE-S139	GRO-56-MGE-S151	HAM-18-MGE-S157	HAM-23-MGE-S140	HER-24-MGE-S142	HER-53-MGE-S146	IRI-17-MGE-S155	IRI-23-MGE-S141	JOA-24-MGE-S143	JOA-56-MGE-S152	JOA-60-MGE-S154	LAM-17-MGE-S156	LAM-55-MGE-S149	MAR-53-MGE-S148	OPH-19-MGE-S159	WOL-18-MGE-S158	WOL-58-MGE-S153	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	41	319	0	86	53	30	24	13	56	84	217	140	67	69	12	3	16	8	0	53	13	133	134	79	1650
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	41	57	0	62	80	155	210	84	2	13	53	71	24	37	27	61	133	67	20	165	1	124	19	15	1521
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	55	74	0	18	6	20	66	40	9	73	44	58	31	83	5	7	456	220	0	26	3	72	39	47	1452
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia glucerasea	69	58	0	72	22	44	12	90	7	105	10	128	42	114	21	31	55	27	0	11	4	135	189	95	1341
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	27	42	0	46	35	40	63	48	92	49	56	47	29	57	36	27	45	39	64	49	68	96	28	68	1151
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	61	26	0	88	23	2	56	33	22	69	49	39	106	66	81	0	7	50	0	0	22	111	99	70	1080
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	48	106	1	75	97	143	46	24	4	37	46	66	34	24	24	24	49	54	20	10	14	44	33	18	1041
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	43	49	0	21	97	104	49	43	27	21	15	36	16	37	29	0	21	19	0	7	5	197	61	27	924
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	26	604	1	6	6	3	3	0	9	6	0	26	89	3	2	2	1	0	0	3	3	55	10	26	884
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	33	19	0	46	27	62	57	37	14	68	28	30	57	67	45	17	20	16	0	0	3	55	56	42	799
