"ID"	"Hera_1"	"Wolverine_1"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_20"	"Hera_20"	"Iris_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"JarJarBinks_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Iris_60"	"Wolverine_60"	"Hamlet_67"	"Hera_67"	"JarJarBinks_68"	"Hera_7"	"Iris_7"	"Korra_9"
"g__Megamonas"	2021	2166	1402	2403	960	2499	1131	580	1826	1443	2080	1271	2081	1165	2835	1075	970	1059	856	1833	1454	2304	1069	1735	108	359	18	990	540	2159	821	1380	677	894	991	461	770	2354	1454	1121	1299	954	901	1474	1467	3359	578	1445	1570	1244	731	1934	1283	760	811	2347	502	300	2058	0	2788	1897	834	747	1388	1125	1511	59	1154	573	563	519	681	1703	886	1015	1617	690	651	947	1031	1197	470	1628	1305	511	1178	306	1474	557	961	1662	129	2160	1787	1167	660	500	875	1400	915	997	863	1384	928	2491	804	1125	555	285	1436	243	2102	97	2401	909	1879	1828	856
"g__Phascolarctobacterium"	1112	834	388	398	950	831	625	636	801	789	684	1205	423	0	409	1823	1395	1034	1034	1054	0	854	1691	680	382	86	279	840	1866	716	840	1424	894	977	594	247	1434	640	1149	1541	781	786	1326	618	838	474	732	898	536	1014	819	779	1790	1413	1112	967	1054	517	1139	0	2190	946	1090	1447	1025	656	637	111	1669	728	769	259	436	785	864	899	791	1357	1419	696	1421	932	1270	450	838	953	1437	1314	988	1045	1662	1123	304	523	685	883	1539	798	1530	1086	571	951	598	317	995	525	1248	899	1312	705	2629	980	615	215	755	834	955	2129	524
"g__Megasphaera"	427	584	86	194	90	214	279	108	423	213	308	795	573	426	611	656	870	745	504	545	2071	816	441	611	90	117	12	1352	586	847	171	538	1753	791	773	136	8	959	436	589	1211	660	653	736	210	383	223	574	335	1042	342	600	1628	606	376	335	788	90	474	0	515	288	999	468	212	1942	575	83	301	282	359	74	603	214	549	570	272	550	503	938	376	1650	211	477	1638	864	590	209	542	1805	557	564	39	544	1400	1190	1323	324	682	988	370	123	288	338	1266	392	1003	410	811	374	488	435	733	56	1254	760	972	2381	584
"g__Phocaeicola"	359	408	655	382	539	608	318	218	113	470	211	255	232	0	741	703	973	442	291	331	0	393	779	334	1170	839	1086	184	908	174	450	426	336	212	161	181	92	321	171	769	158	158	1243	184	869	322	224	210	92	151	63	560	384	91	1269	301	90	356	246	2	1081	682	75	172	458	22	373	119	72	1820	1717	224	287	526	1178	456	181	994	948	117	697	60	1262	456	145	197	431	1236	507	138	65	88	222	211	47	111	127	130	452	172	176	476	1147	247	67	165	89	815	394	504	690	586	355	2761	100	226	384	215	406
"g__Shigella"	2	0	10	239	365	195	0	1894	0	125	375	1	182	1641	0	8	6	0	70	17	675	0	3	0	2	4	9	0	38	0	1896	491	91	708	560	3635	0	0	143	26	0	1075	3	548	19	1	4	258	1582	14	93	43	1089	134	4	57	233	2315	18	4795	101	40	47	4	103	89	0	24	3	1	6	45	319	42	5	157	6	2	31	509	1	5	16	1102	2	151	1	161	350	76	61	4	2665	1411	0	1	24	1047	60	0	14	515	48	2316	282	1100	61	146	0	459	13	0	219	10	0	207	0	0	45
"g__Oribacterium"	290	243	124	249	94	243	121	85	217	261	164	310	304	0	183	311	352	211	359	163	0	272	175	165	109	44	17	633	588	305	125	227	295	402	514	102	213	178	136	332	353	346	355	488	155	202	73	520	147	816	147	219	981	469	429	195	550	86	355	1	1347	349	405	148	228	508	270	45	245	160	276	83	324	188	305	316	57	531	553	222	179	232	183	243	377	1026	180	228	368	385	280	75	31	115	69	342	559	321	323	395	58	203	204	224	134	224	405	383	555	197	519	283	161	101	191	432	404	1460	502
"g__Segatella"	453	0	6	8	33	23	44	25	12	11	25	47	51	1	0	25	22	75	431	148	0	0	47	77	1352	155	19	275	16	49	24	47	392	397	514	25	775	51	82	20	136	191	30	385	31	1	107	187	49	289	38	70	704	660	56	334	505	19	15	1	92	36	440	1864	10	93	67	1424	1461	117	79	15	1138	32	110	86	1793	45	31	559	703	373	72	33	59	375	696	83	26	295	1068	1310	5	6	1069	541	324	823	333	43	2856	28	81	9	273	4	454	38	76	174	210	94	18	7	6	416	96	116	850
"g__Anaerobiospirillum"	0	0	1	0	34	0	0	92	0	0	45	0	176	1	0	1	0	0	1254	99	0	3	0	0	0	2	3202	162	1	0	0	0	418	0	161	0	1590	0	959	1	1	0	0	0	1	0	2725	674	0	103	2604	0	835	427	0	0	571	0	0	1	1	0	416	19	0	139	1	1148	49	0	0	0	6	0	0	0	54	1	1	2	0	347	0	0	0	160	0	0	0	200	1	57	0	0	32	468	53	0	1	0	20	0	0	1	543	1	569	1	0	0	2106	0	0	1	1	340	0	0	0
"g__Escherichia"	6	0	11	229	229	6	0	1033	0	1	227	0	107	2134	0	1	0	0	30	4	916	0	4	0	0	1	12	2	0	0	37	7	44	465	352	222	0	0	103	31	0	692	0	324	1	1	3	127	933	7	51	7	520	92	0	36	126	1184	0	2577	280	113	27	10	57	49	0	9	4	5	18	22	210	18	19	7	8	7	86	306	0	6	5	10	0	72	0	71	20	41	36	18	1362	30	2	0	13	607	2	0	54	290	30	19	212	5	50	185	0	260	10	0	7	11	1	84	0	1	24
"g__Bacteroides"	38	98	108	42	192	51	1605	80	483	168	85	320	52	1	113	68	148	370	58	66	0	71	111	326	165	711	63	24	130	149	120	70	58	27	29	36	25	82	45	103	36	26	104	39	247	52	95	36	19	28	26	94	107	23	148	98	20	126	67	0	152	95	19	22	137	10	231	82	14	208	343	59	53	146	136	255	36	239	263	19	173	13	519	113	45	60	84	538	107	41	14	8	74	35	9	25	24	61	89	98	26	146	320	56	16	47	26	200	130	170	258	565	87	452	27	63	36	98	73
